Unnamed: 0,scrapedate,lastupdated,stateagency,facility,fac_inc_positive,fac_inc_tested,fac_inc_active,fac_inc_negative,fac_inc_pending,fac_inc_recovered,fac_inc_deaths,fac_staff_positive,fac_staff_recovered,fac_staff_deaths,sum_inc_vaccinated,sum_staff_vaccinated,demographics_type,demographics_category,demographics_inc_positive,facility_bjs,fac_state,fac_address,fac_zip,sum_inc_positive,sum_inc_deaths,sum_inc_tested,sum_staff_deaths,sum_staff_positive,match,bjs_fac_state,bjs_fac_id,bjs_fac_id2,bjs_fac_name,bjs_fac_address1,bjs_fac_city,bjs_fac_stateab,bjs_fac_zip1,bjs_fac_gender,bjs_fac_security,bjs_fac_leave,bjs_fac_operator,bjs_fac_privprison,bjs_fac_malepop,bjs_fac_femalepop,bjs_fac_linked,bjs_fac_linktxt,bjs_fac_changeuse,bjs_fac_changeclose,oldnew,state
15,2021-01-01,44195,TN,Trousdale Turner Correctional (TCA),1395.0,3257.0,2.0,1852.0,5.0,1393.0,3.0,,,,,,,,,,,"140 Macon Way, Hartsville, Tennessee 37074",,6265.0,,,,,,,,,,,,,,,,,,,,,,,,,,/Users/alexesmerritt/Desktop/Prison Vaccinaiton Project/vac-states/TN.csv
16,2021-01-01,44195,TN,Whiteville Correctional,79.0,1992.0,0.0,1891.0,20.0,79.0,2.0,,,,,,,,,,,"1440 Union Springs Road, Whiteville, Tennessee 38075",,6265.0,,,,,,,,,,,,,,,,,,,,,,,,,,/Users/alexesmerritt/Desktop/Prison Vaccinaiton Project/vac-states/TN.csv
17,2021-01-02,44195,TN,Bledsoe County Correctional (BCCX),801.0,5093.0,5.0,4272.0,19.0,796.0,1.0,,,,,,,,,,,"1045 Horsehead Road Pikeville, Tennessee  37367",,6265.0,,,,,,,,,,,,,,,,,,,,,,,,,,/Users/alexesmerritt/Desktop/Prison Vaccinaiton Project/vac-states/TN.csv
18,2021-01-02,44195,TN,Morgan County Correctional (MCCX),76.0,1721.0,57.0,1618.0,17.0,19.0,1.0,,,,,,,,,,,"541 Wayne Cotton Morgan Drive, Wartburg, Tennessee 37887",,6265.0,,,,,,,,,,,,,,,,,,,,,,,,,,/Users/alexesmerritt/Desktop/Prison Vaccinaiton Project/vac-states/TN.csv
19,2021-01-02,44195,TN,Northeast Correctional (NECX),370.0,2399.0,1.0,2008.0,13.0,369.0,5.0,,,,,,,,,,,"5249 Highway 67 West, Mountain City, Tennessee 37683-5000",,6265.0,,,,,,,,,,,,,,,,,,,,,,,,,,/Users/alexesmerritt/Desktop/Prison Vaccinaiton Project/vac-states/TN.csv
20,2021-01-02,44195,TN,Lois M. Derry Special Needs (DSNF),158.0,1732.0,8.0,1533.0,27.0,150.0,8.0,,,,,,,,,,,"7575 Cockrill Bend Boulevard, Nashville, Tennessee 37209-1057",,6265.0,,,,,,,,,,,,,,,,,,,,,,,,,,/Users/alexesmerritt/Desktop/Prison Vaccinaiton Project/vac-states/TN.csv
21,2021-01-02,44195,TN,Riverbend Maximum Security (RMSI),88.0,1236.0,0.0,1142.0,0.0,88.0,,,,,,,,,,,,7475 COCKRILL BEND BLVD,,6265.0,,,,,,,,,,,,,,,,,,,,,,,,,,/Users/alexesmerritt/Desktop/Prison Vaccinaiton Project/vac-states/TN.csv
22,2021-01-02,44195,TN,Tennessee Prison for Women (TPFW/DJRC),310.0,1775.0,16.0,1444.0,18.0,294.0,1.0,,,,,,,,,,,"3881 Stewarts Lane, Nashville, Tennessee 37243-0468",,6265.0,,,,,,,,,,,,,,,,,,,,,,,,,,/Users/alexesmerritt/Desktop/Prison Vaccinaiton Project/vac-states/TN.csv
23,2021-01-02,44195,TN,Turney Center Industrial Complex (TCIX),120.0,1834.0,44.0,1706.0,2.0,76.0,2.0,,,,,,,,,,,1499 R.W. MOORE MEMORIAL HIGHWAY,,6265.0,,,,,,,,,,,,,,,,,,,,,,,,,,/Users/alexesmerritt/Desktop/Prison Vaccinaiton Project/vac-states/TN.csv
24,2021-01-02,44195,TN,Turney Center Industrial Complex-Annex (TCIX-A),3.0,392.0,0.0,383.0,3.0,3.0,,,,,,,,,,,,"1499 R.W. Moore Memorial Highway, Only, Tennessee 37140-4050",,6265.0,,,,,,,,,,,,,,,,,,,,,,,,,,/Users/alexesmerritt/Desktop/Prison Vaccinaiton Project/vac-states/TN.csv
25,2021-01-02,44195,TN,Mark Luttrell Transition Center (MLTC),62.0,415.0,0.0,351.0,1.0,62.0,,,,,,,,,,,,6000 STATE ROAD,,6265.0,,,,,,,,,,,,,,,,,,,,,,,,,,/Users/alexesmerritt/Desktop/Prison Vaccinaiton Project/vac-states/TN.csv
26,2021-01-02,44195,TN,Northwest Correctional Complex (NWCX),863.0,4252.0,11.0,3353.0,14.0,852.0,1.0,,,,,,,,,,,"960 State Route 212, Tiptonville, Tennessee 38079",,6265.0,,,,,,,,,,,,,,,,,,,,,,,,,,/Users/alexesmerritt/Desktop/Prison Vaccinaiton Project/vac-states/TN.csv
27,2021-01-02,44195,TN,West Tennessee State Penitentiary (WTSP),266.0,1491.0,2.0,1195.0,20.0,264.0,2.0,,,,,,,,,,,"480 Green Chapel Road, Henning, Tennessee 38041-1150",,6265.0,,,,,,,,,,,,,,,,,,,,,,,,,,/Users/alexesmerritt/Desktop/Prison Vaccinaiton Project/vac-states/TN.csv
28,2021-01-02,44195,TN,Women's Therapeutic Residential Center (WTRC),138.0,1714.0,4.0,1562.0,14.0,134.0,,,,,,,,,,,,"480 Green Chapel Road, Henning, Tennessee 38041-1150",,6265.0,,,,,,,,,,,,,,,,,,,,,,,,,,/Users/alexesmerritt/Desktop/Prison Vaccinaiton Project/vac-states/TN.csv
29,2021-01-02,44195,TN,Hardeman County Correctional,300.0,2846.0,8.0,2502.0,42.0,292.0,,,,,,,,,,,,"2520 Union Springs Road, Whiteville, Tennessee 38075",,6265.0,,,,,,,,,,,,,,,,,,,,,,,,,,/Users/alexesmerritt/Desktop/Prison Vaccinaiton Project/vac-states/TN.csv
30,2021-01-02,44195,TN,South Central Correctional,1236.0,3373.0,9.0,2109.0,11.0,1227.0,6.0,,,,,,,,,,,"555 Forest Avenue, Clifton, Tennessee 38425-0279",,6265.0,,,,,,,,,,,,,,,,,,,,,,,,,,/Users/alexesmerritt/Desktop/Prison Vaccinaiton Project/vac-states/TN.csv
31,2021-01-02,44195,TN,Trousdale Turner Correctional (TCA),1395.0,3257.0,2.0,1852.0,5.0,1393.0,3.0,,,,,,,,,,,"140 Macon Way, Hartsville, Tennessee 37074",,6265.0,,,,,,,,,,,,,,,,,,,,,,,,,,/Users/alexesmerritt/Desktop/Prison Vaccinaiton Project/vac-states/TN.csv
32,2021-01-02,44195,TN,Whiteville Correctional,79.0,1992.0,0.0,1891.0,20.0,79.0,2.0,,,,,,,,,,,"1440 Union Springs Road, Whiteville, Tennessee 38075",,6265.0,,,,,,,,,,,,,,,,,,,,,,,,,,/Users/alexesmerritt/Desktop/Prison Vaccinaiton Project/vac-states/TN.csv
33,2021-01-03,44195,TN,Bledsoe County Correctional (BCCX),801.0,5093.0,5.0,4272.0,19.0,796.0,1.0,,,,,,,,,,,"1045 Horsehead Road Pikeville, Tennessee  37367",,6265.0,,,,,,,,,,,,,,,,,,,,,,,,,,/Users/alexesmerritt/Desktop/Prison Vaccinaiton Project/vac-states/TN.csv
34,2021-01-03,44195,TN,Morgan County Correctional (MCCX),76.0,1721.0,57.0,1618.0,17.0,19.0,1.0,,,,,,,,,,,"541 Wayne Cotton Morgan Drive, Wartburg, Tennessee 37887",,6265.0,,,,,,,,,,,,,,,,,,,,,,,,,,/Users/alexesmerritt/Desktop/Prison Vaccinaiton Project/vac-states/TN.csv
35,2021-01-03,44195,TN,Northeast Correctional (NECX),370.0,2399.0,1.0,2008.0,13.0,369.0,5.0,,,,,,,,,,,"5249 Highway 67 West, Mountain City, Tennessee 37683-5000",,6265.0,,,,,,,,,,,,,,,,,,,,,,,,,,/Users/alexesmerritt/Desktop/Prison Vaccinaiton Project/vac-states/TN.csv
36,2021-01-03,44195,TN,Lois M. Derry Special Needs (DSNF),158.0,1732.0,8.0,1533.0,27.0,150.0,8.0,,,,,,,,,,,"7575 Cockrill Bend Boulevard, Nashville, Tennessee 37209-1057",,6265.0,,,,,,,,,,,,,,,,,,,,,,,,,,/Users/alexesmerritt/Desktop/Prison Vaccinaiton Project/vac-states/TN.csv
37,2021-01-03,44195,TN,Riverbend Maximum Security (RMSI),88.0,1236.0,0.0,1142.0,0.0,88.0,,,,,,,,,,,,7475 COCKRILL BEND BLVD,,6265.0,,,,,,,,,,,,,,,,,,,,,,,,,,/Users/alexesmerritt/Desktop/Prison Vaccinaiton Project/vac-states/TN.csv
38,2021-01-03,44195,TN,Tennessee Prison for Women (TPFW/DJRC),310.0,1775.0,16.0,1444.0,18.0,294.0,1.0,,,,,,,,,,,"3881 Stewarts Lane, Nashville, Tennessee 37243-0468",,6265.0,,,,,,,,,,,,,,,,,,,,,,,,,,/Users/alexesmerritt/Desktop/Prison Vaccinaiton Project/vac-states/TN.csv
39,2021-01-03,44195,TN,Turney Center Industrial Complex (TCIX),120.0,1834.0,44.0,1706.0,2.0,76.0,2.0,,,,,,,,,,,1499 R.W. MOORE MEMORIAL HIGHWAY,,6265.0,,,,,,,,,,,,,,,,,,,,,,,,,,/Users/alexesmerritt/Desktop/Prison Vaccinaiton Project/vac-states/TN.csv
40,2021-01-03,44195,TN,Turney Center Industrial Complex-Annex (TCIX-A),3.0,392.0,0.0,383.0,3.0,3.0,,,,,,,,,,,,"1499 R.W. Moore Memorial Highway, Only, Tennessee 37140-4050",,6265.0,,,,,,,,,,,,,,,,,,,,,,,,,,/Users/alexesmerritt/Desktop/Prison Vaccinaiton Project/vac-states/TN.csv
41,2021-01-03,44195,TN,Mark Luttrell Transition Center (MLTC),62.0,415.0,0.0,351.0,1.0,62.0,,,,,,,,,,,,6000 STATE ROAD,,6265.0,,,,,,,,,,,,,,,,,,,,,,,,,,/Users/alexesmerritt/Desktop/Prison Vaccinaiton Project/vac-states/TN.csv
42,2021-01-03,44195,TN,Northwest Correctional Complex (NWCX),863.0,4252.0,11.0,3353.0,14.0,852.0,1.0,,,,,,,,,,,"960 State Route 212, Tiptonville, Tennessee 38079",,6265.0,,,,,,,,,,,,,,,,,,,,,,,,,,/Users/alexesmerritt/Desktop/Prison Vaccinaiton Project/vac-states/TN.csv
43,2021-01-03,44195,TN,West Tennessee State Penitentiary (WTSP),266.0,1491.0,2.0,1195.0,20.0,264.0,2.0,,,,,,,,,,,"480 Green Chapel Road, Henning, Tennessee 38041-1150",,6265.0,,,,,,,,,,,,,,,,,,,,,,,,,,/Users/alexesmerritt/Desktop/Prison Vaccinaiton Project/vac-states/TN.csv
44,2021-01-03,44195,TN,Women's Therapeutic Residential Center (WTRC),138.0,1714.0,4.0,1562.0,14.0,134.0,,,,,,,,,,,,"480 Green Chapel Road, Henning, Tennessee 38041-1150",,6265.0,,,,,,,,,,,,,,,,,,,,,,,,,,/Users/alexesmerritt/Desktop/Prison Vaccinaiton Project/vac-states/TN.csv
45,2021-01-03,44195,TN,Hardeman County Correctional,300.0,2846.0,8.0,2502.0,42.0,292.0,,,,,,,,,,,,"2520 Union Springs Road, Whiteville, Tennessee 38075",,6265.0,,,,,,,,,,,,,,,,,,,,,,,,,,/Users/alexesmerritt/Desktop/Prison Vaccinaiton Project/vac-states/TN.csv
46,2021-01-03,44195,TN,South Central Correctional,1236.0,3373.0,9.0,2109.0,11.0,1227.0,6.0,,,,,,,,,,,"555 Forest Avenue, Clifton, Tennessee 38425-0279",,6265.0,,,,,,,,,,,,,,,,,,,,,,,,,,/Users/alexesmerritt/Desktop/Prison Vaccinaiton Project/vac-states/TN.csv
47,2021-01-03,44195,TN,Trousdale Turner Correctional (TCA),1395.0,3257.0,2.0,1852.0,5.0,1393.0,3.0,,,,,,,,,,,"140 Macon Way, Hartsville, Tennessee 37074",,6265.0,,,,,,,,,,,,,,,,,,,,,,,,,,/Users/alexesmerritt/Desktop/Prison Vaccinaiton Project/vac-states/TN.csv
48,2021-01-03,44195,TN,Whiteville Correctional,79.0,1992.0,0.0,1891.0,20.0,79.0,2.0,,,,,,,,,,,"1440 Union Springs Road, Whiteville, Tennessee 38075",,6265.0,,,,,,,,,,,,,,,,,,,,,,,,,,/Users/alexesmerritt/Desktop/Prison Vaccinaiton Project/vac-states/TN.csv
49,2021-01-04,44195,TN,Bledsoe County Correctional (BCCX),801.0,5093.0,5.0,4272.0,19.0,796.0,1.0,,,,,,,,,,,"1045 Horsehead Road Pikeville, Tennessee  37367",,6265.0,,,,,,,,,,,,,,,,,,,,,,,,,,/Users/alexesmerritt/Desktop/Prison Vaccinaiton Project/vac-states/TN.csv
50,2021-01-04,44195,TN,Morgan County Correctional (MCCX),76.0,1721.0,57.0,1618.0,17.0,19.0,1.0,,,,,,,,,,,"541 Wayne Cotton Morgan Drive, Wartburg, Tennessee 37887",,6265.0,,,,,,,,,,,,,,,,,,,,,,,,,,/Users/alexesmerritt/Desktop/Prison Vaccinaiton Project/vac-states/TN.csv
51,2021-01-04,44195,TN,Northeast Correctional (NECX),370.0,2399.0,1.0,2008.0,13.0,369.0,5.0,,,,,,,,,,,"5249 Highway 67 West, Mountain City, Tennessee 37683-5000",,6265.0,,,,,,,,,,,,,,,,,,,,,,,,,,/Users/alexesmerritt/Desktop/Prison Vaccinaiton Project/vac-states/TN.csv
52,2021-01-04,44195,TN,Lois M. Derry Special Needs (DSNF),158.0,1732.0,8.0,1533.0,27.0,150.0,8.0,,,,,,,,,,,"7575 Cockrill Bend Boulevard, Nashville, Tennessee 37209-1057",,6265.0,,,,,,,,,,,,,,,,,,,,,,,,,,/Users/alexesmerritt/Desktop/Prison Vaccinaiton Project/vac-states/TN.csv
53,2021-01-04,44195,TN,Riverbend Maximum Security (RMSI),88.0,1236.0,0.0,1142.0,0.0,88.0,,,,,,,,,,,,7475 COCKRILL BEND BLVD,,6265.0,,,,,,,,,,,,,,,,,,,,,,,,,,/Users/alexesmerritt/Desktop/Prison Vaccinaiton Project/vac-states/TN.csv
54,2021-01-04,44195,TN,Tennessee Prison for Women (TPFW/DJRC),310.0,1775.0,16.0,1444.0,18.0,294.0,1.0,,,,,,,,,,,"3881 Stewarts Lane, Nashville, Tennessee 37243-0468",,6265.0,,,,,,,,,,,,,,,,,,,,,,,,,,/Users/alexesmerritt/Desktop/Prison Vaccinaiton Project/vac-states/TN.csv
55,2021-01-04,44195,TN,Turney Center Industrial Complex (TCIX),120.0,1834.0,44.0,1706.0,2.0,76.0,2.0,,,,,,,,,,,1499 R.W. MOORE MEMORIAL HIGHWAY,,6265.0,,,,,,,,,,,,,,,,,,,,,,,,,,/Users/alexesmerritt/Desktop/Prison Vaccinaiton Project/vac-states/TN.csv
56,2021-01-04,44195,TN,Turney Center Industrial Complex-Annex (TCIX-A),3.0,392.0,0.0,383.0,3.0,3.0,,,,,,,,,,,,"1499 R.W. Moore Memorial Highway, Only, Tennessee 37140-4050",,6265.0,,,,,,,,,,,,,,,,,,,,,,,,,,/Users/alexesmerritt/Desktop/Prison Vaccinaiton Project/vac-states/TN.csv
57,2021-01-04,44195,TN,Mark Luttrell Transition Center (MLTC),62.0,415.0,0.0,351.0,1.0,62.0,,,,,,,,,,,,6000 STATE ROAD,,6265.0,,,,,,,,,,,,,,,,,,,,,,,,,,/Users/alexesmerritt/Desktop/Prison Vaccinaiton Project/vac-states/TN.csv
58,2021-01-04,44195,TN,Northwest Correctional Complex (NWCX),863.0,4252.0,11.0,3353.0,14.0,852.0,1.0,,,,,,,,,,,"960 State Route 212, Tiptonville, Tennessee 38079",,6265.0,,,,,,,,,,,,,,,,,,,,,,,,,,/Users/alexesmerritt/Desktop/Prison Vaccinaiton Project/vac-states/TN.csv
59,2021-01-04,44195,TN,West Tennessee State Penitentiary (WTSP),266.0,1491.0,2.0,1195.0,20.0,264.0,2.0,,,,,,,,,,,"480 Green Chapel Road, Henning, Tennessee 38041-1150",,6265.0,,,,,,,,,,,,,,,,,,,,,,,,,,/Users/alexesmerritt/Desktop/Prison Vaccinaiton Project/vac-states/TN.csv
60,2021-01-04,44195,TN,Women's Therapeutic Residential Center (WTRC),138.0,1714.0,4.0,1562.0,14.0,134.0,,,,,,,,,,,,"480 Green Chapel Road, Henning, Tennessee 38041-1150",,6265.0,,,,,,,,,,,,,,,,,,,,,,,,,,/Users/alexesmerritt/Desktop/Prison Vaccinaiton Project/vac-states/TN.csv
61,2021-01-04,44195,TN,Hardeman County Correctional,300.0,2846.0,8.0,2502.0,42.0,292.0,,,,,,,,,,,,"2520 Union Springs Road, Whiteville, Tennessee 38075",,6265.0,,,,,,,,,,,,,,,,,,,,,,,,,,/Users/alexesmerritt/Desktop/Prison Vaccinaiton Project/vac-states/TN.csv
62,2021-01-04,44195,TN,South Central Correctional,1236.0,3373.0,9.0,2109.0,11.0,1227.0,6.0,,,,,,,,,,,"555 Forest Avenue, Clifton, Tennessee 38425-0279",,6265.0,,,,,,,,,,,,,,,,,,,,,,,,,,/Users/alexesmerritt/Desktop/Prison Vaccinaiton Project/vac-states/TN.csv
63,2021-01-04,44195,TN,Trousdale Turner Correctional (TCA),1395.0,3257.0,2.0,1852.0,5.0,1393.0,3.0,,,,,,,,,,,"140 Macon Way, Hartsville, Tennessee 37074",,6265.0,,,,,,,,,,,,,,,,,,,,,,,,,,/Users/alexesmerritt/Desktop/Prison Vaccinaiton Project/vac-states/TN.csv
64,2021-01-04,44195,TN,Whiteville Correctional,79.0,1992.0,0.0,1891.0,20.0,79.0,2.0,,,,,,,,,,,"1440 Union Springs Road, Whiteville, Tennessee 38075",,6265.0,,,,,,,,,,,,,,,,,,,,,,,,,,/Users/alexesmerritt/Desktop/Prison Vaccinaiton Project/vac-states/TN.csv
65,2021-01-05,44201,TN,Bledsoe County Correctional (BCCX),802.0,5146.0,1.0,4339.0,4.0,801.0,1.0,,,,,,,,,,,"1045 Horsehead Road Pikeville, Tennessee  37367",,6319.0,,,,,,,,,,,,,,,,,,,,,,,,,,/Users/alexesmerritt/Desktop/Prison Vaccinaiton Project/vac-states/TN.csv
66,2021-01-05,44201,TN,Morgan County Correctional (MCCX),85.0,1720.0,17.0,1623.0,2.0,68.0,1.0,,,,,,,,,,,"541 Wayne Cotton Morgan Drive, Wartburg, Tennessee 37887",,6319.0,,,,,,,,,,,,,,,,,,,,,,,,,,/Users/alexesmerritt/Desktop/Prison Vaccinaiton Project/vac-states/TN.csv
67,2021-01-05,44201,TN,Northeast Correctional (NECX),370.0,2400.0,0.0,2018.0,4.0,370.0,5.0,,,,,,,,,,,"5249 Highway 67 West, Mountain City, Tennessee 37683-5000",,6319.0,,,,,,,,,,,,,,,,,,,,,,,,,,/Users/alexesmerritt/Desktop/Prison Vaccinaiton Project/vac-states/TN.csv
68,2021-01-05,44201,TN,Lois M. Derry Special Needs (DSNF),159.0,1735.0,3.0,1557.0,13.0,156.0,8.0,,,,,,,,,,,"7575 Cockrill Bend Boulevard, Nashville, Tennessee 37209-1057",,6319.0,,,,,,,,,,,,,,,,,,,,,,,,,,/Users/alexesmerritt/Desktop/Prison Vaccinaiton Project/vac-states/TN.csv
69,2021-01-05,44201,TN,Riverbend Maximum Security (RMSI),88.0,1239.0,0.0,1143.0,2.0,88.0,,,,,,,,,,,,7475 COCKRILL BEND BLVD,,6319.0,,,,,,,,,,,,,,,,,,,,,,,,,,/Users/alexesmerritt/Desktop/Prison Vaccinaiton Project/vac-states/TN.csv
70,2021-01-05,44201,TN,Tennessee Prison for Women (TPFW/DJRC),310.0,1765.0,4.0,1444.0,8.0,306.0,1.0,,,,,,,,,,,"3881 Stewarts Lane, Nashville, Tennessee 37243-0468",,6319.0,,,,,,,,,,,,,,,,,,,,,,,,,,/Users/alexesmerritt/Desktop/Prison Vaccinaiton Project/vac-states/TN.csv
71,2021-01-05,44201,TN,Turney Center Industrial Complex (TCIX),124.0,1838.0,10.0,1708.0,0.0,114.0,2.0,,,,,,,,,,,1499 R.W. MOORE MEMORIAL HIGHWAY,,6319.0,,,,,,,,,,,,,,,,,,,,,,,,,,/Users/alexesmerritt/Desktop/Prison Vaccinaiton Project/vac-states/TN.csv
72,2021-01-05,44201,TN,Turney Center Industrial Complex-Annex (TCIX-A),3.0,391.0,0.0,385.0,0.0,3.0,,,,,,,,,,,,"1499 R.W. Moore Memorial Highway, Only, Tennessee 37140-4050",,6319.0,,,,,,,,,,,,,,,,,,,,,,,,,,/Users/alexesmerritt/Desktop/Prison Vaccinaiton Project/vac-states/TN.csv
73,2021-01-05,44201,TN,Mark Luttrell Transition Center (MLTC),62.0,418.0,0.0,355.0,0.0,62.0,,,,,,,,,,,,6000 STATE ROAD,,6319.0,,,,,,,,,,,,,,,,,,,,,,,,,,/Users/alexesmerritt/Desktop/Prison Vaccinaiton Project/vac-states/TN.csv
74,2021-01-05,44201,TN,Northwest Correctional Complex (NWCX),901.0,4339.0,46.0,3405.0,10.0,855.0,2.0,,,,,,,,,,,"960 State Route 212, Tiptonville, Tennessee 38079",,6319.0,,,,,,,,,,,,,,,,,,,,,,,,,,/Users/alexesmerritt/Desktop/Prison Vaccinaiton Project/vac-states/TN.csv
75,2021-01-05,44201,TN,West Tennessee State Penitentiary (WTSP),266.0,1486.0,0.0,1195.0,15.0,266.0,2.0,,,,,,,,,,,"480 Green Chapel Road, Henning, Tennessee 38041-1150",,6319.0,,,,,,,,,,,,,,,,,,,,,,,,,,/Users/alexesmerritt/Desktop/Prison Vaccinaiton Project/vac-states/TN.csv
76,2021-01-05,44201,TN,Women's Therapeutic Residential Center (WTRC),139.0,1702.0,1.0,1562.0,1.0,138.0,,,,,,,,,,,,"480 Green Chapel Road, Henning, Tennessee 38041-1150",,6319.0,,,,,,,,,,,,,,,,,,,,,,,,,,/Users/alexesmerritt/Desktop/Prison Vaccinaiton Project/vac-states/TN.csv
