Unnamed: 0,scrapedate,lastupdated,stateagency,facility,fac_inc_tested,fac_inc_positive,sum_inc_totalcapacity,sum_inc_deathsadults,sum_inc_deathsjuvenile,sum_inc_populationadult,sum_inc_populationjuvenile,sum_inc_testedadult,sum_inc_testedjuvenile,sum_inc_pendingadult,sum_inc_pendingjuvenile,sum_inc_positiveadult,sum_inc_positivejuvenile,sum_inc_negativeadult,sum_inc_negativejuvenile,sum_inc_refusedadult,sum_inc_refusedjuvenile,sum_staff_positiveadult,sum_staff_positivejuvenile,sum_staff_deathsadult,sum_staff_deathsjuvenile,sum_staff_positive,sum_staff_deaths,sum_inc_adult_vaccinated_dose1,sum_inc_adult_vaccinated_dose2,sum_inc_juvenile_vaccinated_dose1,sum_inc_juvenile_vaccinated_dose2,facility_bjs,fac_state,fac_inc_deaths,fac_address,fac_zip,sum_inc_negative,sum_inc_pending,sum_inc_pop,sum_inc_positive,sum_inc_deaths,sum_inc_tested,sum_inc_refused,match,bjs_fac_state,bjs_fac_id,bjs_fac_name,bjs_fac_address1,bjs_fac_city,bjs_fac_stateab,bjs_fac_zip1,bjs_fac_gender,bjs_fac_security,bjs_fac_leave,bjs_fac_operator,bjs_fac_malepop,bjs_fac_femalepop,bjs_fac_linked,bjs_fac_changeuse,bjs_fac_changeclose,oldnew,sum_inc_vaccinatedpercent_adult,sum_inc_vaccinatedpercent_juvenile,state
11,2021-01-02,12/31/2020,ME,BCF,151.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,ME,0.0,"516 Cushing Road, Warren, ME 04864",4864.0,,,1712.0,157.0,1.0,6994.0,,not in BJS,,,,,,,,,,,,,,,,,new,,,/Users/alexesmerritt/Desktop/Prison Vaccinaiton Project/vac-states/ME.csv
12,2021-01-02,12/31/2020,ME,Women,483.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,ME,0.0,"17 Mallison Falls Road, Windham, Maine 040624",40624.0,,,1712.0,157.0,1.0,6994.0,,not in BJS,,,,,,,,,,,,,,,,,new,,,/Users/alexesmerritt/Desktop/Prison Vaccinaiton Project/vac-states/ME.csv
13,2021-01-02,12/31/2020,ME,Long Creek Youth Development Center,358.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,ME,0.0,"675 Westbrook Street South, Portland, ME 04106",4106.0,,,1712.0,157.0,1.0,6994.0,,not in BJS,,,,,,,,,,,,,,,,,new,,,/Users/alexesmerritt/Desktop/Prison Vaccinaiton Project/vac-states/ME.csv
14,2021-01-02,44196,ME,,,,,NR,NR,1712.0,29.0,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,/Users/alexesmerritt/Desktop/Prison Vaccinaiton Project/vac-states/ME.csv
15,2021-01-03,12/31/2020,ME,MSP,2885.0,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,MAINE STATE PRISON - WARREN,ME,0.0,807 CUSHING ROAD,4864.0,,,1712.0,157.0,1.0,6994.0,,in BJS (matched),Maine,2e+20,MAINE STATE PRISON - WARREN,807 CUSHING ROAD,WARREN,ME,4864.0,Males only,Super maximum,None,State authority,821.0,,No,No,No,new,,,/Users/alexesmerritt/Desktop/Prison Vaccinaiton Project/vac-states/ME.csv
16,2021-01-03,12/31/2020,ME,MCC,2456.0,147.0,,,,,,,,,,,,,,,,,,,,,,,,,,MAINE CORRECTIONAL CENTER,ME,0.0,17 MALLISON FALLS ROAD,4062.0,,,1712.0,157.0,1.0,6994.0,,in BJS (matched),Maine,2e+20,MAINE CORRECTIONAL CENTER,17 MALLISON FALLS ROAD,WINDHAM,ME,4062.0,Both males and females,Medium,Less than 50% of the inmates,State authority,560.0,144.0,No,No,No,new,,,/Users/alexesmerritt/Desktop/Prison Vaccinaiton Project/vac-states/ME.csv
17,2021-01-03,12/31/2020,ME,MVCF,661.0,6.0,,,,,,,,,,,,,,,,,,,,,,,,,,,ME,1.0,"1182 Dover Road, Charleston, Maine 04422",4422.0,,,1712.0,157.0,1.0,6994.0,,not in BJS,,,,,,,,,,,,,,,,,new,,,/Users/alexesmerritt/Desktop/Prison Vaccinaiton Project/vac-states/ME.csv
18,2021-01-03,12/31/2020,ME,BCF,151.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,ME,0.0,"516 Cushing Road, Warren, ME 04864",4864.0,,,1712.0,157.0,1.0,6994.0,,not in BJS,,,,,,,,,,,,,,,,,new,,,/Users/alexesmerritt/Desktop/Prison Vaccinaiton Project/vac-states/ME.csv
19,2021-01-03,12/31/2020,ME,Women,483.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,ME,0.0,"17 Mallison Falls Road, Windham, Maine 040624",40624.0,,,1712.0,157.0,1.0,6994.0,,not in BJS,,,,,,,,,,,,,,,,,new,,,/Users/alexesmerritt/Desktop/Prison Vaccinaiton Project/vac-states/ME.csv
20,2021-01-03,12/31/2020,ME,Long Creek Youth Development Center,358.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,ME,0.0,"675 Westbrook Street South, Portland, ME 04106",4106.0,,,1712.0,157.0,1.0,6994.0,,not in BJS,,,,,,,,,,,,,,,,,new,,,/Users/alexesmerritt/Desktop/Prison Vaccinaiton Project/vac-states/ME.csv
21,2021-01-03,44196,ME,,,,,NR,NR,1712.0,29.0,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,/Users/alexesmerritt/Desktop/Prison Vaccinaiton Project/vac-states/ME.csv
22,2021-01-04,1/4/2021,ME,MSP,2885.0,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,MAINE STATE PRISON - WARREN,ME,0.0,807 CUSHING ROAD,4864.0,,,1712.0,157.0,1.0,6994.0,,in BJS (matched),Maine,2e+20,MAINE STATE PRISON - WARREN,807 CUSHING ROAD,WARREN,ME,4864.0,Males only,Super maximum,None,State authority,821.0,,No,No,No,new,,,/Users/alexesmerritt/Desktop/Prison Vaccinaiton Project/vac-states/ME.csv
23,2021-01-04,1/4/2021,ME,MCC,2456.0,147.0,,,,,,,,,,,,,,,,,,,,,,,,,,MAINE CORRECTIONAL CENTER,ME,0.0,17 MALLISON FALLS ROAD,4062.0,,,1712.0,157.0,1.0,6994.0,,in BJS (matched),Maine,2e+20,MAINE CORRECTIONAL CENTER,17 MALLISON FALLS ROAD,WINDHAM,ME,4062.0,Both males and females,Medium,Less than 50% of the inmates,State authority,560.0,144.0,No,No,No,new,,,/Users/alexesmerritt/Desktop/Prison Vaccinaiton Project/vac-states/ME.csv
24,2021-01-04,1/4/2021,ME,MVCF,661.0,6.0,,,,,,,,,,,,,,,,,,,,,,,,,,,ME,1.0,"1182 Dover Road, Charleston, Maine 04422",4422.0,,,1712.0,157.0,1.0,6994.0,,not in BJS,,,,,,,,,,,,,,,,,new,,,/Users/alexesmerritt/Desktop/Prison Vaccinaiton Project/vac-states/ME.csv
25,2021-01-04,1/4/2021,ME,BCF,151.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,ME,0.0,"516 Cushing Road, Warren, ME 04864",4864.0,,,1712.0,157.0,1.0,6994.0,,not in BJS,,,,,,,,,,,,,,,,,new,,,/Users/alexesmerritt/Desktop/Prison Vaccinaiton Project/vac-states/ME.csv
26,2021-01-04,1/4/2021,ME,Women,483.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,ME,0.0,"17 Mallison Falls Road, Windham, Maine 040624",40624.0,,,1712.0,157.0,1.0,6994.0,,not in BJS,,,,,,,,,,,,,,,,,new,,,/Users/alexesmerritt/Desktop/Prison Vaccinaiton Project/vac-states/ME.csv
27,2021-01-04,1/4/2021,ME,Long Creek Youth Development Center,358.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,ME,0.0,"675 Westbrook Street South, Portland, ME 04106",4106.0,,,1712.0,157.0,1.0,6994.0,,not in BJS,,,,,,,,,,,,,,,,,new,,,/Users/alexesmerritt/Desktop/Prison Vaccinaiton Project/vac-states/ME.csv
28,2021-01-04,44196,ME,,,,,NR,NR,1712.0,29.0,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,/Users/alexesmerritt/Desktop/Prison Vaccinaiton Project/vac-states/ME.csv
29,2021-01-05,1/5/2021,ME,MSP,2885.0,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,MAINE STATE PRISON - WARREN,ME,0.0,807 CUSHING ROAD,4864.0,,,1708.0,157.0,1.0,7045.0,,in BJS (matched),Maine,2e+20,MAINE STATE PRISON - WARREN,807 CUSHING ROAD,WARREN,ME,4864.0,Males only,Super maximum,None,State authority,821.0,,No,No,No,new,,,/Users/alexesmerritt/Desktop/Prison Vaccinaiton Project/vac-states/ME.csv
30,2021-01-05,1/5/2021,ME,MCC,2464.0,147.0,,,,,,,,,,,,,,,,,,,,,,,,,,MAINE CORRECTIONAL CENTER,ME,0.0,17 MALLISON FALLS ROAD,4062.0,,,1708.0,157.0,1.0,7045.0,,in BJS (matched),Maine,2e+20,MAINE CORRECTIONAL CENTER,17 MALLISON FALLS ROAD,WINDHAM,ME,4062.0,Both males and females,Medium,Less than 50% of the inmates,State authority,560.0,144.0,No,No,No,new,,,/Users/alexesmerritt/Desktop/Prison Vaccinaiton Project/vac-states/ME.csv
31,2021-01-05,1/5/2021,ME,MVCF,703.0,6.0,,,,,,,,,,,,,,,,,,,,,,,,,,,ME,1.0,"1182 Dover Road, Charleston, Maine 04422",4422.0,,,1708.0,157.0,1.0,7045.0,,not in BJS,,,,,,,,,,,,,,,,,new,,,/Users/alexesmerritt/Desktop/Prison Vaccinaiton Project/vac-states/ME.csv
32,2021-01-05,1/5/2021,ME,BCF,151.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,ME,0.0,"516 Cushing Road, Warren, ME 04864",4864.0,,,1708.0,157.0,1.0,7045.0,,not in BJS,,,,,,,,,,,,,,,,,new,,,/Users/alexesmerritt/Desktop/Prison Vaccinaiton Project/vac-states/ME.csv
33,2021-01-05,1/5/2021,ME,Women,483.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,ME,0.0,"17 Mallison Falls Road, Windham, Maine 040624",40624.0,,,1708.0,157.0,1.0,7045.0,,not in BJS,,,,,,,,,,,,,,,,,new,,,/Users/alexesmerritt/Desktop/Prison Vaccinaiton Project/vac-states/ME.csv
34,2021-01-05,1/5/2021,ME,Long Creek Youth Development Center,359.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,ME,0.0,"675 Westbrook Street South, Portland, ME 04106",4106.0,,,1708.0,157.0,1.0,7045.0,,not in BJS,,,,,,,,,,,,,,,,,new,,,/Users/alexesmerritt/Desktop/Prison Vaccinaiton Project/vac-states/ME.csv
35,2021-01-05,44201,ME,,,,,NR,NR,1708.0,29.0,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,/Users/alexesmerritt/Desktop/Prison Vaccinaiton Project/vac-states/ME.csv
36,2021-01-06,1/6/2021,ME,MSP,2890.0,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,MAINE STATE PRISON - WARREN,ME,0.0,807 CUSHING ROAD,4864.0,,,1708.0,157.0,1.0,7054.0,,in BJS (matched),Maine,2e+20,MAINE STATE PRISON - WARREN,807 CUSHING ROAD,WARREN,ME,4864.0,Males only,Super maximum,None,State authority,821.0,,No,No,No,new,,,/Users/alexesmerritt/Desktop/Prison Vaccinaiton Project/vac-states/ME.csv
37,2021-01-06,1/6/2021,ME,MCC,2466.0,147.0,,,,,,,,,,,,,,,,,,,,,,,,,,MAINE CORRECTIONAL CENTER,ME,0.0,17 MALLISON FALLS ROAD,4062.0,,,1708.0,157.0,1.0,7054.0,,in BJS (matched),Maine,2e+20,MAINE CORRECTIONAL CENTER,17 MALLISON FALLS ROAD,WINDHAM,ME,4062.0,Both males and females,Medium,Less than 50% of the inmates,State authority,560.0,144.0,No,No,No,new,,,/Users/alexesmerritt/Desktop/Prison Vaccinaiton Project/vac-states/ME.csv
38,2021-01-06,1/6/2021,ME,MVCF,705.0,6.0,,,,,,,,,,,,,,,,,,,,,,,,,,,ME,1.0,"1182 Dover Road, Charleston, Maine 04422",4422.0,,,1708.0,157.0,1.0,7054.0,,not in BJS,,,,,,,,,,,,,,,,,new,,,/Users/alexesmerritt/Desktop/Prison Vaccinaiton Project/vac-states/ME.csv
39,2021-01-06,1/6/2021,ME,BCF,151.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,ME,0.0,"516 Cushing Road, Warren, ME 04864",4864.0,,,1708.0,157.0,1.0,7054.0,,not in BJS,,,,,,,,,,,,,,,,,new,,,/Users/alexesmerritt/Desktop/Prison Vaccinaiton Project/vac-states/ME.csv
40,2021-01-06,1/6/2021,ME,Women,483.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,ME,0.0,"17 Mallison Falls Road, Windham, Maine 040624",40624.0,,,1708.0,157.0,1.0,7054.0,,not in BJS,,,,,,,,,,,,,,,,,new,,,/Users/alexesmerritt/Desktop/Prison Vaccinaiton Project/vac-states/ME.csv
41,2021-01-06,1/6/2021,ME,Long Creek Youth Development Center,359.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,ME,0.0,"675 Westbrook Street South, Portland, ME 04106",4106.0,,,1708.0,157.0,1.0,7054.0,,not in BJS,,,,,,,,,,,,,,,,,new,,,/Users/alexesmerritt/Desktop/Prison Vaccinaiton Project/vac-states/ME.csv
42,2021-01-06,44202,ME,,,,,NR,NR,1708.0,29.0,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,/Users/alexesmerritt/Desktop/Prison Vaccinaiton Project/vac-states/ME.csv
43,2021-01-07,1/6/2021,ME,MSP,2890.0,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,MAINE STATE PRISON - WARREN,ME,0.0,807 CUSHING ROAD,4864.0,,,1708.0,157.0,1.0,7054.0,,in BJS (matched),Maine,2e+20,MAINE STATE PRISON - WARREN,807 CUSHING ROAD,WARREN,ME,4864.0,Males only,Super maximum,None,State authority,821.0,,No,No,No,new,,,/Users/alexesmerritt/Desktop/Prison Vaccinaiton Project/vac-states/ME.csv
44,2021-01-07,1/6/2021,ME,MCC,2466.0,147.0,,,,,,,,,,,,,,,,,,,,,,,,,,MAINE CORRECTIONAL CENTER,ME,0.0,17 MALLISON FALLS ROAD,4062.0,,,1708.0,157.0,1.0,7054.0,,in BJS (matched),Maine,2e+20,MAINE CORRECTIONAL CENTER,17 MALLISON FALLS ROAD,WINDHAM,ME,4062.0,Both males and females,Medium,Less than 50% of the inmates,State authority,560.0,144.0,No,No,No,new,,,/Users/alexesmerritt/Desktop/Prison Vaccinaiton Project/vac-states/ME.csv
45,2021-01-07,1/6/2021,ME,MVCF,705.0,6.0,,,,,,,,,,,,,,,,,,,,,,,,,,,ME,1.0,"1182 Dover Road, Charleston, Maine 04422",4422.0,,,1708.0,157.0,1.0,7054.0,,not in BJS,,,,,,,,,,,,,,,,,new,,,/Users/alexesmerritt/Desktop/Prison Vaccinaiton Project/vac-states/ME.csv
46,2021-01-07,1/6/2021,ME,BCF,151.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,ME,0.0,"516 Cushing Road, Warren, ME 04864",4864.0,,,1708.0,157.0,1.0,7054.0,,not in BJS,,,,,,,,,,,,,,,,,new,,,/Users/alexesmerritt/Desktop/Prison Vaccinaiton Project/vac-states/ME.csv
47,2021-01-07,1/6/2021,ME,Women,483.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,ME,0.0,"17 Mallison Falls Road, Windham, Maine 040624",40624.0,,,1708.0,157.0,1.0,7054.0,,not in BJS,,,,,,,,,,,,,,,,,new,,,/Users/alexesmerritt/Desktop/Prison Vaccinaiton Project/vac-states/ME.csv
48,2021-01-07,1/6/2021,ME,Long Creek Youth Development Center,359.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,ME,0.0,"675 Westbrook Street South, Portland, ME 04106",4106.0,,,1708.0,157.0,1.0,7054.0,,not in BJS,,,,,,,,,,,,,,,,,new,,,/Users/alexesmerritt/Desktop/Prison Vaccinaiton Project/vac-states/ME.csv
49,2021-01-07,44202,ME,,,,,NR,NR,1708.0,29.0,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,/Users/alexesmerritt/Desktop/Prison Vaccinaiton Project/vac-states/ME.csv
50,2021-01-08,1/7/2021,ME,MSP,2895.0,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,MAINE STATE PRISON - WARREN,ME,0.0,807 CUSHING ROAD,4864.0,,,1698.0,157.0,1.0,7076.0,,in BJS (matched),Maine,2e+20,MAINE STATE PRISON - WARREN,807 CUSHING ROAD,WARREN,ME,4864.0,Males only,Super maximum,None,State authority,821.0,,No,No,No,new,,,/Users/alexesmerritt/Desktop/Prison Vaccinaiton Project/vac-states/ME.csv
51,2021-01-08,1/7/2021,ME,MCC,2480.0,147.0,,,,,,,,,,,,,,,,,,,,,,,,,,MAINE CORRECTIONAL CENTER,ME,0.0,17 MALLISON FALLS ROAD,4062.0,,,1698.0,157.0,1.0,7076.0,,in BJS (matched),Maine,2e+20,MAINE CORRECTIONAL CENTER,17 MALLISON FALLS ROAD,WINDHAM,ME,4062.0,Both males and females,Medium,Less than 50% of the inmates,State authority,560.0,144.0,No,No,No,new,,,/Users/alexesmerritt/Desktop/Prison Vaccinaiton Project/vac-states/ME.csv
52,2021-01-08,1/7/2021,ME,MVCF,708.0,6.0,,,,,,,,,,,,,,,,,,,,,,,,,,,ME,1.0,"1182 Dover Road, Charleston, Maine 04422",4422.0,,,1698.0,157.0,1.0,7076.0,,not in BJS,,,,,,,,,,,,,,,,,new,,,/Users/alexesmerritt/Desktop/Prison Vaccinaiton Project/vac-states/ME.csv
53,2021-01-08,1/7/2021,ME,BCF,151.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,ME,0.0,"516 Cushing Road, Warren, ME 04864",4864.0,,,1698.0,157.0,1.0,7076.0,,not in BJS,,,,,,,,,,,,,,,,,new,,,/Users/alexesmerritt/Desktop/Prison Vaccinaiton Project/vac-states/ME.csv
54,2021-01-08,1/7/2021,ME,Women,483.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,ME,0.0,"17 Mallison Falls Road, Windham, Maine 040624",40624.0,,,1698.0,157.0,1.0,7076.0,,not in BJS,,,,,,,,,,,,,,,,,new,,,/Users/alexesmerritt/Desktop/Prison Vaccinaiton Project/vac-states/ME.csv
55,2021-01-08,1/7/2021,ME,Long Creek Youth Development Center,359.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,ME,0.0,"675 Westbrook Street South, Portland, ME 04106",4106.0,,,1698.0,157.0,1.0,7076.0,,not in BJS,,,,,,,,,,,,,,,,,new,,,/Users/alexesmerritt/Desktop/Prison Vaccinaiton Project/vac-states/ME.csv
56,2021-01-08,44203,ME,,,,,NR,NR,1698.0,29.0,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,/Users/alexesmerritt/Desktop/Prison Vaccinaiton Project/vac-states/ME.csv
57,2021-01-09,1/7/2021,ME,MSP,2895.0,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,MAINE STATE PRISON - WARREN,ME,0.0,807 CUSHING ROAD,4864.0,,,1698.0,157.0,1.0,7076.0,,in BJS (matched),Maine,2e+20,MAINE STATE PRISON - WARREN,807 CUSHING ROAD,WARREN,ME,4864.0,Males only,Super maximum,None,State authority,821.0,,No,No,No,new,,,/Users/alexesmerritt/Desktop/Prison Vaccinaiton Project/vac-states/ME.csv
58,2021-01-09,1/7/2021,ME,MCC,2480.0,147.0,,,,,,,,,,,,,,,,,,,,,,,,,,MAINE CORRECTIONAL CENTER,ME,0.0,17 MALLISON FALLS ROAD,4062.0,,,1698.0,157.0,1.0,7076.0,,in BJS (matched),Maine,2e+20,MAINE CORRECTIONAL CENTER,17 MALLISON FALLS ROAD,WINDHAM,ME,4062.0,Both males and females,Medium,Less than 50% of the inmates,State authority,560.0,144.0,No,No,No,new,,,/Users/alexesmerritt/Desktop/Prison Vaccinaiton Project/vac-states/ME.csv
59,2021-01-09,1/7/2021,ME,MVCF,708.0,6.0,,,,,,,,,,,,,,,,,,,,,,,,,,,ME,1.0,"1182 Dover Road, Charleston, Maine 04422",4422.0,,,1698.0,157.0,1.0,7076.0,,not in BJS,,,,,,,,,,,,,,,,,new,,,/Users/alexesmerritt/Desktop/Prison Vaccinaiton Project/vac-states/ME.csv
60,2021-01-09,1/7/2021,ME,BCF,151.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,ME,0.0,"516 Cushing Road, Warren, ME 04864",4864.0,,,1698.0,157.0,1.0,7076.0,,not in BJS,,,,,,,,,,,,,,,,,new,,,/Users/alexesmerritt/Desktop/Prison Vaccinaiton Project/vac-states/ME.csv
61,2021-01-09,1/7/2021,ME,Women,483.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,ME,0.0,"17 Mallison Falls Road, Windham, Maine 040624",40624.0,,,1698.0,157.0,1.0,7076.0,,not in BJS,,,,,,,,,,,,,,,,,new,,,/Users/alexesmerritt/Desktop/Prison Vaccinaiton Project/vac-states/ME.csv
62,2021-01-09,1/7/2021,ME,Long Creek Youth Development Center,359.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,ME,0.0,"675 Westbrook Street South, Portland, ME 04106",4106.0,,,1698.0,157.0,1.0,7076.0,,not in BJS,,,,,,,,,,,,,,,,,new,,,/Users/alexesmerritt/Desktop/Prison Vaccinaiton Project/vac-states/ME.csv
