Unnamed: 0,scrapedate,lastupdated,stateagency,facility,fac_inc_tested,fac_inc_positive,fac_inc_positiveonsite,fac_inc_hospitalized,fac_inc_deaths,fac_staff_positive,fac_staff_active,sum_inc_docearlyrelease,sum_inc_hospitalearlyrelease,sum_inc_localjailsearlyrelease,sum_staff_deaths,sum_inc_vaccinated,sum_staff_vaccinated,facility_bjs,fac_state,fac_inc_hospital,fac_address,fac_zip,sum_inc_positive,sum_inc_deaths,sum_staff_positive,match,bjs_fac_state,bjs_fac_id,bjs_fac_id2,bjs_fac_name,bjs_fac_address1,bjs_fac_address2,bjs_fac_city,bjs_fac_stateab,bjs_fac_zip1,bjs_fac_zip2,bjs_fac_gender,bjs_fac_security,bjs_fac_securityother,bjs_fac_leave,bjs_fac_operator,bjs_fac_privprison,bjs_fac_malepop,bjs_fac_femalepop,bjs_fac_linked,bjs_fac_linktxt,bjs_fac_changeuse,bjs_fac_changeclose,bjs_fac_notes,state
11,2021-01-01,,VA,Cold Springs CCAP,,23.0,17.0,,0.0,,,,,,,,,,,,192 Spitler Circle,,7283.0,,,,,,,,,,,,,,,,,,,,,,,,,,,/Users/alexesmerritt/Desktop/Prison Vaccinaiton Project/vac-states/VA.csv
12,2021-01-01,,VA,Cold Springs Correctional Unit 10,,64.0,11.0,,0.0,,,,,,,,,,,,"221 Spitler Circle, Greenville, VA 24440",,7283.0,,,,,,,,,,,,,,,,,,,,,,,,,,,/Users/alexesmerritt/Desktop/Prison Vaccinaiton Project/vac-states/VA.csv
13,2021-01-01,,VA,Deerfield Correctional Center includes Deerfield Work Centers,,837.0,0.0,,19.0,,,,,,,,,,,,"21360 Deerfield Drive, Capron, VA 23829",,7283.0,,,,,,,,,,,,,,,,,,,,,,,,,,,/Users/alexesmerritt/Desktop/Prison Vaccinaiton Project/vac-states/VA.csv
14,2021-01-01,,VA,Dillwyn Correctional Center,,350.0,0.0,,2.0,,,,,,,,,,,,"1522 Prison Road, Dillwyn, VA 23936",,7283.0,,,,,,,,,,,,,,,,,,,,,,,,,,,/Users/alexesmerritt/Desktop/Prison Vaccinaiton Project/vac-states/VA.csv
15,2021-01-01,,VA,Fluvanna Correctional Center for Women,,356.0,72.0,,0.0,,,,,,,,,,,,"144 Prison Lane, Troy, VA 22974",,7283.0,,,,,,,,,,,,,,,,,,,,,,,,,,,/Users/alexesmerritt/Desktop/Prison Vaccinaiton Project/vac-states/VA.csv
16,2021-01-01,,VA,Green Rock Correctional Center,,102.0,0.0,,0.0,,,,,,,,,,,,"475 Green Rock Lane, Chatham, VA 24531",,7283.0,,,,,,,,,,,,,,,,,,,,,,,,,,,/Users/alexesmerritt/Desktop/Prison Vaccinaiton Project/vac-states/VA.csv
17,2021-01-01,,VA,Greensville Correctional Center includes Greensville Work Center,,697.0,1.0,,2.0,,,,,,,,,,,,"901 Corrections Way, Jarratt, VA 23870",,7283.0,,,,,,,,,,,,,,,,,,,,,,,,,,,/Users/alexesmerritt/Desktop/Prison Vaccinaiton Project/vac-states/VA.csv
18,2021-01-01,,VA,Halifax Correctional Unit,,0.0,0.0,,0.0,,,,,,,,,,,,"1200 Farm Road,Halifax, VA 24558",,7283.0,,,,,,,,,,,,,,,,,,,,,,,,,,,/Users/alexesmerritt/Desktop/Prison Vaccinaiton Project/vac-states/VA.csv
19,2021-01-01,,VA,Harrisonburg Mens CCAP,,26.0,0.0,,0.0,,,,,,,,,,,,6624 Beard Woods Lane,,7283.0,,,,,,,,,,,,,,,,,,,,,,,,,,,/Users/alexesmerritt/Desktop/Prison Vaccinaiton Project/vac-states/VA.csv
20,2021-01-01,,VA,Haynesville Correctional Center,,315.0,59.0,,1.0,,,,,,,,,,,,"421 Barnfield Road , Haynesville, VA 22472",,7283.0,,,,,,,,,,,,,,,,,,,,,,,,,,,/Users/alexesmerritt/Desktop/Prison Vaccinaiton Project/vac-states/VA.csv
21,2021-01-01,,VA,Haynesville Correctional Unit 17,,1.0,0.0,,0.0,,,,,,,,,,,,"363 Camp Seventeen Road, Haynesville, VA 22472",,7283.0,,,,,,,,,,,,,,,,,,,,,,,,,,,/Users/alexesmerritt/Desktop/Prison Vaccinaiton Project/vac-states/VA.csv
22,2021-01-01,,VA,Indian Creek Correctional Center,,54.0,0.0,,0.0,,,,,,,,,,,,"801 Sanderson Road, Chesapeake, VA 23328",,7283.0,,,,,,,,,,,,,,,,,,,,,,,,,,,/Users/alexesmerritt/Desktop/Prison Vaccinaiton Project/vac-states/VA.csv
23,2021-01-01,,VA,Keen Mountain Correctional Center,,15.0,0.0,,0.0,,,,,,,,,,,,"State Route 629, Oakwood, VA 24631",,7283.0,,,,,,,,,,,,,,,,,,,,,,,,,,,/Users/alexesmerritt/Desktop/Prison Vaccinaiton Project/vac-states/VA.csv
24,2021-01-01,,VA,Lawrenceville Correctional Center,,98.0,3.0,,1.0,,,,,,,,,,,,"1607 Planters Road, Lawrenceville, VA 23868",,7283.0,,,,,,,,,,,,,,,,,,,,,,,,,,,/Users/alexesmerritt/Desktop/Prison Vaccinaiton Project/vac-states/VA.csv
25,2021-01-01,,VA,Lunenburg Correctional Center,,74.0,3.0,,0.0,,,,,,,,,,,,"690 Falls Road, Victoria, VA 23974",,7283.0,,,,,,,,,,,,,,,,,,,,,,,,,,,/Users/alexesmerritt/Desktop/Prison Vaccinaiton Project/vac-states/VA.csv
26,2021-01-01,,VA,Marion Correctional Treatment Center,,65.0,59.0,,1.0,,,,,,,,,,,,"110 Wright Street, Marion, VA 24354",,7283.0,,,,,,,,,,,,,,,,,,,,,,,,,,,/Users/alexesmerritt/Desktop/Prison Vaccinaiton Project/vac-states/VA.csv
27,2021-01-01,,VA,Nottoway Correctional Center includes Nottoway Work Center,,429.0,214.0,,1.0,,,,,,,,,,,,"2892 Schutt Road, Burkeville, VA 23922",,7283.0,,,,,,,,,,,,,,,,,,,,,,,,,,,/Users/alexesmerritt/Desktop/Prison Vaccinaiton Project/vac-states/VA.csv
28,2021-01-01,,VA,Patrick Henry Correctional Unit,,38.0,38.0,,0.0,,,,,,,,,,,,"18155 A. L. Philpott Highway, Ridgeway, VA 24148",,7283.0,,,,,,,,,,,,,,,,,,,,,,,,,,,/Users/alexesmerritt/Desktop/Prison Vaccinaiton Project/vac-states/VA.csv
29,2021-01-01,,VA,Pocahontas State Correctional Center,,216.0,21.0,,3.0,,,,,,,,,,,,"317 Old Mountain Road, Pocahontas, VA 24635",,7283.0,,,,,,,,,,,,,,,,,,,,,,,,,,,/Users/alexesmerritt/Desktop/Prison Vaccinaiton Project/vac-states/VA.csv
30,2021-01-01,,VA,Red Onion State Prison,,25.0,1.0,,0.0,,,,,,,,,,,,"10800 H. JACK ROSE HIGHWAY, P. O. Box 970",,7283.0,,,,,,,,,,,,,,,,,,,,,,,,,,,/Users/alexesmerritt/Desktop/Prison Vaccinaiton Project/vac-states/VA.csv
31,2021-01-01,,VA,River North Correctional Center,,2.0,0.0,,0.0,,,,,,,,,,,,"329 Dell Brook Lane, Independence, VA 24348",,7283.0,,,,,,,,,,,,,,,,,,,,,,,,,,,/Users/alexesmerritt/Desktop/Prison Vaccinaiton Project/vac-states/VA.csv
32,2021-01-01,,VA,Rustburg Correctional Unit,,0.0,0.0,,0.0,,,,,,,,,,,,"479 Camp Nine Road, Rustburg, VA 24588",,7283.0,,,,,,,,,,,,,,,,,,,,,,,,,,,/Users/alexesmerritt/Desktop/Prison Vaccinaiton Project/vac-states/VA.csv
33,2021-01-01,,VA,St Brides Correctional Center,,413.0,36.0,,0.0,,,,,,,,,,,,"701 Sanderson Road, Chesapeake, VA 23328",,7283.0,,,,,,,,,,,,,,,,,,,,,,,,,,,/Users/alexesmerritt/Desktop/Prison Vaccinaiton Project/vac-states/VA.csv
34,2021-01-01,,VA,Stafford Men’s CCAP,,8.0,0.0,,0.0,,,,,,,,,,,,"384 Eskimo Hill Road, Stafford, VA, 22554",,7283.0,,,,,,,,,,,,,,,,,,,,,,,,,,,/Users/alexesmerritt/Desktop/Prison Vaccinaiton Project/vac-states/VA.csv
35,2021-01-01,,VA,State Farm Correctional Complex,,475.0,114.0,,5.0,,,,,,,,,,,,"3500 Woods Way, State Farm, VA 23160",,7283.0,,,,,,,,,,,,,,,,,,,,,,,,,,,/Users/alexesmerritt/Desktop/Prison Vaccinaiton Project/vac-states/VA.csv
36,2021-01-01,,VA,Sussex I State Prison,,177.0,14.0,,0.0,,,,,,,,,,,,24414 Mussel White Drive,,7283.0,,,,,,,,,,,,,,,,,,,,,,,,,,,/Users/alexesmerritt/Desktop/Prison Vaccinaiton Project/vac-states/VA.csv
37,2021-01-01,,VA,Sussex II State Prison,,76.0,2.0,,1.0,,,,,,,,,,,,24427 MUSSELWHITE DRIVE,,7283.0,,,,,,,,,,,,,,,,,,,,,,,,,,,/Users/alexesmerritt/Desktop/Prison Vaccinaiton Project/vac-states/VA.csv
38,2021-01-01,,VA,Virginia Correctional Center for Women includes State Farm Work Center,,47.0,0.0,,1.0,,,,,,,,,,,,"2841 River Road, Goochland, VA 23063",,7283.0,,,,,,,,,,,,,,,,,,,,,,,,,,,/Users/alexesmerritt/Desktop/Prison Vaccinaiton Project/vac-states/VA.csv
39,2021-01-01,,VA,Wallens Ridge State Prison,,1.0,0.0,,0.0,,,,,,,,,,,,272 DOGWOOD DR,,7283.0,,,,,,,,,,,,,,,,,,,,,,,,,,,/Users/alexesmerritt/Desktop/Prison Vaccinaiton Project/vac-states/VA.csv
40,2021-01-01,,VA,Wise Correctional Unit,,24.0,0.0,,0.0,,,,,,,,,,,,"3602 Bear Lane Coeburn, VA 24230",,7283.0,,,,,,,,,,,,,,,,,,,,,,,,,,,/Users/alexesmerritt/Desktop/Prison Vaccinaiton Project/vac-states/VA.csv
41,2021-01-02,,VA,Appalachian Mens CCAP,NR,50.0,0.0,0.0,0.0,NR,5.0,,,,,,,,,,"924 CLIFTON ROAD, P. O. Box 2110",24260.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,/Users/alexesmerritt/Desktop/Prison Vaccinaiton Project/vac-states/VA.csv
42,2021-01-02,,VA,Augusta Correctional Center,,462.0,113.0,,4.0,,,,,,,,,,,,"1821 Estaline Valley Road, Craigsville, VA 24430",,7297.0,,,,,,,,,,,,,,,,,,,,,,,,,,,/Users/alexesmerritt/Desktop/Prison Vaccinaiton Project/vac-states/VA.csv
43,2021-01-02,,VA,Baskerville Correctional Center,,249.0,0.0,,0.0,,,,,,,,,,,,"4150 Hayes Mill Road ,Baskerville, VA 23915",,7297.0,,,,,,,,,,,,,,,,,,,,,,,,,,,/Users/alexesmerritt/Desktop/Prison Vaccinaiton Project/vac-states/VA.csv
44,2021-01-02,,VA,Bland Correctional Center,,185.0,9.0,,0.0,,,,,,,,,,,,"256 Bland Farm Road, Bland, VA 24315",,7297.0,,,,,,,,,,,,,,,,,,,,,,,,,,,/Users/alexesmerritt/Desktop/Prison Vaccinaiton Project/vac-states/VA.csv
45,2021-01-02,,VA,Brunswick CCAP,,0.0,0.0,,0.0,,,,,,,,,,,,1147 PLANTERS ROAD,,7297.0,,,,,,,,,,,,,,,,,,,,,,,,,,,/Users/alexesmerritt/Desktop/Prison Vaccinaiton Project/vac-states/VA.csv
46,2021-01-02,,VA,Buckingham Correctional Center,,598.0,207.0,,4.0,,,,,,,,,,,,"1349 Correctional Center Road, Dillwyn, VA 23936",,7297.0,,,,,,,,,,,,,,,,,,,,,,,,,,,/Users/alexesmerritt/Desktop/Prison Vaccinaiton Project/vac-states/VA.csv
47,2021-01-02,,VA,Caroline Correctional Unit,,6.0,1.0,,0.0,,,,,,,,,,,,"31285 Camp Road, Hanover, VA 23069",,7297.0,,,,,,,,,,,,,,,,,,,,,,,,,,,/Users/alexesmerritt/Desktop/Prison Vaccinaiton Project/vac-states/VA.csv
48,2021-01-02,,VA,Central Virginia Correctional Unit 13,,57.0,0.0,,0.0,,,,,,,,,,,,"6900 Courthouse Road, Chesterfield, VA 23832",,7297.0,,,,,,,,,,,,,,,,,,,,,,,,,,,/Users/alexesmerritt/Desktop/Prison Vaccinaiton Project/vac-states/VA.csv
49,2021-01-02,,VA,Chesterfield Women’s CCAP,,0.0,0.0,,0.0,,,,,,,,,,,,"7000 Courthouse Road, Chesterfield, VA 23832",,7297.0,,,,,,,,,,,,,,,,,,,,,,,,,,,/Users/alexesmerritt/Desktop/Prison Vaccinaiton Project/vac-states/VA.csv
50,2021-01-02,,VA,Coffeewood Correctional Center,,674.0,1.0,,1.0,,,,,,,,,,,,"12352 Coffeewood Drive, Mitchells, VA 22729",,7297.0,,,,,,,,,,,,,,,,,,,,,,,,,,,/Users/alexesmerritt/Desktop/Prison Vaccinaiton Project/vac-states/VA.csv
51,2021-01-02,,VA,Cold Springs CCAP,,23.0,17.0,,0.0,,,,,,,,,,,,192 Spitler Circle,,7297.0,,,,,,,,,,,,,,,,,,,,,,,,,,,/Users/alexesmerritt/Desktop/Prison Vaccinaiton Project/vac-states/VA.csv
52,2021-01-02,,VA,Cold Springs Correctional Unit 10,,64.0,0.0,,0.0,,,,,,,,,,,,"221 Spitler Circle, Greenville, VA 24440",,7297.0,,,,,,,,,,,,,,,,,,,,,,,,,,,/Users/alexesmerritt/Desktop/Prison Vaccinaiton Project/vac-states/VA.csv
53,2021-01-02,,VA,Deerfield Correctional Center includes Deerfield Work Centers,,837.0,0.0,,19.0,,,,,,,,,,,,"21360 Deerfield Drive, Capron, VA 23829",,7297.0,,,,,,,,,,,,,,,,,,,,,,,,,,,/Users/alexesmerritt/Desktop/Prison Vaccinaiton Project/vac-states/VA.csv
54,2021-01-02,,VA,Dillwyn Correctional Center,,350.0,0.0,,2.0,,,,,,,,,,,,"1522 Prison Road, Dillwyn, VA 23936",,7297.0,,,,,,,,,,,,,,,,,,,,,,,,,,,/Users/alexesmerritt/Desktop/Prison Vaccinaiton Project/vac-states/VA.csv
55,2021-01-02,,VA,Fluvanna Correctional Center for Women,,356.0,53.0,,0.0,,,,,,,,,,,,"144 Prison Lane, Troy, VA 22974",,7297.0,,,,,,,,,,,,,,,,,,,,,,,,,,,/Users/alexesmerritt/Desktop/Prison Vaccinaiton Project/vac-states/VA.csv
56,2021-01-02,,VA,Green Rock Correctional Center,,102.0,0.0,,0.0,,,,,,,,,,,,"475 Green Rock Lane, Chatham, VA 24531",,7297.0,,,,,,,,,,,,,,,,,,,,,,,,,,,/Users/alexesmerritt/Desktop/Prison Vaccinaiton Project/vac-states/VA.csv
57,2021-01-02,,VA,Greensville Correctional Center includes Greensville Work Center,,697.0,1.0,,2.0,,,,,,,,,,,,"901 Corrections Way, Jarratt, VA 23870",,7297.0,,,,,,,,,,,,,,,,,,,,,,,,,,,/Users/alexesmerritt/Desktop/Prison Vaccinaiton Project/vac-states/VA.csv
58,2021-01-02,,VA,Halifax Correctional Unit,,0.0,0.0,,0.0,,,,,,,,,,,,"1200 Farm Road,Halifax, VA 24558",,7297.0,,,,,,,,,,,,,,,,,,,,,,,,,,,/Users/alexesmerritt/Desktop/Prison Vaccinaiton Project/vac-states/VA.csv
59,2021-01-02,,VA,Harrisonburg Mens CCAP,,26.0,0.0,,0.0,,,,,,,,,,,,6624 Beard Woods Lane,,7297.0,,,,,,,,,,,,,,,,,,,,,,,,,,,/Users/alexesmerritt/Desktop/Prison Vaccinaiton Project/vac-states/VA.csv
60,2021-01-02,,VA,Haynesville Correctional Center,,315.0,59.0,,1.0,,,,,,,,,,,,"421 Barnfield Road , Haynesville, VA 22472",,7297.0,,,,,,,,,,,,,,,,,,,,,,,,,,,/Users/alexesmerritt/Desktop/Prison Vaccinaiton Project/vac-states/VA.csv
61,2021-01-02,,VA,Haynesville Correctional Unit 17,,1.0,0.0,,0.0,,,,,,,,,,,,"363 Camp Seventeen Road, Haynesville, VA 22472",,7297.0,,,,,,,,,,,,,,,,,,,,,,,,,,,/Users/alexesmerritt/Desktop/Prison Vaccinaiton Project/vac-states/VA.csv
62,2021-01-02,,VA,Indian Creek Correctional Center,,54.0,0.0,,0.0,,,,,,,,,,,,"801 Sanderson Road, Chesapeake, VA 23328",,7297.0,,,,,,,,,,,,,,,,,,,,,,,,,,,/Users/alexesmerritt/Desktop/Prison Vaccinaiton Project/vac-states/VA.csv
63,2021-01-02,,VA,Keen Mountain Correctional Center,,15.0,1.0,,0.0,,,,,,,,,,,,"State Route 629, Oakwood, VA 24631",,7297.0,,,,,,,,,,,,,,,,,,,,,,,,,,,/Users/alexesmerritt/Desktop/Prison Vaccinaiton Project/vac-states/VA.csv
64,2021-01-02,,VA,Lawrenceville Correctional Center,,98.0,3.0,,1.0,,,,,,,,,,,,"1607 Planters Road, Lawrenceville, VA 23868",,7297.0,,,,,,,,,,,,,,,,,,,,,,,,,,,/Users/alexesmerritt/Desktop/Prison Vaccinaiton Project/vac-states/VA.csv
65,2021-01-02,,VA,Lunenburg Correctional Center,,74.0,3.0,,0.0,,,,,,,,,,,,"690 Falls Road, Victoria, VA 23974",,7297.0,,,,,,,,,,,,,,,,,,,,,,,,,,,/Users/alexesmerritt/Desktop/Prison Vaccinaiton Project/vac-states/VA.csv
66,2021-01-02,,VA,Marion Correctional Treatment Center,,68.0,62.0,,1.0,,,,,,,,,,,,"110 Wright Street, Marion, VA 24354",,7297.0,,,,,,,,,,,,,,,,,,,,,,,,,,,/Users/alexesmerritt/Desktop/Prison Vaccinaiton Project/vac-states/VA.csv
67,2021-01-02,,VA,Nottoway Correctional Center includes Nottoway Work Center,,429.0,102.0,,1.0,,,,,,,,,,,,"2892 Schutt Road, Burkeville, VA 23922",,7297.0,,,,,,,,,,,,,,,,,,,,,,,,,,,/Users/alexesmerritt/Desktop/Prison Vaccinaiton Project/vac-states/VA.csv
68,2021-01-02,,VA,Patrick Henry Correctional Unit,,39.0,39.0,,0.0,,,,,,,,,,,,"18155 A. L. Philpott Highway, Ridgeway, VA 24148",,7297.0,,,,,,,,,,,,,,,,,,,,,,,,,,,/Users/alexesmerritt/Desktop/Prison Vaccinaiton Project/vac-states/VA.csv
69,2021-01-02,,VA,Pocahontas State Correctional Center,,217.0,20.0,,3.0,,,,,,,,,,,,"317 Old Mountain Road, Pocahontas, VA 24635",,7297.0,,,,,,,,,,,,,,,,,,,,,,,,,,,/Users/alexesmerritt/Desktop/Prison Vaccinaiton Project/vac-states/VA.csv
70,2021-01-02,,VA,Red Onion State Prison,,25.0,1.0,,0.0,,,,,,,,,,,,"10800 H. JACK ROSE HIGHWAY, P. O. Box 970",,7297.0,,,,,,,,,,,,,,,,,,,,,,,,,,,/Users/alexesmerritt/Desktop/Prison Vaccinaiton Project/vac-states/VA.csv
71,2021-01-02,,VA,River North Correctional Center,,2.0,0.0,,0.0,,,,,,,,,,,,"329 Dell Brook Lane, Independence, VA 24348",,7297.0,,,,,,,,,,,,,,,,,,,,,,,,,,,/Users/alexesmerritt/Desktop/Prison Vaccinaiton Project/vac-states/VA.csv
72,2021-01-02,,VA,Rustburg Correctional Unit,,0.0,0.0,,0.0,,,,,,,,,,,,"479 Camp Nine Road, Rustburg, VA 24588",,7297.0,,,,,,,,,,,,,,,,,,,,,,,,,,,/Users/alexesmerritt/Desktop/Prison Vaccinaiton Project/vac-states/VA.csv
73,2021-01-02,,VA,St Brides Correctional Center,,416.0,36.0,,0.0,,,,,,,,,,,,"701 Sanderson Road, Chesapeake, VA 23328",,7297.0,,,,,,,,,,,,,,,,,,,,,,,,,,,/Users/alexesmerritt/Desktop/Prison Vaccinaiton Project/vac-states/VA.csv
74,2021-01-02,,VA,Stafford Men’s CCAP,,8.0,0.0,,0.0,,,,,,,,,,,,"384 Eskimo Hill Road, Stafford, VA, 22554",,7297.0,,,,,,,,,,,,,,,,,,,,,,,,,,,/Users/alexesmerritt/Desktop/Prison Vaccinaiton Project/vac-states/VA.csv
75,2021-01-02,,VA,State Farm Correctional Complex,,475.0,114.0,,5.0,,,,,,,,,,,,"3500 Woods Way, State Farm, VA 23160",,7297.0,,,,,,,,,,,,,,,,,,,,,,,,,,,/Users/alexesmerritt/Desktop/Prison Vaccinaiton Project/vac-states/VA.csv
76,2021-01-02,,VA,Sussex I State Prison,,177.0,14.0,,0.0,,,,,,,,,,,,24414 Mussel White Drive,,7297.0,,,,,,,,,,,,,,,,,,,,,,,,,,,/Users/alexesmerritt/Desktop/Prison Vaccinaiton Project/vac-states/VA.csv
77,2021-01-02,,VA,Sussex II State Prison,,76.0,2.0,,1.0,,,,,,,,,,,,24427 MUSSELWHITE DRIVE,,7297.0,,,,,,,,,,,,,,,,,,,,,,,,,,,/Users/alexesmerritt/Desktop/Prison Vaccinaiton Project/vac-states/VA.csv
78,2021-01-02,,VA,Virginia Correctional Center for Women includes State Farm Work Center,,47.0,0.0,,1.0,,,,,,,,,,,,"2841 River Road, Goochland, VA 23063",,7297.0,,,,,,,,,,,,,,,,,,,,,,,,,,,/Users/alexesmerritt/Desktop/Prison Vaccinaiton Project/vac-states/VA.csv
79,2021-01-02,,VA,Wallens Ridge State Prison,,1.0,0.0,,0.0,,,,,,,,,,,,272 DOGWOOD DR,,7297.0,,,,,,,,,,,,,,,,,,,,,,,,,,,/Users/alexesmerritt/Desktop/Prison Vaccinaiton Project/vac-states/VA.csv
80,2021-01-02,,VA,Wise Correctional Unit,,24.0,0.0,,0.0,,,,,,,,,,,,"3602 Bear Lane Coeburn, VA 24230",,7297.0,,,,,,,,,,,,,,,,,,,,,,,,,,,/Users/alexesmerritt/Desktop/Prison Vaccinaiton Project/vac-states/VA.csv
81,2021-01-03,,VA,Appalachian Mens CCAP,NR,50.0,0.0,0.0,0.0,NR,5.0,,,,,,,,,,"924 CLIFTON ROAD, P. O. Box 2110",24260.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,/Users/alexesmerritt/Desktop/Prison Vaccinaiton Project/vac-states/VA.csv
82,2021-01-03,,VA,Augusta Correctional Center,,462.0,88.0,,4.0,,,,,,,,,,,,"1821 Estaline Valley Road, Craigsville, VA 24430",,7345.0,,,,,,,,,,,,,,,,,,,,,,,,,,,/Users/alexesmerritt/Desktop/Prison Vaccinaiton Project/vac-states/VA.csv
83,2021-01-03,,VA,Baskerville Correctional Center,,249.0,0.0,,0.0,,,,,,,,,,,,"4150 Hayes Mill Road ,Baskerville, VA 23915",,7345.0,,,,,,,,,,,,,,,,,,,,,,,,,,,/Users/alexesmerritt/Desktop/Prison Vaccinaiton Project/vac-states/VA.csv
84,2021-01-03,,VA,Bland Correctional Center,,185.0,9.0,,0.0,,,,,,,,,,,,"256 Bland Farm Road, Bland, VA 24315",,7345.0,,,,,,,,,,,,,,,,,,,,,,,,,,,/Users/alexesmerritt/Desktop/Prison Vaccinaiton Project/vac-states/VA.csv
85,2021-01-03,,VA,Brunswick CCAP,,0.0,0.0,,0.0,,,,,,,,,,,,1147 PLANTERS ROAD,,7345.0,,,,,,,,,,,,,,,,,,,,,,,,,,,/Users/alexesmerritt/Desktop/Prison Vaccinaiton Project/vac-states/VA.csv
86,2021-01-03,,VA,Buckingham Correctional Center,,607.0,177.0,,4.0,,,,,,,,,,,,"1349 Correctional Center Road, Dillwyn, VA 23936",,7345.0,,,,,,,,,,,,,,,,,,,,,,,,,,,/Users/alexesmerritt/Desktop/Prison Vaccinaiton Project/vac-states/VA.csv
87,2021-01-03,,VA,Caroline Correctional Unit,,6.0,1.0,,0.0,,,,,,,,,,,,"31285 Camp Road, Hanover, VA 23069",,7345.0,,,,,,,,,,,,,,,,,,,,,,,,,,,/Users/alexesmerritt/Desktop/Prison Vaccinaiton Project/vac-states/VA.csv
88,2021-01-03,,VA,Central Virginia Correctional Unit 13,,57.0,0.0,,0.0,,,,,,,,,,,,"6900 Courthouse Road, Chesterfield, VA 23832",,7345.0,,,,,,,,,,,,,,,,,,,,,,,,,,,/Users/alexesmerritt/Desktop/Prison Vaccinaiton Project/vac-states/VA.csv
