Unnamed: 0,scrapedate,lastupdated,stateagency,facility,fac_inc_positive,fac_staff_positive,fac_inc_vaccinated,fac_staff_vaccinated,sum_inc_tested,sum_inc_positive,sum_inc_deaths,sum_inc_pending,sum_inc_recovered,sum_staff_positive,sum_staff_recovered,sum_staff_deaths,sum_staff_vaccinated,sum_inc_vaccinated,facility_bjs,fac_state,fac_inc_deaths,fac_inc_tested,fac_inc_recovered,fac_inc_pending,fac_staff_recovered,fac_address,fac_zip,match,bjs_fac_state,bjs_fac_id,bjs_fac_id2,bjs_fac_name,bjs_fac_address1,bjs_fac_address2,bjs_fac_city,bjs_fac_stateab,bjs_fac_zip1,bjs_fac_gender,bjs_fac_security,bjs_fac_leave,bjs_fac_operator,bjs_fac_privprison,bjs_fac_malepop,bjs_fac_maleflag,bjs_fac_femalepop,bjs_fac_femaleflag,bjs_fac_linked,bjs_fac_linktxt,bjs_fac_changeuse,bjs_fac_changeclose,bjs_fac_notes,oldnew,last_updated,state
14,2021-01-01,,AL,Fountain,21.0,38.0,,,12681.0,1164.0,54.0,18.0,1014.0,813.0,532.0,2.0,,,FOUNTAIN CORRECTIONAL FACILITY,AL,,,,,,9677 HIGHWAY 21 NORTH,36503.0,in BJS (matched),Alabama,1e+19,1e+19,FOUNTAIN CORRECTIONAL FACILITY,9677 HIGHWAY 21 NORTH,,ATMORE,AL,36503.0,Males only,Medium,None,State authority,,1256.0,,,,Yes,J. O. Davis Correctional Facility,No,No,,new,,/Users/alexesmerritt/Desktop/Prison Vaccinaiton Project/vac-states/AL.csv
15,2021-01-01,,AL,Frank Lee,3.0,18.0,,,12681.0,1164.0,54.0,18.0,1014.0,813.0,532.0,2.0,,,FRANK LEE WORK RELEASE,AL,,,,,,5305 Ingram Rd,36022.0,in BJS (matched),Alabama,1e+19,,FRANK LEE Work Release,5305 Ingram Rd,,Deatsville,AL,36022.0,Males only,Minimum/low,50% or more of the inmates,State authority,,298.0,,,,No,,No,No,,new,,/Users/alexesmerritt/Desktop/Prison Vaccinaiton Project/vac-states/AL.csv
16,2021-01-01,,AL,Hamilton A&I,44.0,37.0,,,12681.0,1164.0,54.0,18.0,1014.0,813.0,532.0,2.0,,,,AL,,,,,,"223 SASSER DRIVE, HAMILTON, AL 35570",35570.0,not in BJS,,,,,,,,,,,,,,,,,,,,,,,,new,,/Users/alexesmerritt/Desktop/Prison Vaccinaiton Project/vac-states/AL.csv
17,2021-01-01,,AL,Hamilton CBF,8.0,21.0,,,12681.0,1164.0,54.0,18.0,1014.0,813.0,532.0,2.0,,,HAMILTON COMMUNITY BASED FACILITY,AL,,,,,,1826 Beyar Avenue East,35570.0,in BJS (matched),Alabama,1e+19,,HAMILTON COMMUNITY Based Facility,1826 Beyar Avenue East,,Hamilton,AL,35570.0,Males only,Minimum/low,50% or more of the inmates,State authority,,254.0,,,,No,,No,No,,new,,/Users/alexesmerritt/Desktop/Prison Vaccinaiton Project/vac-states/AL.csv
18,2021-01-01,,AL,Holman,37.0,29.0,,,12681.0,1164.0,54.0,18.0,1014.0,813.0,532.0,2.0,,,HOLMAN CORRECTIONAL FACILITY,AL,,,,,,866 ROSS ROAD,36503.0,in BJS (matched),Alabama,1e+19,,HOLMAN CORRECTIONAL FACILITY,866 ROSS ROAD,,ATMORE,AL,36503.0,Males only,Maximum/close/high,None,State authority,,997.0,,,,No,,No,No,,new,,/Users/alexesmerritt/Desktop/Prison Vaccinaiton Project/vac-states/AL.csv
19,2021-01-01,,AL,Kilby,10.0,37.0,,,12681.0,1164.0,54.0,18.0,1014.0,813.0,532.0,2.0,,,KILBY CORRECTIONAL FACILITY,AL,,,,,,12201 WARES FERRY RD,36117.0,in BJS (matched),Alabama,1e+19,,KILBY CORRECTIONAL FACILITY,12201 WARES FERRY RD,,MONTGOMERY,AL,36117.0,Males only,Maximum/close/high,None,State authority,,1436.0,,,,No,,No,No,,new,,/Users/alexesmerritt/Desktop/Prison Vaccinaiton Project/vac-states/AL.csv
20,2021-01-01,,AL,Limestone,136.0,83.0,,,12681.0,1164.0,54.0,18.0,1014.0,813.0,532.0,2.0,,,LIMESTONE CORRECTIONAL FACILITY,AL,,,,,,28779 NICK DAVIS ROAD,35749.0,in BJS (matched),Alabama,1e+19,,LIMESTONE CORRECTIONAL FACILITY,28779 NICK DAVIS ROAD,,HARVEST,AL,35749.0,Males only,Maximum/close/high,None,State authority,,2153.0,,,,No,,No,No,,new,,/Users/alexesmerritt/Desktop/Prison Vaccinaiton Project/vac-states/AL.csv
21,2021-01-01,,AL,Loxley,106.0,14.0,,,12681.0,1164.0,54.0,18.0,1014.0,813.0,532.0,2.0,,,LOXLEY COMMUNITY WORK CENTER,AL,,,,,,14880 COUNTY ROAD 64,36551.0,in BJS (matched),Alabama,1e+19,,LOXLEY COMMUNITY WORK CENTER,14880 COUNTY ROAD 64,,LOXLEY,AL,36551.0,Males only,Minimum/low,50% or more of the inmates,State authority,,456.0,,,,No,,No,No,,new,,/Users/alexesmerritt/Desktop/Prison Vaccinaiton Project/vac-states/AL.csv
22,2021-01-01,,AL,Mobile,0.0,8.0,,,12681.0,1164.0,54.0,18.0,1014.0,813.0,532.0,2.0,,,,AL,,,,,,"2423 N BELTLINE HWY, Eight Mile, AL 36610",36610.0,not in BJS,,,,,,,,,,,,,,,,,,,,,,,,new,,/Users/alexesmerritt/Desktop/Prison Vaccinaiton Project/vac-states/AL.csv
23,2021-01-01,,AL,Montgomery WF,1.0,10.0,,,12681.0,1164.0,54.0,18.0,1014.0,813.0,532.0,2.0,,,MONTGOMERY WOMEN'S FACILITY,AL,,,,,,"12085 Wares Ferry Road Montgomery, AL 36117",36117.0,in BJS (matched),Alabama,1e+19,,MONTGOMERY WOMEN'S FACILITY,12085 WARES FERRY ROAD,,MONTGOMERY,AL,36117.0,Females only,Medium,Less than 50% of the inmates,State authority,,,,300.0,,No,,No,No,,new,,/Users/alexesmerritt/Desktop/Prison Vaccinaiton Project/vac-states/AL.csv
24,2021-01-01,,AL,North Alabama,85.0,27.0,,,12681.0,1164.0,54.0,18.0,1014.0,813.0,532.0,2.0,,,,AL,,,,,,"1401 Highway 20 West Decatur, AL 35601",35601.0,not in BJS,,,,,,,,,,,,,,,,,,,,,,,,new,,/Users/alexesmerritt/Desktop/Prison Vaccinaiton Project/vac-states/AL.csv
25,2021-01-01,,AL,Red Eagle,0.0,3.0,,,12681.0,1164.0,54.0,18.0,1014.0,813.0,532.0,2.0,,,RED EAGLE WORK CENTER,AL,,,,,,1290 RED EAGLE ROAD,36110.0,in BJS (matched),Alabama,1e+19,,RED EAGLE WORK CENTER,1290 RED EAGLE ROAD,,MONTGOMERY,AL,36110.0,Males only,Minimum/low,50% or more of the inmates,State authority,,338.0,,,,No,,No,No,,new,,/Users/alexesmerritt/Desktop/Prison Vaccinaiton Project/vac-states/AL.csv
26,2021-01-01,,AL,St. Clair,103.0,52.0,,,12681.0,1164.0,54.0,18.0,1014.0,813.0,532.0,2.0,,,ST. CLAIR CORRECTIONAL FACILITY,AL,,,,,,1000 ST. CLAIR ROAD,35146.0,in BJS (matched),Alabama,1e+19,,ST. CLAIR CORRECTIONAL FACILITY,1000 ST. CLAIR ROAD,,SPRINGVILLE,AL,35146.0,Males only,Maximum/close/high,None,State authority,,1332.0,,,,No,,No,No,,new,,/Users/alexesmerritt/Desktop/Prison Vaccinaiton Project/vac-states/AL.csv
27,2021-01-01,,AL,Staton,44.0,54.0,,,12681.0,1164.0,54.0,18.0,1014.0,813.0,532.0,2.0,,,STATON CORRECTIONAL FACILITY,AL,,,,,,2690 MARION SPILLWAY ROAD,36025.0,in BJS (matched),Alabama,1e+19,,STATON CORRECTIONAL FACILITY,2690 MARION SPILLWAY ROAD,,ELMORE,AL,36025.0,Males only,Medium,None,State authority,,1398.0,,,,No,,No,No,,new,,/Users/alexesmerritt/Desktop/Prison Vaccinaiton Project/vac-states/AL.csv
28,2021-01-01,,AL,Tutwiler,16.0,53.0,,,12681.0,1164.0,54.0,18.0,1014.0,813.0,532.0,2.0,,,TUTWILER ANNEX,AL,,,,,,8950 U S Highway 231 North,36092.0,in BJS (matched),Alabama,1e+19,1e+19,Tutwiler Annex,8950 U S Highway 231 North,,Wetumpka,AL,36092.0,Females only,Maximum/close/high,None,State authority,,,,249.0,,No,,No,No,,new,,/Users/alexesmerritt/Desktop/Prison Vaccinaiton Project/vac-states/AL.csv
29,2021-01-01,,AL,Tutwiler QIF,12.0,0.0,,,12681.0,1164.0,54.0,18.0,1014.0,813.0,532.0,2.0,,,TUTWILER PRISON FOR WOMEN,AL,,,,,,8966 US HIGHWAY 231 NORTH,36092.0,in BJS (matched),Alabama,1e+19,1e+19,TUTWILER PRISON FOR WOMEN,8966 US HIGHWAY 231 NORTH,,WETUMPKA,AL,36092.0,Females only,Maximum/close/high,None,State authority,,,,737.0,,Yes,Tutwiler Annex,No,No,,new,,/Users/alexesmerritt/Desktop/Prison Vaccinaiton Project/vac-states/AL.csv
30,2021-01-01,,AL,Ventress,19.0,32.0,,,12681.0,1164.0,54.0,18.0,1014.0,813.0,532.0,2.0,,,,AL,,,,,,"Hwy 239 N Clayton, AL 36016",36016.0,not in BJS,,,,,,,,,,,,,,,,,,,,,,,,new,,/Users/alexesmerritt/Desktop/Prison Vaccinaiton Project/vac-states/AL.csv
31,2021-01-02,,AL,ATEF,6.0,2.0,,,12681.0,1164.0,54.0,18.0,1014.0,813.0,532.0,2.0,,,ATMORE COMMUNITY WORK CENTER,AL,,,,,,9947 Highway 21 North,36503.0,in BJS (matched),Alabama,1e+19,,ATMORE COMMUNITY WORK CENTER,9947 Highway 21 North,,Atmore,AL,36503.0,Males only,Minimum/low,None,State authority,,249.0,,,,No,,No,No,,new,,/Users/alexesmerritt/Desktop/Prison Vaccinaiton Project/vac-states/AL.csv
32,2021-01-02,,AL,Alex City,1.0,7.0,,,12681.0,1164.0,54.0,18.0,1014.0,813.0,532.0,2.0,,,ALEX CITY COMMUNITY BASED FACILITY,AL,,,,,,"Highway 22 W, P O Drawer 160",35011.0,in BJS (matched),Alabama,1e+19,,ALEX CITY Community Based Facility,Highway 22 W,P O Drawer 160,Alex City,AL,35011.0,Males only,Minimum/low,50% or more of the inmates,State authority,,316.0,,,,No,,No,No,,new,,/Users/alexesmerritt/Desktop/Prison Vaccinaiton Project/vac-states/AL.csv
33,2021-01-02,,AL,Bibb,163.0,50.0,,,12681.0,1164.0,54.0,18.0,1014.0,813.0,532.0,2.0,,,BIBB CORRECTIONAL FACILITY,AL,,,,,,565 BIBB LANE,35034.0,in BJS (matched),Alabama,1e+19,,BIBB CORRECTIONAL FACILITY,565 BIBB LANE,,BRENT,AL,35034.0,Males only,Maximum/close/high,None,State authority,,1942.0,,,,No,,No,No,,new,,/Users/alexesmerritt/Desktop/Prison Vaccinaiton Project/vac-states/AL.csv
34,2021-01-02,,AL,Birmingham,17.0,28.0,,,12681.0,1164.0,54.0,18.0,1014.0,813.0,532.0,2.0,,,BIRMINGHAM CCC,AL,,,,,,1609 7th Street North,35204.0,in BJS (matched),Alabama,1.80377e+19,,BIRMINGHAM CCC,1609 7th Street North,,BIRMINGHAM,AL,35204.0,Both males and females,Minimum/low,50% or more of the inmates,Private contractor,Federal Bureau of Prisons,43.0,Estimated data,4.0,Estimated data,No,,No,No,100% of population held for Federal Bureau of Prisons,new,,/Users/alexesmerritt/Desktop/Prison Vaccinaiton Project/vac-states/AL.csv
35,2021-01-02,,AL,Bullock,126.0,53.0,,,12681.0,1164.0,54.0,18.0,1014.0,813.0,532.0,2.0,,,BULLOCK CORRECTIONAL FACILITY,AL,,,,,,"104 Bullock Dr., Hwy 82 E",36089.0,in BJS (matched),Alabama,1e+19,1e+19,BULLOCK CORRECTIONAL FACILITY,"104 Bullock Dr., Hwy 82 E",,Union Springs,AL,36089.0,Males only,Medium,None,State authority,,1331.0,,,,Yes,Bullock Mental Health Correctional Facility,No,No,,new,,/Users/alexesmerritt/Desktop/Prison Vaccinaiton Project/vac-states/AL.csv
36,2021-01-02,,AL,CJC,0.0,42.0,,,12681.0,1164.0,54.0,18.0,1014.0,813.0,532.0,2.0,,,,AL,,,,,,"301 South Ripley St., Montgomery, AL",36104.0,not in BJS,,,,,,,,,,,,,,,,,,,,,,,,new,,/Users/alexesmerritt/Desktop/Prison Vaccinaiton Project/vac-states/AL.csv
37,2021-01-02,,AL,Camden,0.0,3.0,,,12681.0,1164.0,54.0,18.0,1014.0,813.0,532.0,2.0,,,CAMDEN COMMUNITY BASED FACILITY,AL,,,,,,1780 AL Hwy 221,36726.0,in BJS (matched),Alabama,1e+19,,CAMDEN COMMUNITY Based Facility,1780 AL Hwy 221,,Camden,AL,36726.0,Males only,Minimum/low,50% or more of the inmates,State authority,,156.0,,,,No,,No,No,,new,,/Users/alexesmerritt/Desktop/Prison Vaccinaiton Project/vac-states/AL.csv
38,2021-01-02,,AL,Childersburg,5.0,14.0,,,12681.0,1164.0,54.0,18.0,1014.0,813.0,532.0,2.0,,,CHILDERSBURG COMMUNITY BASED FACILITY,AL,,,,,,"13501 Plant Road, P O Box 368",35044.0,in BJS (matched),Alabama,1e+19,,CHILDERSBURG COMMUNITY Based Facility,13501 Plant Road,P O Box 368,Childersburg,AL,35044.0,Males only,Minimum/low,50% or more of the inmates,State authority,,551.0,,,,No,,No,No,,new,,/Users/alexesmerritt/Desktop/Prison Vaccinaiton Project/vac-states/AL.csv
39,2021-01-02,,AL,Donaldson,34.0,26.0,,,12681.0,1164.0,54.0,18.0,1014.0,813.0,532.0,2.0,,,,AL,,,,,,100 WARRIOR LANE,,not in BJS,,,,,,,,,,,,,,,,,,,,,,,,new,,/Users/alexesmerritt/Desktop/Prison Vaccinaiton Project/vac-states/AL.csv
40,2021-01-02,,AL,Draper QIF,83.0,0.0,,,12681.0,1164.0,54.0,18.0,1014.0,813.0,532.0,2.0,,,DRAPER CORRECTIONAL FACILITY,AL,,,,,,2828 ALABAMA HIGHWAY 143,36025.0,in BJS (matched),Alabama,1e+19,,DRAPER CORRECTIONAL FACILITY,2828 ALABAMA HIGHWAY 143,,ELMORE,AL,36025.0,Males only,Medium,None,State authority,,1257.0,,,,No,,No,No,,new,,/Users/alexesmerritt/Desktop/Prison Vaccinaiton Project/vac-states/AL.csv
41,2021-01-02,,AL,Easterling,56.0,28.0,,,12681.0,1164.0,54.0,18.0,1014.0,813.0,532.0,2.0,,,EASTERLING CORRECTIONAL FACILITY,AL,,,,,,200 WALLACE DRIVE,36017.0,in BJS (matched),Alabama,1e+19,,EASTERLING CORRECTIONAL FACILITY,200 WALLACE DRIVE,,CLIO,AL,36017.0,Males only,Medium,None,State authority,,1525.0,,,,No,,No,No,,new,,/Users/alexesmerritt/Desktop/Prison Vaccinaiton Project/vac-states/AL.csv
42,2021-01-02,,AL,Elba,1.0,8.0,,,12681.0,1164.0,54.0,18.0,1014.0,813.0,532.0,2.0,,,ELBA COMMUNITY BASED FACILITY,AL,,,,,,1620 BOSWELL STREET,36323.0,in BJS (matched),Alabama,1e+19,,ELBA COMMUNITY Based Facility,1620 BOSWELL STREET,,ELBA,AL,36323.0,Males only,Minimum/low,50% or more of the inmates,State authority,,243.0,,,,No,,No,No,,new,,/Users/alexesmerritt/Desktop/Prison Vaccinaiton Project/vac-states/AL.csv
43,2021-01-02,,AL,Elmore,27.0,18.0,,,12681.0,1164.0,54.0,18.0,1014.0,813.0,532.0,2.0,,,ELMORE CORRECTIONAL FACILITY,AL,,,,,,3520 MARION SPILLWAY ROAD,36025.0,in BJS (matched),Alabama,1e+19,,ELMORE CORRECTIONAL FACILITY,3520 MARION SPILLWAY ROAD,,ELMORE,AL,36025.0,Males only,Medium,None,State authority,,1182.0,,,,No,,No,No,,new,,/Users/alexesmerritt/Desktop/Prison Vaccinaiton Project/vac-states/AL.csv
44,2021-01-02,,AL,Fountain,21.0,38.0,,,12681.0,1164.0,54.0,18.0,1014.0,813.0,532.0,2.0,,,FOUNTAIN CORRECTIONAL FACILITY,AL,,,,,,9677 HIGHWAY 21 NORTH,36503.0,in BJS (matched),Alabama,1e+19,1e+19,FOUNTAIN CORRECTIONAL FACILITY,9677 HIGHWAY 21 NORTH,,ATMORE,AL,36503.0,Males only,Medium,None,State authority,,1256.0,,,,Yes,J. O. Davis Correctional Facility,No,No,,new,,/Users/alexesmerritt/Desktop/Prison Vaccinaiton Project/vac-states/AL.csv
45,2021-01-02,,AL,Frank Lee,3.0,18.0,,,12681.0,1164.0,54.0,18.0,1014.0,813.0,532.0,2.0,,,FRANK LEE WORK RELEASE,AL,,,,,,5305 Ingram Rd,36022.0,in BJS (matched),Alabama,1e+19,,FRANK LEE Work Release,5305 Ingram Rd,,Deatsville,AL,36022.0,Males only,Minimum/low,50% or more of the inmates,State authority,,298.0,,,,No,,No,No,,new,,/Users/alexesmerritt/Desktop/Prison Vaccinaiton Project/vac-states/AL.csv
46,2021-01-02,,AL,Hamilton A&I,44.0,37.0,,,12681.0,1164.0,54.0,18.0,1014.0,813.0,532.0,2.0,,,,AL,,,,,,"223 SASSER DRIVE, HAMILTON, AL 35570",35570.0,not in BJS,,,,,,,,,,,,,,,,,,,,,,,,new,,/Users/alexesmerritt/Desktop/Prison Vaccinaiton Project/vac-states/AL.csv
47,2021-01-02,,AL,Hamilton CBF,8.0,21.0,,,12681.0,1164.0,54.0,18.0,1014.0,813.0,532.0,2.0,,,HAMILTON COMMUNITY BASED FACILITY,AL,,,,,,1826 Beyar Avenue East,35570.0,in BJS (matched),Alabama,1e+19,,HAMILTON COMMUNITY Based Facility,1826 Beyar Avenue East,,Hamilton,AL,35570.0,Males only,Minimum/low,50% or more of the inmates,State authority,,254.0,,,,No,,No,No,,new,,/Users/alexesmerritt/Desktop/Prison Vaccinaiton Project/vac-states/AL.csv
48,2021-01-02,,AL,Holman,37.0,29.0,,,12681.0,1164.0,54.0,18.0,1014.0,813.0,532.0,2.0,,,HOLMAN CORRECTIONAL FACILITY,AL,,,,,,866 ROSS ROAD,36503.0,in BJS (matched),Alabama,1e+19,,HOLMAN CORRECTIONAL FACILITY,866 ROSS ROAD,,ATMORE,AL,36503.0,Males only,Maximum/close/high,None,State authority,,997.0,,,,No,,No,No,,new,,/Users/alexesmerritt/Desktop/Prison Vaccinaiton Project/vac-states/AL.csv
49,2021-01-02,,AL,Kilby,10.0,37.0,,,12681.0,1164.0,54.0,18.0,1014.0,813.0,532.0,2.0,,,KILBY CORRECTIONAL FACILITY,AL,,,,,,12201 WARES FERRY RD,36117.0,in BJS (matched),Alabama,1e+19,,KILBY CORRECTIONAL FACILITY,12201 WARES FERRY RD,,MONTGOMERY,AL,36117.0,Males only,Maximum/close/high,None,State authority,,1436.0,,,,No,,No,No,,new,,/Users/alexesmerritt/Desktop/Prison Vaccinaiton Project/vac-states/AL.csv
50,2021-01-02,,AL,Limestone,136.0,83.0,,,12681.0,1164.0,54.0,18.0,1014.0,813.0,532.0,2.0,,,LIMESTONE CORRECTIONAL FACILITY,AL,,,,,,28779 NICK DAVIS ROAD,35749.0,in BJS (matched),Alabama,1e+19,,LIMESTONE CORRECTIONAL FACILITY,28779 NICK DAVIS ROAD,,HARVEST,AL,35749.0,Males only,Maximum/close/high,None,State authority,,2153.0,,,,No,,No,No,,new,,/Users/alexesmerritt/Desktop/Prison Vaccinaiton Project/vac-states/AL.csv
51,2021-01-02,,AL,Loxley,106.0,14.0,,,12681.0,1164.0,54.0,18.0,1014.0,813.0,532.0,2.0,,,LOXLEY COMMUNITY WORK CENTER,AL,,,,,,14880 COUNTY ROAD 64,36551.0,in BJS (matched),Alabama,1e+19,,LOXLEY COMMUNITY WORK CENTER,14880 COUNTY ROAD 64,,LOXLEY,AL,36551.0,Males only,Minimum/low,50% or more of the inmates,State authority,,456.0,,,,No,,No,No,,new,,/Users/alexesmerritt/Desktop/Prison Vaccinaiton Project/vac-states/AL.csv
52,2021-01-02,,AL,Mobile,0.0,8.0,,,12681.0,1164.0,54.0,18.0,1014.0,813.0,532.0,2.0,,,,AL,,,,,,"2423 N BELTLINE HWY, Eight Mile, AL 36610",36610.0,not in BJS,,,,,,,,,,,,,,,,,,,,,,,,new,,/Users/alexesmerritt/Desktop/Prison Vaccinaiton Project/vac-states/AL.csv
