Unnamed: 0,scrapedate,lastupdated,stateagency,facility,fac_inc_tested,fac_inc_positive,fac_inc_active,fac_inc_recovered,fac_inc_deaths,fac_staff_positive,fac_staff_active,fac_staff_recovered,fac_staff_deaths,fac_inc_fully_vaccinated,fac_inc_declined_vaccination,facility_bjs,fac_state,fac_address,fac_zip,sum_inc_positive,sum_inc_deaths,sum_staff_deaths,sum_staff_positive,match,bjs_fac_state,bjs_fac_id,bjs_fac_name,bjs_fac_address1,bjs_fac_city,bjs_fac_stateab,bjs_fac_zip1,bjs_fac_gender,bjs_fac_security,bjs_fac_leave,bjs_fac_operator,bjs_fac_malepop,bjs_fac_femalepop,bjs_fac_linked,bjs_fac_changeuse,bjs_fac_changeclose,state
11,2021-01-01,,SC,Livesay,,0.0,0.0,0.0,0.0,12.0,3.0,9.0,0.0,,,LIVESAY CORRECTIONAL INSTITUTION,SC,104 BROADCAST DRIVE,29303,2485.0,34.0,2.0,645.0,in BJS (matched),South Carolina,4.1e+20,LIVESAY CORRECTIONAL INSTITUTION,104 BROADCAST DRIVE,SPARTANBURG,SC,29303.0,Males only,Minimum/low,Less than 50% of the inmates,State authority,601.0,,No,No,No,/Users/alexesmerritt/Desktop/Prison Vaccinaiton Project/vac-states/SC.csv
12,2021-01-01,,SC,MacDougall,,321.0,1.0,317.0,3.0,33.0,4.0,29.0,0.0,,,MACDOUGALL CORRECTIONAL INSTITUTION,SC,"1516 Old Gilliard Road ,Ridgeville, SC 29472",29472,2485.0,34.0,2.0,645.0,in BJS (matched),South Carolina,4.1e+20,MACDOUGALL CORRECTIONAL INSTITUTION,1516 OLD GILLIARD ROAD,RIDGEVILLE,SC,29472.0,Males only,Medium,None,State authority,534.0,,No,No,No,/Users/alexesmerritt/Desktop/Prison Vaccinaiton Project/vac-states/SC.csv
13,2021-01-01,,SC,Manning,,136.0,0.0,135.0,1.0,18.0,3.0,15.0,0.0,,,MANNING CORRECTIONAL INSTITUTION,SC,"502 Beckman Road, Columbia, SC 29203-3173",29203,2485.0,34.0,2.0,645.0,in BJS (matched),South Carolina,4.1e+20,MANNING CORRECTIONAL INSTITUTION,502 BECKMAN DRIVE,COLUMBIA,SC,29203.0,Males only,Minimum/low,Less than 50% of the inmates,State authority,438.0,,No,No,No,/Users/alexesmerritt/Desktop/Prison Vaccinaiton Project/vac-states/SC.csv
14,2021-01-01,,SC,McCormick,,46.0,0.0,42.0,4.0,27.0,0.0,27.0,0.0,,,MCCORMICK CORRECTIONAL INSTITUTION,SC,386 REDEMPTION WAY,29899,2485.0,34.0,2.0,645.0,in BJS (matched),South Carolina,4.1e+20,MCCORMICK CORRECTIONAL INSTITUTION,386 REDEMPTION WAY,MCCORMICK,SC,29899.0,Males only,Maximum/close/high,None,State authority,1252.0,,No,No,No,/Users/alexesmerritt/Desktop/Prison Vaccinaiton Project/vac-states/SC.csv
15,2021-01-01,,SC,Palmer,,0.0,0.0,0.0,0.0,6.0,1.0,5.0,0.0,,,PALMER PRE-RELEASE CENTER,SC,2012 PISGAH ROAD,29501,2485.0,34.0,2.0,645.0,in BJS (matched),South Carolina,4.1e+20,PALMER PRE-RELEASE CENTER,2012 PISGAH ROAD,FLORENCE,SC,29501.0,Males only,Minimum/low,50% or more of the inmates,State authority,211.0,,No,No,No,/Users/alexesmerritt/Desktop/Prison Vaccinaiton Project/vac-states/SC.csv
16,2021-01-01,,SC,Perry,,171.0,0.0,169.0,2.0,68.0,11.0,57.0,0.0,,,PERRY CORRECTIONAL INSTITUTION,SC,430 OAKLAWN ROAD,29669,2485.0,34.0,2.0,645.0,in BJS (matched),South Carolina,4.1e+20,PERRY CORRECTIONAL INSTITUTION,430 OAKLAWN ROAD,PELZER,SC,29669.0,Males only,Maximum/close/high,None,State authority,943.0,,No,No,No,/Users/alexesmerritt/Desktop/Prison Vaccinaiton Project/vac-states/SC.csv
17,2021-01-01,,SC,Ridgeland,,44.0,35.0,9.0,0.0,9.0,3.0,6.0,0.0,,,RIDGELAND CORRECTIONAL INSTITUTION,SC,5 CORRECTIONAL RD,29936,2485.0,34.0,2.0,645.0,in BJS (matched),South Carolina,4.1e+20,RIDGELAND CORRECTIONAL INSTITUTION,5 CORRECTIONAL RD,RIDGELAND,SC,29936.0,Males only,Medium,None,State authority,1190.0,,No,No,No,/Users/alexesmerritt/Desktop/Prison Vaccinaiton Project/vac-states/SC.csv
18,2021-01-01,,SC,Trenton,,3.0,0.0,3.0,0.0,19.0,5.0,14.0,0.0,,,TRENTON CORRECTIONAL INSTITUTION,SC,84 GREENHOUSE ROAD,29847,2485.0,34.0,2.0,645.0,in BJS (matched),South Carolina,4.1e+20,TRENTON CORRECTIONAL INSTITUTION,84 GREENHOUSE ROAD,TRENTON,SC,29847.0,Males only,Medium,Less than 50% of the inmates,State authority,502.0,,No,No,No,/Users/alexesmerritt/Desktop/Prison Vaccinaiton Project/vac-states/SC.csv
19,2021-01-01,,SC,Turbeville,,21.0,5.0,16.0,0.0,44.0,10.0,34.0,0.0,,,TURBEVILLE CORRECTIONAL FACILITY,SC,1578 Clarence Coker Hwy,29162,2485.0,34.0,2.0,645.0,in BJS (matched),South Carolina,4.1e+20,TURBEVILLE CORRECTIONAL FACILITY,1578 Clarence Coker Hwy,Tuberville,SC,29162.0,Males only,Medium,Less than 50% of the inmates,State authority,1191.0,,No,No,No,/Users/alexesmerritt/Desktop/Prison Vaccinaiton Project/vac-states/SC.csv
20,2021-01-01,,SC,Tyger River,,481.0,0.0,477.0,4.0,41.0,2.0,39.0,0.0,,,TYGER RIVER CORRECTIONAL INSTITUTION,SC,"200 Prison Road, Enoree, SC 29335-9308",29355,2485.0,34.0,2.0,645.0,in BJS (matched),South Carolina,4.1e+20,TYGER RIVER CORRECTIONAL INSTITUTION,100-200 PRISON ROAD,ENOREE,SC,29355.0,Males only,Medium,None,State authority,1283.0,,No,No,No,/Users/alexesmerritt/Desktop/Prison Vaccinaiton Project/vac-states/SC.csv
21,2021-01-01,,SC,Wateree River,,0.0,0.0,0.0,0.0,12.0,2.0,10.0,0.0,,,WATEREE RIVER CORRECTIONAL INSTITUTION,SC,HIGHWAY 261,29128,2485.0,34.0,2.0,645.0,in BJS (matched),South Carolina,4.1e+20,WATEREE RIVER CORRECTIONAL INSTITUTION,HIGHWAY 261,REMBERT,SC,29128.0,Males only,Medium,Less than 50% of the inmates,State authority,863.0,,No,No,No,/Users/alexesmerritt/Desktop/Prison Vaccinaiton Project/vac-states/SC.csv
22,2021-01-02,,SC,Allendale,,29.0,0.0,27.0,2.0,29.0,2.0,27.0,0.0,,,ALLENDALE CORRECTIONAL INSTITUTION,SC,1057 REVOLUTIONARY TRAIL,29827,2485.0,34.0,2.0,645.0,in BJS (matched),South Carolina,4.1e+20,ALLENDALE CORRECTIONAL INSTITUTION,1057 REVOLUTIONARY TRAIL,FAIRFAX,SC,29827.0,Males only,Medium,None,State authority,1268.0,,No,No,No,/Users/alexesmerritt/Desktop/Prison Vaccinaiton Project/vac-states/SC.csv
23,2021-01-02,,SC,Broad River,,416.0,41.0,366.0,9.0,80.0,9.0,70.0,1.0,,,BROAD RIVER CORRECTIONAL INSTITUTION,SC,"4460 Broad River Road, Columbia, SC 29210",29210,2485.0,34.0,2.0,645.0,in BJS (matched),South Carolina,4.1e+20,BROAD RIVER CORRECTIONAL INSTITUTION,4460 BROAD RIVER ROAD,COLUMBIA,SC,29210.0,Males only,Maximum/close/high,None,State authority,1123.0,,No,No,No,/Users/alexesmerritt/Desktop/Prison Vaccinaiton Project/vac-states/SC.csv
24,2021-01-02,,SC,Camille Graham,,2.0,0.0,2.0,0.0,25.0,7.0,18.0,0.0,,,,SC,"4450 Broad River Road, Columbia, SC 29210-4096",29210-4096,2485.0,34.0,2.0,645.0,not in BJS,,,,,,,,,,,,,,,,,/Users/alexesmerritt/Desktop/Prison Vaccinaiton Project/vac-states/SC.csv
25,2021-01-02,,SC,Evans,,76.0,19.0,55.0,2.0,36.0,11.0,25.0,0.0,,,,SC,"610 HIGHWAY 9 WEST, BENNETTSVILLE, SC 29512",29512,2485.0,34.0,2.0,645.0,not in BJS,,,,,,,,,,,,,,,,,/Users/alexesmerritt/Desktop/Prison Vaccinaiton Project/vac-states/SC.csv
26,2021-01-02,,SC,Goodman,,80.0,2.0,77.0,1.0,8.0,0.0,8.0,0.0,,,GOODMAN CORRECTIONAL INSTITUTION,SC,"4556 Broad River Road, Columbia, SC 29210",29210,2485.0,34.0,2.0,645.0,in BJS (matched),South Carolina,4.1e+20,GOODMAN CORRECTIONAL INSTITUTION,4456 BROAD RIVER ROAD,COLUMBIA,SC,29210.0,Females only,Minimum/low,Less than 50% of the inmates,State authority,,302.0,No,No,No,/Users/alexesmerritt/Desktop/Prison Vaccinaiton Project/vac-states/SC.csv
27,2021-01-02,,SC,Kershaw,,0.0,0.0,0.0,0.0,18.0,11.0,7.0,0.0,,,KERSHAW CORRECTIONAL INSTITUTION,SC,"4848 Gold Mine Highway, Kershaw, SC 29067",29067,2485.0,34.0,2.0,645.0,in BJS (matched),South Carolina,4.1e+20,KERSHAW CORRECTIONAL INSTITUTION,4848 GOLDMINE HWY,KERSHAW,SC,29067.0,Males only,Medium,None,State authority,1474.0,,No,No,No,/Users/alexesmerritt/Desktop/Prison Vaccinaiton Project/vac-states/SC.csv
28,2021-01-02,,SC,Kirkland,,449.0,18.0,428.0,3.0,85.0,11.0,74.0,0.0,,,KIRKLAND RECEPTION & EVALUATION CENTER,SC,"4344 Broad River Road, Columbia, SC 29210",29210,2485.0,34.0,2.0,645.0,in BJS (matched),South Carolina,4.1e+20,KIRKLAND RECEPTION & EVALUATION CENTER,4344 BROAD RIVER ROAD,COLUMBIA,SC,29210.0,Males only,Maximum/close/high,None,State authority,1956.0,,No,No,No,/Users/alexesmerritt/Desktop/Prison Vaccinaiton Project/vac-states/SC.csv
29,2021-01-02,,SC,Leath,,20.0,0.0,20.0,0.0,9.0,1.0,8.0,0.0,,,LEATH CORRECTIONAL INSTITUTION,SC,"2809 Airport Road, Greenwood, SC 29649",29649,2485.0,34.0,2.0,645.0,in BJS (matched),South Carolina,4.1e+20,LEATH CORRECTIONAL INSTITUTION,2809 AIRPORT ROAD,GREENWOOD,SC,29649.0,Females only,Maximum/close/high,None,State authority,,527.0,No,No,No,/Users/alexesmerritt/Desktop/Prison Vaccinaiton Project/vac-states/SC.csv
30,2021-01-02,,SC,Lee,,58.0,1.0,56.0,1.0,36.0,4.0,31.0,1.0,,,LEE CORRECTIONAL INSTITUTION,SC,990 WISACKY HWY,29010,2485.0,34.0,2.0,645.0,in BJS (matched),South Carolina,4.1e+20,LEE CORRECTIONAL INSTITUTION,990 WISACKY HWY,BISHOPVILLE,SC,29010.0,Males only,Maximum/close/high,None,State authority,1746.0,,No,No,No,/Users/alexesmerritt/Desktop/Prison Vaccinaiton Project/vac-states/SC.csv
31,2021-01-02,,SC,Lieber,,132.0,1.0,129.0,2.0,30.0,1.0,29.0,0.0,,,LIEBER CORRECTIONAL INSTITUTION,SC,"136 Wilborn Avenue Ridgeville, SC 29472",29472,2485.0,34.0,2.0,645.0,in BJS (matched),South Carolina,4.1e+20,LIEBER CORRECTIONAL INSTITUTION,136 WILBORN AVENUE,RIDGEVILLE,SC,29472.0,Males only,Maximum/close/high,None,State authority,1415.0,,No,No,No,/Users/alexesmerritt/Desktop/Prison Vaccinaiton Project/vac-states/SC.csv
32,2021-01-02,,SC,Livesay,,0.0,0.0,0.0,0.0,12.0,3.0,9.0,0.0,,,LIVESAY CORRECTIONAL INSTITUTION,SC,104 BROADCAST DRIVE,29303,2485.0,34.0,2.0,645.0,in BJS (matched),South Carolina,4.1e+20,LIVESAY CORRECTIONAL INSTITUTION,104 BROADCAST DRIVE,SPARTANBURG,SC,29303.0,Males only,Minimum/low,Less than 50% of the inmates,State authority,601.0,,No,No,No,/Users/alexesmerritt/Desktop/Prison Vaccinaiton Project/vac-states/SC.csv
33,2021-01-02,,SC,MacDougall,,321.0,1.0,317.0,3.0,33.0,4.0,29.0,0.0,,,MACDOUGALL CORRECTIONAL INSTITUTION,SC,"1516 Old Gilliard Road ,Ridgeville, SC 29472",29472,2485.0,34.0,2.0,645.0,in BJS (matched),South Carolina,4.1e+20,MACDOUGALL CORRECTIONAL INSTITUTION,1516 OLD GILLIARD ROAD,RIDGEVILLE,SC,29472.0,Males only,Medium,None,State authority,534.0,,No,No,No,/Users/alexesmerritt/Desktop/Prison Vaccinaiton Project/vac-states/SC.csv
34,2021-01-02,,SC,Manning,,136.0,0.0,135.0,1.0,18.0,3.0,15.0,0.0,,,MANNING CORRECTIONAL INSTITUTION,SC,"502 Beckman Road, Columbia, SC 29203-3173",29203,2485.0,34.0,2.0,645.0,in BJS (matched),South Carolina,4.1e+20,MANNING CORRECTIONAL INSTITUTION,502 BECKMAN DRIVE,COLUMBIA,SC,29203.0,Males only,Minimum/low,Less than 50% of the inmates,State authority,438.0,,No,No,No,/Users/alexesmerritt/Desktop/Prison Vaccinaiton Project/vac-states/SC.csv
35,2021-01-02,,SC,McCormick,,46.0,0.0,42.0,4.0,27.0,0.0,27.0,0.0,,,MCCORMICK CORRECTIONAL INSTITUTION,SC,386 REDEMPTION WAY,29899,2485.0,34.0,2.0,645.0,in BJS (matched),South Carolina,4.1e+20,MCCORMICK CORRECTIONAL INSTITUTION,386 REDEMPTION WAY,MCCORMICK,SC,29899.0,Males only,Maximum/close/high,None,State authority,1252.0,,No,No,No,/Users/alexesmerritt/Desktop/Prison Vaccinaiton Project/vac-states/SC.csv
36,2021-01-02,,SC,Palmer,,0.0,0.0,0.0,0.0,6.0,1.0,5.0,0.0,,,PALMER PRE-RELEASE CENTER,SC,2012 PISGAH ROAD,29501,2485.0,34.0,2.0,645.0,in BJS (matched),South Carolina,4.1e+20,PALMER PRE-RELEASE CENTER,2012 PISGAH ROAD,FLORENCE,SC,29501.0,Males only,Minimum/low,50% or more of the inmates,State authority,211.0,,No,No,No,/Users/alexesmerritt/Desktop/Prison Vaccinaiton Project/vac-states/SC.csv
37,2021-01-02,,SC,Perry,,171.0,0.0,169.0,2.0,68.0,11.0,57.0,0.0,,,PERRY CORRECTIONAL INSTITUTION,SC,430 OAKLAWN ROAD,29669,2485.0,34.0,2.0,645.0,in BJS (matched),South Carolina,4.1e+20,PERRY CORRECTIONAL INSTITUTION,430 OAKLAWN ROAD,PELZER,SC,29669.0,Males only,Maximum/close/high,None,State authority,943.0,,No,No,No,/Users/alexesmerritt/Desktop/Prison Vaccinaiton Project/vac-states/SC.csv
38,2021-01-02,,SC,Ridgeland,,44.0,35.0,9.0,0.0,9.0,3.0,6.0,0.0,,,RIDGELAND CORRECTIONAL INSTITUTION,SC,5 CORRECTIONAL RD,29936,2485.0,34.0,2.0,645.0,in BJS (matched),South Carolina,4.1e+20,RIDGELAND CORRECTIONAL INSTITUTION,5 CORRECTIONAL RD,RIDGELAND,SC,29936.0,Males only,Medium,None,State authority,1190.0,,No,No,No,/Users/alexesmerritt/Desktop/Prison Vaccinaiton Project/vac-states/SC.csv
39,2021-01-02,,SC,Trenton,,3.0,0.0,3.0,0.0,19.0,5.0,14.0,0.0,,,TRENTON CORRECTIONAL INSTITUTION,SC,84 GREENHOUSE ROAD,29847,2485.0,34.0,2.0,645.0,in BJS (matched),South Carolina,4.1e+20,TRENTON CORRECTIONAL INSTITUTION,84 GREENHOUSE ROAD,TRENTON,SC,29847.0,Males only,Medium,Less than 50% of the inmates,State authority,502.0,,No,No,No,/Users/alexesmerritt/Desktop/Prison Vaccinaiton Project/vac-states/SC.csv
40,2021-01-02,,SC,Turbeville,,21.0,5.0,16.0,0.0,44.0,10.0,34.0,0.0,,,TURBEVILLE CORRECTIONAL FACILITY,SC,1578 Clarence Coker Hwy,29162,2485.0,34.0,2.0,645.0,in BJS (matched),South Carolina,4.1e+20,TURBEVILLE CORRECTIONAL FACILITY,1578 Clarence Coker Hwy,Tuberville,SC,29162.0,Males only,Medium,Less than 50% of the inmates,State authority,1191.0,,No,No,No,/Users/alexesmerritt/Desktop/Prison Vaccinaiton Project/vac-states/SC.csv
41,2021-01-02,,SC,Tyger River,,481.0,0.0,477.0,4.0,41.0,2.0,39.0,0.0,,,TYGER RIVER CORRECTIONAL INSTITUTION,SC,"200 Prison Road, Enoree, SC 29335-9308",29355,2485.0,34.0,2.0,645.0,in BJS (matched),South Carolina,4.1e+20,TYGER RIVER CORRECTIONAL INSTITUTION,100-200 PRISON ROAD,ENOREE,SC,29355.0,Males only,Medium,None,State authority,1283.0,,No,No,No,/Users/alexesmerritt/Desktop/Prison Vaccinaiton Project/vac-states/SC.csv
42,2021-01-02,,SC,Wateree River,,0.0,0.0,0.0,0.0,12.0,2.0,10.0,0.0,,,WATEREE RIVER CORRECTIONAL INSTITUTION,SC,HIGHWAY 261,29128,2485.0,34.0,2.0,645.0,in BJS (matched),South Carolina,4.1e+20,WATEREE RIVER CORRECTIONAL INSTITUTION,HIGHWAY 261,REMBERT,SC,29128.0,Males only,Medium,Less than 50% of the inmates,State authority,863.0,,No,No,No,/Users/alexesmerritt/Desktop/Prison Vaccinaiton Project/vac-states/SC.csv
43,2021-01-03,,SC,Allendale,,29.0,0.0,27.0,2.0,29.0,2.0,27.0,0.0,,,ALLENDALE CORRECTIONAL INSTITUTION,SC,1057 REVOLUTIONARY TRAIL,29827,2485.0,34.0,2.0,645.0,in BJS (matched),South Carolina,4.1e+20,ALLENDALE CORRECTIONAL INSTITUTION,1057 REVOLUTIONARY TRAIL,FAIRFAX,SC,29827.0,Males only,Medium,None,State authority,1268.0,,No,No,No,/Users/alexesmerritt/Desktop/Prison Vaccinaiton Project/vac-states/SC.csv
44,2021-01-03,,SC,Broad River,,416.0,41.0,366.0,9.0,80.0,9.0,70.0,1.0,,,BROAD RIVER CORRECTIONAL INSTITUTION,SC,"4460 Broad River Road, Columbia, SC 29210",29210,2485.0,34.0,2.0,645.0,in BJS (matched),South Carolina,4.1e+20,BROAD RIVER CORRECTIONAL INSTITUTION,4460 BROAD RIVER ROAD,COLUMBIA,SC,29210.0,Males only,Maximum/close/high,None,State authority,1123.0,,No,No,No,/Users/alexesmerritt/Desktop/Prison Vaccinaiton Project/vac-states/SC.csv
45,2021-01-03,,SC,Camille Graham,,2.0,0.0,2.0,0.0,25.0,7.0,18.0,0.0,,,,SC,"4450 Broad River Road, Columbia, SC 29210-4096",29210-4096,2485.0,34.0,2.0,645.0,not in BJS,,,,,,,,,,,,,,,,,/Users/alexesmerritt/Desktop/Prison Vaccinaiton Project/vac-states/SC.csv
46,2021-01-03,,SC,Evans,,76.0,19.0,55.0,2.0,36.0,11.0,25.0,0.0,,,,SC,"610 HIGHWAY 9 WEST, BENNETTSVILLE, SC 29512",29512,2485.0,34.0,2.0,645.0,not in BJS,,,,,,,,,,,,,,,,,/Users/alexesmerritt/Desktop/Prison Vaccinaiton Project/vac-states/SC.csv
47,2021-01-03,,SC,Goodman,,80.0,2.0,77.0,1.0,8.0,0.0,8.0,0.0,,,GOODMAN CORRECTIONAL INSTITUTION,SC,"4556 Broad River Road, Columbia, SC 29210",29210,2485.0,34.0,2.0,645.0,in BJS (matched),South Carolina,4.1e+20,GOODMAN CORRECTIONAL INSTITUTION,4456 BROAD RIVER ROAD,COLUMBIA,SC,29210.0,Females only,Minimum/low,Less than 50% of the inmates,State authority,,302.0,No,No,No,/Users/alexesmerritt/Desktop/Prison Vaccinaiton Project/vac-states/SC.csv
48,2021-01-03,,SC,Kershaw,,0.0,0.0,0.0,0.0,18.0,11.0,7.0,0.0,,,KERSHAW CORRECTIONAL INSTITUTION,SC,"4848 Gold Mine Highway, Kershaw, SC 29067",29067,2485.0,34.0,2.0,645.0,in BJS (matched),South Carolina,4.1e+20,KERSHAW CORRECTIONAL INSTITUTION,4848 GOLDMINE HWY,KERSHAW,SC,29067.0,Males only,Medium,None,State authority,1474.0,,No,No,No,/Users/alexesmerritt/Desktop/Prison Vaccinaiton Project/vac-states/SC.csv
49,2021-01-03,,SC,Kirkland,,449.0,18.0,428.0,3.0,85.0,11.0,74.0,0.0,,,KIRKLAND RECEPTION & EVALUATION CENTER,SC,"4344 Broad River Road, Columbia, SC 29210",29210,2485.0,34.0,2.0,645.0,in BJS (matched),South Carolina,4.1e+20,KIRKLAND RECEPTION & EVALUATION CENTER,4344 BROAD RIVER ROAD,COLUMBIA,SC,29210.0,Males only,Maximum/close/high,None,State authority,1956.0,,No,No,No,/Users/alexesmerritt/Desktop/Prison Vaccinaiton Project/vac-states/SC.csv
50,2021-01-03,,SC,Leath,,20.0,0.0,20.0,0.0,9.0,1.0,8.0,0.0,,,LEATH CORRECTIONAL INSTITUTION,SC,"2809 Airport Road, Greenwood, SC 29649",29649,2485.0,34.0,2.0,645.0,in BJS (matched),South Carolina,4.1e+20,LEATH CORRECTIONAL INSTITUTION,2809 AIRPORT ROAD,GREENWOOD,SC,29649.0,Females only,Maximum/close/high,None,State authority,,527.0,No,No,No,/Users/alexesmerritt/Desktop/Prison Vaccinaiton Project/vac-states/SC.csv
51,2021-01-03,,SC,Lee,,58.0,1.0,56.0,1.0,36.0,4.0,31.0,1.0,,,LEE CORRECTIONAL INSTITUTION,SC,990 WISACKY HWY,29010,2485.0,34.0,2.0,645.0,in BJS (matched),South Carolina,4.1e+20,LEE CORRECTIONAL INSTITUTION,990 WISACKY HWY,BISHOPVILLE,SC,29010.0,Males only,Maximum/close/high,None,State authority,1746.0,,No,No,No,/Users/alexesmerritt/Desktop/Prison Vaccinaiton Project/vac-states/SC.csv
52,2021-01-03,,SC,Lieber,,132.0,1.0,129.0,2.0,30.0,1.0,29.0,0.0,,,LIEBER CORRECTIONAL INSTITUTION,SC,"136 Wilborn Avenue Ridgeville, SC 29472",29472,2485.0,34.0,2.0,645.0,in BJS (matched),South Carolina,4.1e+20,LIEBER CORRECTIONAL INSTITUTION,136 WILBORN AVENUE,RIDGEVILLE,SC,29472.0,Males only,Maximum/close/high,None,State authority,1415.0,,No,No,No,/Users/alexesmerritt/Desktop/Prison Vaccinaiton Project/vac-states/SC.csv
