Unnamed: 0,scrapedate,lastupdated,stateagency,facility,fac_inc_tested,fac_inc_positive,fac_inc_negative,fac_inc_testpending,fac_inc_recovered,fac_inc_deaths,sum_inc_vaccinated,sum_staff_positive,sum_staff_recovered,sum_staff_deaths,facility_bjs,fac_state,fac_inc_testedlocal,fac_inc_testedintake,fac_inc_pending,fac_address,fac_zip,sum_inc_positive,sum_inc_deaths,sum_inc_tested,match,bjs_fac_state,bjs_fac_id,bjs_fac_id2,bjs_fac_name,bjs_fac_address1,bjs_fac_address2,bjs_fac_city,bjs_fac_stateab,bjs_fac_zip1,bjs_fac_gender,bjs_fac_security,bjs_fac_leave,bjs_fac_operator,bjs_fac_malepop,bjs_fac_femalepop,bjs_fac_linked,bjs_fac_linktxt,bjs_fac_changeuse,bjs_fac_changeclose,oldnew,fac_inc_vaccinatedpercent,state
11,2021-01-02,44194,UT,Atherton Community Correctional Center,121.0,14.0,107.0,NR,9.0,0.0,,,,,,,,,,"2588 W. 2365 South West, Valley City, UT 84119",,2655.0,,,,,,,,,,,,,,,,,,,,,,,,,/Users/alexesmerritt/Desktop/Prison Vaccinaiton Project/vac-states/UT.csv
12,2021-01-02,44194,UT,Bonneville Community Correctional Center,98.0,12.0,86.0,NR,12.0,0.0,,,,,,,,,,"1141 S. 2475 West Salt Lake City, UT 84104",84104.0,2655.0,,,,,,,,,,,,,,,,,,,,,,,,,/Users/alexesmerritt/Desktop/Prison Vaccinaiton Project/vac-states/UT.csv
13,2021-01-02,44194,UT,Fortitude Treatment Center,308.0,30.0,278.0,NR,13.0,0.0,,,,,,,,,,"1747 S. 900 West. Salt Lake City, UT 84104",,2655.0,,,,,,,,,,,,,,,,,,,,,,,,,/Users/alexesmerritt/Desktop/Prison Vaccinaiton Project/vac-states/UT.csv
14,2021-01-02,44194,UT,Northern Utah Community Correctional Center,287.0,22.0,265.0,NR,10.0,0.0,,,,,,,,,,"2445 S. Water Tower Way (1125 W.) Ogden, UT 84401",84401.0,2655.0,,,,,,,,,,,,,,,,,,,,,,,,,/Users/alexesmerritt/Desktop/Prison Vaccinaiton Project/vac-states/UT.csv
15,2021-01-02,44194,UT,Orange Street Community Correctional Center,36.0,12.0,24.0,NR,0.0,0.0,,,,,,,,,,"80 S. Orange Street (1900 West) Salt Lake City, UT 84116",84116.0,2655.0,,,,,,,,,,,,,,,,,,,,,,,,,/Users/alexesmerritt/Desktop/Prison Vaccinaiton Project/vac-states/UT.csv
16,2021-01-02,44196,UT,,,,,,,,,312.0,238.0,NR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,/Users/alexesmerritt/Desktop/Prison Vaccinaiton Project/vac-states/UT.csv
17,2021-01-03,44194,UT,Utah State Prison -- Draper,9425.0,1620.0,7805.0,NR,1075.0,10.0,,,,,,,,,,P.O. Box 250,,2655.0,,,,,,,,,,,,,,,,,,,,,,,,,/Users/alexesmerritt/Desktop/Prison Vaccinaiton Project/vac-states/UT.csv
18,2021-01-03,44194,UT,Central Utah Correctional Facility -- Gunnison,6947.0,945.0,6002.0,NR,461.0,2.0,,,,,,,,,,"255 East 300 North, P.O. Box 898",,2655.0,,,,,,,,,,,,,,,,,,,,,,,,,/Users/alexesmerritt/Desktop/Prison Vaccinaiton Project/vac-states/UT.csv
19,2021-01-03,44194,UT,Atherton Community Correctional Center,121.0,14.0,107.0,NR,9.0,0.0,,,,,,,,,,"2588 W. 2365 South West, Valley City, UT 84119",,2655.0,,,,,,,,,,,,,,,,,,,,,,,,,/Users/alexesmerritt/Desktop/Prison Vaccinaiton Project/vac-states/UT.csv
20,2021-01-03,44194,UT,Bonneville Community Correctional Center,98.0,12.0,86.0,NR,12.0,0.0,,,,,,,,,,"1141 S. 2475 West Salt Lake City, UT 84104",84104.0,2655.0,,,,,,,,,,,,,,,,,,,,,,,,,/Users/alexesmerritt/Desktop/Prison Vaccinaiton Project/vac-states/UT.csv
21,2021-01-03,44194,UT,Fortitude Treatment Center,308.0,30.0,278.0,NR,13.0,0.0,,,,,,,,,,"1747 S. 900 West. Salt Lake City, UT 84104",,2655.0,,,,,,,,,,,,,,,,,,,,,,,,,/Users/alexesmerritt/Desktop/Prison Vaccinaiton Project/vac-states/UT.csv
22,2021-01-03,44194,UT,Northern Utah Community Correctional Center,287.0,22.0,265.0,NR,10.0,0.0,,,,,,,,,,"2445 S. Water Tower Way (1125 W.) Ogden, UT 84401",84401.0,2655.0,,,,,,,,,,,,,,,,,,,,,,,,,/Users/alexesmerritt/Desktop/Prison Vaccinaiton Project/vac-states/UT.csv
23,2021-01-03,44194,UT,Orange Street Community Correctional Center,36.0,12.0,24.0,NR,0.0,0.0,,,,,,,,,,"80 S. Orange Street (1900 West) Salt Lake City, UT 84116",84116.0,2655.0,,,,,,,,,,,,,,,,,,,,,,,,,/Users/alexesmerritt/Desktop/Prison Vaccinaiton Project/vac-states/UT.csv
24,2021-01-03,44196,UT,,,,,,,,,312.0,238.0,NR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,/Users/alexesmerritt/Desktop/Prison Vaccinaiton Project/vac-states/UT.csv
25,2021-01-04,44194,UT,Utah State Prison -- Draper,9425.0,1620.0,7805.0,NR,1075.0,10.0,,,,,,,,,,P.O. Box 250,,2655.0,,,,,,,,,,,,,,,,,,,,,,,,,/Users/alexesmerritt/Desktop/Prison Vaccinaiton Project/vac-states/UT.csv
26,2021-01-04,44194,UT,Central Utah Correctional Facility -- Gunnison,6947.0,945.0,6002.0,NR,461.0,2.0,,,,,,,,,,"255 East 300 North, P.O. Box 898",,2655.0,,,,,,,,,,,,,,,,,,,,,,,,,/Users/alexesmerritt/Desktop/Prison Vaccinaiton Project/vac-states/UT.csv
27,2021-01-04,44194,UT,Atherton Community Correctional Center,121.0,14.0,107.0,NR,9.0,0.0,,,,,,,,,,"2588 W. 2365 South West, Valley City, UT 84119",,2655.0,,,,,,,,,,,,,,,,,,,,,,,,,/Users/alexesmerritt/Desktop/Prison Vaccinaiton Project/vac-states/UT.csv
28,2021-01-04,44194,UT,Bonneville Community Correctional Center,98.0,12.0,86.0,NR,12.0,0.0,,,,,,,,,,"1141 S. 2475 West Salt Lake City, UT 84104",84104.0,2655.0,,,,,,,,,,,,,,,,,,,,,,,,,/Users/alexesmerritt/Desktop/Prison Vaccinaiton Project/vac-states/UT.csv
29,2021-01-04,44194,UT,Fortitude Treatment Center,308.0,30.0,278.0,NR,13.0,0.0,,,,,,,,,,"1747 S. 900 West. Salt Lake City, UT 84104",,2655.0,,,,,,,,,,,,,,,,,,,,,,,,,/Users/alexesmerritt/Desktop/Prison Vaccinaiton Project/vac-states/UT.csv
30,2021-01-04,44194,UT,Northern Utah Community Correctional Center,287.0,22.0,265.0,NR,10.0,0.0,,,,,,,,,,"2445 S. Water Tower Way (1125 W.) Ogden, UT 84401",84401.0,2655.0,,,,,,,,,,,,,,,,,,,,,,,,,/Users/alexesmerritt/Desktop/Prison Vaccinaiton Project/vac-states/UT.csv
31,2021-01-04,44194,UT,Orange Street Community Correctional Center,36.0,12.0,24.0,NR,0.0,0.0,,,,,,,,,,"80 S. Orange Street (1900 West) Salt Lake City, UT 84116",84116.0,2655.0,,,,,,,,,,,,,,,,,,,,,,,,,/Users/alexesmerritt/Desktop/Prison Vaccinaiton Project/vac-states/UT.csv
32,2021-01-04,44196,UT,,,,,,,,,312.0,238.0,NR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,/Users/alexesmerritt/Desktop/Prison Vaccinaiton Project/vac-states/UT.csv
33,2021-01-05,44194,UT,Utah State Prison -- Draper,9425.0,1620.0,7805.0,NR,1075.0,10.0,,,,,,,,,,P.O. Box 250,,2655.0,,,,,,,,,,,,,,,,,,,,,,,,,/Users/alexesmerritt/Desktop/Prison Vaccinaiton Project/vac-states/UT.csv
34,2021-01-05,44194,UT,Central Utah Correctional Facility -- Gunnison,6947.0,945.0,6002.0,NR,461.0,2.0,,,,,,,,,,"255 East 300 North, P.O. Box 898",,2655.0,,,,,,,,,,,,,,,,,,,,,,,,,/Users/alexesmerritt/Desktop/Prison Vaccinaiton Project/vac-states/UT.csv
35,2021-01-05,44194,UT,Atherton Community Correctional Center,121.0,14.0,107.0,NR,9.0,0.0,,,,,,,,,,"2588 W. 2365 South West, Valley City, UT 84119",,2655.0,,,,,,,,,,,,,,,,,,,,,,,,,/Users/alexesmerritt/Desktop/Prison Vaccinaiton Project/vac-states/UT.csv
36,2021-01-05,44194,UT,Bonneville Community Correctional Center,98.0,12.0,86.0,NR,12.0,0.0,,,,,,,,,,"1141 S. 2475 West Salt Lake City, UT 84104",84104.0,2655.0,,,,,,,,,,,,,,,,,,,,,,,,,/Users/alexesmerritt/Desktop/Prison Vaccinaiton Project/vac-states/UT.csv
37,2021-01-05,44194,UT,Fortitude Treatment Center,308.0,30.0,278.0,NR,13.0,0.0,,,,,,,,,,"1747 S. 900 West. Salt Lake City, UT 84104",,2655.0,,,,,,,,,,,,,,,,,,,,,,,,,/Users/alexesmerritt/Desktop/Prison Vaccinaiton Project/vac-states/UT.csv
38,2021-01-05,44194,UT,Northern Utah Community Correctional Center,287.0,22.0,265.0,NR,10.0,0.0,,,,,,,,,,"2445 S. Water Tower Way (1125 W.) Ogden, UT 84401",84401.0,2655.0,,,,,,,,,,,,,,,,,,,,,,,,,/Users/alexesmerritt/Desktop/Prison Vaccinaiton Project/vac-states/UT.csv
39,2021-01-05,44194,UT,Orange Street Community Correctional Center,36.0,12.0,24.0,NR,0.0,0.0,,,,,,,,,,"80 S. Orange Street (1900 West) Salt Lake City, UT 84116",84116.0,2655.0,,,,,,,,,,,,,,,,,,,,,,,,,/Users/alexesmerritt/Desktop/Prison Vaccinaiton Project/vac-states/UT.csv
40,2021-01-05,44196,UT,,,,,,,,,312.0,238.0,NR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,/Users/alexesmerritt/Desktop/Prison Vaccinaiton Project/vac-states/UT.csv
41,2021-01-06,44200,UT,Utah State Prison -- Draper,9637.0,1634.0,8003.0,NR,1075.0,11.0,,,,,,,,,,P.O. Box 250,,2705.0,,,,,,,,,,,,,,,,,,,,,,,,,/Users/alexesmerritt/Desktop/Prison Vaccinaiton Project/vac-states/UT.csv
42,2021-01-06,44200,UT,Central Utah Correctional Facility -- Gunnison,7249.0,968.0,6281.0,NR,593.0,3.0,,,,,,,,,,"255 East 300 North, P.O. Box 898",,2705.0,,,,,,,,,,,,,,,,,,,,,,,,,/Users/alexesmerritt/Desktop/Prison Vaccinaiton Project/vac-states/UT.csv
43,2021-01-06,44200,UT,Atherton Community Correctional Center,121.0,14.0,107.0,NR,12.0,0.0,,,,,,,,,,"2588 W. 2365 South West, Valley City, UT 84119",,2705.0,,,,,,,,,,,,,,,,,,,,,,,,,/Users/alexesmerritt/Desktop/Prison Vaccinaiton Project/vac-states/UT.csv
44,2021-01-06,44200,UT,Bonneville Community Correctional Center,98.0,12.0,86.0,NR,12.0,0.0,,,,,,,,,,"1141 S. 2475 West Salt Lake City, UT 84104",84104.0,2705.0,,,,,,,,,,,,,,,,,,,,,,,,,/Users/alexesmerritt/Desktop/Prison Vaccinaiton Project/vac-states/UT.csv
45,2021-01-06,44200,UT,Fortitude Treatment Center,323.0,38.0,285.0,NR,15.0,0.0,,,,,,,,,,"1747 S. 900 West. Salt Lake City, UT 84104",,2705.0,,,,,,,,,,,,,,,,,,,,,,,,,/Users/alexesmerritt/Desktop/Prison Vaccinaiton Project/vac-states/UT.csv
46,2021-01-06,44200,UT,Northern Utah Community Correctional Center,372.0,27.0,345.0,NR,22.0,0.0,,,,,,,,,,"2445 S. Water Tower Way (1125 W.) Ogden, UT 84401",84401.0,2705.0,,,,,,,,,,,,,,,,,,,,,,,,,/Users/alexesmerritt/Desktop/Prison Vaccinaiton Project/vac-states/UT.csv
47,2021-01-06,44200,UT,Orange Street Community Correctional Center,37.0,12.0,25.0,NR,0.0,0.0,,,,,,,,,,"80 S. Orange Street (1900 West) Salt Lake City, UT 84116",84116.0,2705.0,,,,,,,,,,,,,,,,,,,,,,,,,/Users/alexesmerritt/Desktop/Prison Vaccinaiton Project/vac-states/UT.csv
48,2021-01-06,44196,UT,,,,,,,,,312.0,238.0,NR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,/Users/alexesmerritt/Desktop/Prison Vaccinaiton Project/vac-states/UT.csv
49,2021-01-07,44200,UT,Utah State Prison -- Draper,9637.0,1634.0,8003.0,NR,1075.0,11.0,,,,,,,,,,P.O. Box 250,,2705.0,,,,,,,,,,,,,,,,,,,,,,,,,/Users/alexesmerritt/Desktop/Prison Vaccinaiton Project/vac-states/UT.csv
50,2021-01-07,44200,UT,Central Utah Correctional Facility -- Gunnison,7249.0,968.0,6281.0,NR,593.0,3.0,,,,,,,,,,"255 East 300 North, P.O. Box 898",,2705.0,,,,,,,,,,,,,,,,,,,,,,,,,/Users/alexesmerritt/Desktop/Prison Vaccinaiton Project/vac-states/UT.csv
51,2021-01-07,44200,UT,Atherton Community Correctional Center,121.0,14.0,107.0,NR,12.0,0.0,,,,,,,,,,"2588 W. 2365 South West, Valley City, UT 84119",,2705.0,,,,,,,,,,,,,,,,,,,,,,,,,/Users/alexesmerritt/Desktop/Prison Vaccinaiton Project/vac-states/UT.csv
52,2021-01-07,44200,UT,Bonneville Community Correctional Center,98.0,12.0,86.0,NR,12.0,0.0,,,,,,,,,,"1141 S. 2475 West Salt Lake City, UT 84104",84104.0,2705.0,,,,,,,,,,,,,,,,,,,,,,,,,/Users/alexesmerritt/Desktop/Prison Vaccinaiton Project/vac-states/UT.csv
53,2021-01-07,44200,UT,Fortitude Treatment Center,323.0,38.0,285.0,NR,15.0,0.0,,,,,,,,,,"1747 S. 900 West. Salt Lake City, UT 84104",,2705.0,,,,,,,,,,,,,,,,,,,,,,,,,/Users/alexesmerritt/Desktop/Prison Vaccinaiton Project/vac-states/UT.csv
54,2021-01-07,44200,UT,Northern Utah Community Correctional Center,372.0,27.0,345.0,NR,22.0,0.0,,,,,,,,,,"2445 S. Water Tower Way (1125 W.) Ogden, UT 84401",84401.0,2705.0,,,,,,,,,,,,,,,,,,,,,,,,,/Users/alexesmerritt/Desktop/Prison Vaccinaiton Project/vac-states/UT.csv
55,2021-01-07,44200,UT,Orange Street Community Correctional Center,37.0,12.0,25.0,NR,0.0,0.0,,,,,,,,,,"80 S. Orange Street (1900 West) Salt Lake City, UT 84116",84116.0,2705.0,,,,,,,,,,,,,,,,,,,,,,,,,/Users/alexesmerritt/Desktop/Prison Vaccinaiton Project/vac-states/UT.csv
56,2021-01-07,44196,UT,,,,,,,,,312.0,238.0,NR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,/Users/alexesmerritt/Desktop/Prison Vaccinaiton Project/vac-states/UT.csv
57,2021-01-08,44203,UT,Utah State Prison -- Draper,9864.0,1648.0,8216.0,NR,1075.0,12.0,,,,,,,,,,P.O. Box 250,,2736.0,,,,,,,,,,,,,,,,,,,,,,,,,/Users/alexesmerritt/Desktop/Prison Vaccinaiton Project/vac-states/UT.csv
58,2021-01-08,44203,UT,Central Utah Correctional Facility -- Gunnison,7490.0,980.0,6510.0,NR,599.0,3.0,,,,,,,,,,"255 East 300 North, P.O. Box 898",,2736.0,,,,,,,,,,,,,,,,,,,,,,,,,/Users/alexesmerritt/Desktop/Prison Vaccinaiton Project/vac-states/UT.csv
59,2021-01-08,44203,UT,Atherton Community Correctional Center,121.0,14.0,107.0,NR,12.0,0.0,,,,,,,,,,"2588 W. 2365 South West, Valley City, UT 84119",,2736.0,,,,,,,,,,,,,,,,,,,,,,,,,/Users/alexesmerritt/Desktop/Prison Vaccinaiton Project/vac-states/UT.csv
60,2021-01-08,44203,UT,Bonneville Community Correctional Center,98.0,12.0,86.0,NR,12.0,0.0,,,,,,,,,,"1141 S. 2475 West Salt Lake City, UT 84104",84104.0,2736.0,,,,,,,,,,,,,,,,,,,,,,,,,/Users/alexesmerritt/Desktop/Prison Vaccinaiton Project/vac-states/UT.csv
61,2021-01-08,44203,UT,Fortitude Treatment Center,328.0,43.0,285.0,NR,15.0,0.0,,,,,,,,,,"1747 S. 900 West. Salt Lake City, UT 84104",,2736.0,,,,,,,,,,,,,,,,,,,,,,,,,/Users/alexesmerritt/Desktop/Prison Vaccinaiton Project/vac-states/UT.csv
62,2021-01-08,44203,UT,Northern Utah Community Correctional Center,372.0,27.0,345.0,NR,22.0,0.0,,,,,,,,,,"2445 S. Water Tower Way (1125 W.) Ogden, UT 84401",84401.0,2736.0,,,,,,,,,,,,,,,,,,,,,,,,,/Users/alexesmerritt/Desktop/Prison Vaccinaiton Project/vac-states/UT.csv
63,2021-01-08,44203,UT,Orange Street Community Correctional Center,37.0,12.0,25.0,NR,0.0,0.0,,,,,,,,,,"80 S. Orange Street (1900 West) Salt Lake City, UT 84116",84116.0,2736.0,,,,,,,,,,,,,,,,,,,,,,,,,/Users/alexesmerritt/Desktop/Prison Vaccinaiton Project/vac-states/UT.csv
64,2021-01-08,44196,UT,,,,,,,,,312.0,238.0,NR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,/Users/alexesmerritt/Desktop/Prison Vaccinaiton Project/vac-states/UT.csv
65,2021-01-09,44203,UT,Utah State Prison -- Draper,9864.0,1648.0,8216.0,NR,1075.0,12.0,,,,,,,,,,P.O. Box 250,,2736.0,,,,,,,,,,,,,,,,,,,,,,,,,/Users/alexesmerritt/Desktop/Prison Vaccinaiton Project/vac-states/UT.csv
66,2021-01-09,44203,UT,Central Utah Correctional Facility -- Gunnison,7490.0,980.0,6510.0,NR,599.0,3.0,,,,,,,,,,"255 East 300 North, P.O. Box 898",,2736.0,,,,,,,,,,,,,,,,,,,,,,,,,/Users/alexesmerritt/Desktop/Prison Vaccinaiton Project/vac-states/UT.csv
67,2021-01-09,44203,UT,Atherton Community Correctional Center,121.0,14.0,107.0,NR,12.0,0.0,,,,,,,,,,"2588 W. 2365 South West, Valley City, UT 84119",,2736.0,,,,,,,,,,,,,,,,,,,,,,,,,/Users/alexesmerritt/Desktop/Prison Vaccinaiton Project/vac-states/UT.csv
68,2021-01-09,44203,UT,Bonneville Community Correctional Center,98.0,12.0,86.0,NR,12.0,0.0,,,,,,,,,,"1141 S. 2475 West Salt Lake City, UT 84104",84104.0,2736.0,,,,,,,,,,,,,,,,,,,,,,,,,/Users/alexesmerritt/Desktop/Prison Vaccinaiton Project/vac-states/UT.csv
69,2021-01-09,44203,UT,Fortitude Treatment Center,328.0,43.0,285.0,NR,15.0,0.0,,,,,,,,,,"1747 S. 900 West. Salt Lake City, UT 84104",,2736.0,,,,,,,,,,,,,,,,,,,,,,,,,/Users/alexesmerritt/Desktop/Prison Vaccinaiton Project/vac-states/UT.csv
70,2021-01-09,44203,UT,Northern Utah Community Correctional Center,372.0,27.0,345.0,NR,22.0,0.0,,,,,,,,,,"2445 S. Water Tower Way (1125 W.) Ogden, UT 84401",84401.0,2736.0,,,,,,,,,,,,,,,,,,,,,,,,,/Users/alexesmerritt/Desktop/Prison Vaccinaiton Project/vac-states/UT.csv
71,2021-01-09,44203,UT,Orange Street Community Correctional Center,37.0,12.0,25.0,NR,0.0,0.0,,,,,,,,,,"80 S. Orange Street (1900 West) Salt Lake City, UT 84116",84116.0,2736.0,,,,,,,,,,,,,,,,,,,,,,,,,/Users/alexesmerritt/Desktop/Prison Vaccinaiton Project/vac-states/UT.csv
72,2021-01-09,44196,UT,,,,,,,,,312.0,238.0,NR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,/Users/alexesmerritt/Desktop/Prison Vaccinaiton Project/vac-states/UT.csv
73,2021-01-10,44203,UT,Utah State Prison -- Draper,9864.0,1648.0,8216.0,NR,1075.0,12.0,,,,,,,,,,P.O. Box 250,,2736.0,,,,,,,,,,,,,,,,,,,,,,,,,/Users/alexesmerritt/Desktop/Prison Vaccinaiton Project/vac-states/UT.csv
74,2021-01-10,44203,UT,Central Utah Correctional Facility -- Gunnison,7490.0,980.0,6510.0,NR,599.0,3.0,,,,,,,,,,"255 East 300 North, P.O. Box 898",,2736.0,,,,,,,,,,,,,,,,,,,,,,,,,/Users/alexesmerritt/Desktop/Prison Vaccinaiton Project/vac-states/UT.csv
75,2021-01-10,44203,UT,Atherton Community Correctional Center,121.0,14.0,107.0,NR,12.0,0.0,,,,,,,,,,"2588 W. 2365 South West, Valley City, UT 84119",,2736.0,,,,,,,,,,,,,,,,,,,,,,,,,/Users/alexesmerritt/Desktop/Prison Vaccinaiton Project/vac-states/UT.csv
76,2021-01-10,44203,UT,Bonneville Community Correctional Center,98.0,12.0,86.0,NR,12.0,0.0,,,,,,,,,,"1141 S. 2475 West Salt Lake City, UT 84104",84104.0,2736.0,,,,,,,,,,,,,,,,,,,,,,,,,/Users/alexesmerritt/Desktop/Prison Vaccinaiton Project/vac-states/UT.csv
77,2021-01-10,44203,UT,Fortitude Treatment Center,328.0,43.0,285.0,NR,15.0,0.0,,,,,,,,,,"1747 S. 900 West. Salt Lake City, UT 84104",,2736.0,,,,,,,,,,,,,,,,,,,,,,,,,/Users/alexesmerritt/Desktop/Prison Vaccinaiton Project/vac-states/UT.csv
78,2021-01-10,44203,UT,Northern Utah Community Correctional Center,372.0,27.0,345.0,NR,22.0,0.0,,,,,,,,,,"2445 S. Water Tower Way (1125 W.) Ogden, UT 84401",84401.0,2736.0,,,,,,,,,,,,,,,,,,,,,,,,,/Users/alexesmerritt/Desktop/Prison Vaccinaiton Project/vac-states/UT.csv
79,2021-01-10,44203,UT,Orange Street Community Correctional Center,37.0,12.0,25.0,NR,0.0,0.0,,,,,,,,,,"80 S. Orange Street (1900 West) Salt Lake City, UT 84116",84116.0,2736.0,,,,,,,,,,,,,,,,,,,,,,,,,/Users/alexesmerritt/Desktop/Prison Vaccinaiton Project/vac-states/UT.csv
80,2021-01-10,44196,UT,,,,,,,,,312.0,238.0,NR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,/Users/alexesmerritt/Desktop/Prison Vaccinaiton Project/vac-states/UT.csv
81,2021-01-11,44203,UT,Utah State Prison -- Draper,9864.0,1648.0,8216.0,NR,1075.0,12.0,,,,,,,,,,P.O. Box 250,,2736.0,,,,,,,,,,,,,,,,,,,,,,,,,/Users/alexesmerritt/Desktop/Prison Vaccinaiton Project/vac-states/UT.csv
82,2021-01-11,44203,UT,Central Utah Correctional Facility -- Gunnison,7490.0,980.0,6510.0,NR,599.0,3.0,,,,,,,,,,"255 East 300 North, P.O. Box 898",,2736.0,,,,,,,,,,,,,,,,,,,,,,,,,/Users/alexesmerritt/Desktop/Prison Vaccinaiton Project/vac-states/UT.csv
83,2021-01-11,44203,UT,Atherton Community Correctional Center,121.0,14.0,107.0,NR,12.0,0.0,,,,,,,,,,"2588 W. 2365 South West, Valley City, UT 84119",,2736.0,,,,,,,,,,,,,,,,,,,,,,,,,/Users/alexesmerritt/Desktop/Prison Vaccinaiton Project/vac-states/UT.csv
84,2021-01-11,44203,UT,Bonneville Community Correctional Center,98.0,12.0,86.0,NR,12.0,0.0,,,,,,,,,,"1141 S. 2475 West Salt Lake City, UT 84104",84104.0,2736.0,,,,,,,,,,,,,,,,,,,,,,,,,/Users/alexesmerritt/Desktop/Prison Vaccinaiton Project/vac-states/UT.csv
85,2021-01-11,44203,UT,Fortitude Treatment Center,328.0,43.0,285.0,NR,15.0,0.0,,,,,,,,,,"1747 S. 900 West. Salt Lake City, UT 84104",,2736.0,,,,,,,,,,,,,,,,,,,,,,,,,/Users/alexesmerritt/Desktop/Prison Vaccinaiton Project/vac-states/UT.csv
