Unnamed: 0,scrapedate,lastupdated,stateagency,facility,fac_inc_tested,fac_inc_positive,fac_inc_active,fac_staff_positive,fac_staff_active,fac_inc_vaccinated,fac_inc_vaccinatedweekly,fac_staff_vaccinated,fac_staff_vaccinated_weekly,sum_inc_deaths,sum_staff_deaths,facility_bjs,fac_state,fac_inc_deaths,fac_staff_deaths,fac_inc_recovered,fac_inc_new_positive,fac_staff_recovered,fac_address,fac_zip,sum_inc_positive,sum_staff_positive,match,bjs_fac_state,bjs_fac_id,bjs_fac_id2,bjs_fac_name,bjs_fac_address1,bjs_fac_city,bjs_fac_stateab,bjs_fac_zip1,bjs_fac_gender,bjs_fac_security,bjs_fac_leave,bjs_fac_operator,bjs_fac_malepop,bjs_fac_femalepop,bjs_fac_linked,bjs_fac_linktxt,bjs_fac_changeuse,bjs_fac_changeclose,oldnew,state
24,2021-01-03,12/31/2020,KS,Lansing,NR,995.0,4,153.0,6.0,,,,,5.0,2.0,,,,,,,,"301 E. Kansas Ave., Lansing, KS 66043",,5280.0,,,,,,,,,,,,,,,,,,,,,,/Users/alexesmerritt/Desktop/Prison Vaccinaiton Project/vac-states/KS.csv
25,2021-01-03,12/31/2020,KS,Larned,NR,353.0,0,70.0,3.0,,,,,1.0,0.0,,,,,,,,"1318 KS Highway 264, Larned, KS 67550-0280",,5280.0,,,,,,,,,,,,,,,,,,,,,,/Users/alexesmerritt/Desktop/Prison Vaccinaiton Project/vac-states/KS.csv
26,2021-01-03,12/31/2020,KS,Norton,NR,757.0,69,121.0,8.0,,,,,0.0,0.0,,,,,,,,E HIGHWAY 36,,5280.0,,,,,,,,,,,,,,,,,,,,,,/Users/alexesmerritt/Desktop/Prison Vaccinaiton Project/vac-states/KS.csv
27,2021-01-03,12/31/2020,KS,Topeka,NR,54.0,6,64.0,3.0,,,,,0.0,1.0,,,,,,,,"815 S.E. Rice Rd., Topeka, KS 66607",,5280.0,,,,,,,,,,,,,,,,,,,,,,/Users/alexesmerritt/Desktop/Prison Vaccinaiton Project/vac-states/KS.csv
28,2021-01-03,12/31/2020,KS,Winfield,NR,197.0,20,40.0,0.0,,,,,0.0,0.0,,,,,,,,1806 PINECREST CIRCLE,,5280.0,,,,,,,,,,,,,,,,,,,,,,/Users/alexesmerritt/Desktop/Prison Vaccinaiton Project/vac-states/KS.csv
29,2021-01-03,12/31/2020,KS,Wichita Work Release,NR,81.0,0,17.0,0.0,,,,,0.0,0.0,,,,,,,,401 S. EMPORIA STREET,,5280.0,,,,,,,,,,,,,,,,,,,,,,/Users/alexesmerritt/Desktop/Prison Vaccinaiton Project/vac-states/KS.csv
30,2021-01-03,12/31/2020,KS,KJCC,NR,19.0,0,61.0,4.0,,,,,0.0,0.0,,,,,,,,"1430 N.W. 25th St., Topeka, KS 66618-1499",,5280.0,,,,,,,,,,,,,,,,,,,,,,/Users/alexesmerritt/Desktop/Prison Vaccinaiton Project/vac-states/KS.csv
31,2021-01-04,12/31/2020,KS,El Dorado,NR,909.0,53,206.0,33.0,,,,,0.0,1.0,,,,,,,,1737 SE US HWY 54,,5280.0,,,,,,,,,,,,,,,,,,,,,,/Users/alexesmerritt/Desktop/Prison Vaccinaiton Project/vac-states/KS.csv
32,2021-01-04,12/31/2020,KS,Ellsworth,NR,560.0,83,86.0,2.0,,,,,3.0,0.0,,,,,,,,1607 STATE STREET,,5280.0,,,,,,,,,,,,,,,,,,,,,,/Users/alexesmerritt/Desktop/Prison Vaccinaiton Project/vac-states/KS.csv
33,2021-01-04,12/31/2020,KS,Hutchinson,NR,1355.0,1,233.0,10.0,,,,,3.0,0.0,,,,,,,,500 REFORMATORY RD,,5280.0,,,,,,,,,,,,,,,,,,,,,,/Users/alexesmerritt/Desktop/Prison Vaccinaiton Project/vac-states/KS.csv
34,2021-01-04,12/31/2020,KS,Lansing,NR,995.0,4,153.0,6.0,,,,,5.0,2.0,,,,,,,,"301 E. Kansas Ave., Lansing, KS 66043",,5280.0,,,,,,,,,,,,,,,,,,,,,,/Users/alexesmerritt/Desktop/Prison Vaccinaiton Project/vac-states/KS.csv
35,2021-01-04,12/31/2020,KS,Larned,NR,353.0,0,70.0,3.0,,,,,1.0,0.0,,,,,,,,"1318 KS Highway 264, Larned, KS 67550-0280",,5280.0,,,,,,,,,,,,,,,,,,,,,,/Users/alexesmerritt/Desktop/Prison Vaccinaiton Project/vac-states/KS.csv
36,2021-01-04,12/31/2020,KS,Norton,NR,757.0,69,121.0,8.0,,,,,0.0,0.0,,,,,,,,E HIGHWAY 36,,5280.0,,,,,,,,,,,,,,,,,,,,,,/Users/alexesmerritt/Desktop/Prison Vaccinaiton Project/vac-states/KS.csv
37,2021-01-04,12/31/2020,KS,Topeka,NR,54.0,6,64.0,3.0,,,,,0.0,1.0,,,,,,,,"815 S.E. Rice Rd., Topeka, KS 66607",,5280.0,,,,,,,,,,,,,,,,,,,,,,/Users/alexesmerritt/Desktop/Prison Vaccinaiton Project/vac-states/KS.csv
38,2021-01-04,12/31/2020,KS,Winfield,NR,197.0,20,40.0,0.0,,,,,0.0,0.0,,,,,,,,1806 PINECREST CIRCLE,,5280.0,,,,,,,,,,,,,,,,,,,,,,/Users/alexesmerritt/Desktop/Prison Vaccinaiton Project/vac-states/KS.csv
39,2021-01-04,12/31/2020,KS,Wichita Work Release,NR,81.0,0,17.0,0.0,,,,,0.0,0.0,,,,,,,,401 S. EMPORIA STREET,,5280.0,,,,,,,,,,,,,,,,,,,,,,/Users/alexesmerritt/Desktop/Prison Vaccinaiton Project/vac-states/KS.csv
40,2021-01-04,12/31/2020,KS,KJCC,NR,19.0,0,61.0,4.0,,,,,0.0,0.0,,,,,,,,"1430 N.W. 25th St., Topeka, KS 66618-1499",,5280.0,,,,,,,,,,,,,,,,,,,,,,/Users/alexesmerritt/Desktop/Prison Vaccinaiton Project/vac-states/KS.csv
41,2021-01-05,1/4/2021,KS,El Dorado,NR,929.0,39,211.0,30.0,,,,,0.0,1.0,,,,,,,,1737 SE US HWY 54,,5303.0,,,,,,,,,,,,,,,,,,,,,,/Users/alexesmerritt/Desktop/Prison Vaccinaiton Project/vac-states/KS.csv
42,2021-01-05,1/4/2021,KS,Ellsworth,NR,561.0,54,86.0,2.0,,,,,3.0,0.0,,,,,,,,1607 STATE STREET,,5303.0,,,,,,,,,,,,,,,,,,,,,,/Users/alexesmerritt/Desktop/Prison Vaccinaiton Project/vac-states/KS.csv
43,2021-01-05,1/4/2021,KS,Hutchinson,NR,1355.0,1,238.0,14.0,,,,,3.0,0.0,,,,,,,,500 REFORMATORY RD,,5303.0,,,,,,,,,,,,,,,,,,,,,,/Users/alexesmerritt/Desktop/Prison Vaccinaiton Project/vac-states/KS.csv
44,2021-01-05,1/4/2021,KS,Lansing,NR,995.0,3,153.0,5.0,,,,,5.0,2.0,,,,,,,,"301 E. Kansas Ave., Lansing, KS 66043",,5303.0,,,,,,,,,,,,,,,,,,,,,,/Users/alexesmerritt/Desktop/Prison Vaccinaiton Project/vac-states/KS.csv
45,2021-01-05,1/4/2021,KS,Larned,NR,353.0,0,71.0,3.0,,,,,1.0,0.0,,,,,,,,"1318 KS Highway 264, Larned, KS 67550-0280",,5303.0,,,,,,,,,,,,,,,,,,,,,,/Users/alexesmerritt/Desktop/Prison Vaccinaiton Project/vac-states/KS.csv
46,2021-01-05,1/4/2021,KS,Norton,NR,757.0,66,121.0,8.0,,,,,0.0,0.0,,,,,,,,E HIGHWAY 36,,5303.0,,,,,,,,,,,,,,,,,,,,,,/Users/alexesmerritt/Desktop/Prison Vaccinaiton Project/vac-states/KS.csv
47,2021-01-05,1/4/2021,KS,Topeka,NR,56.0,5,65.0,4.0,,,,,0.0,1.0,,,,,,,,"815 S.E. Rice Rd., Topeka, KS 66607",,5303.0,,,,,,,,,,,,,,,,,,,,,,/Users/alexesmerritt/Desktop/Prison Vaccinaiton Project/vac-states/KS.csv
48,2021-01-05,1/4/2021,KS,Winfield,NR,197.0,2,40.0,0.0,,,,,0.0,0.0,,,,,,,,1806 PINECREST CIRCLE,,5303.0,,,,,,,,,,,,,,,,,,,,,,/Users/alexesmerritt/Desktop/Prison Vaccinaiton Project/vac-states/KS.csv
49,2021-01-05,1/4/2021,KS,Wichita Work Release,NR,81.0,0,17.0,0.0,,,,,0.0,0.0,,,,,,,,401 S. EMPORIA STREET,,5303.0,,,,,,,,,,,,,,,,,,,,,,/Users/alexesmerritt/Desktop/Prison Vaccinaiton Project/vac-states/KS.csv
50,2021-01-05,1/4/2021,KS,KJCC,NR,19.0,0,61.0,4.0,,,,,0.0,0.0,,,,,,,,"1430 N.W. 25th St., Topeka, KS 66618-1499",,5303.0,,,,,,,,,,,,,,,,,,,,,,/Users/alexesmerritt/Desktop/Prison Vaccinaiton Project/vac-states/KS.csv
51,2021-01-06,1/4/2021,KS,El Dorado,NR,929.0,39,211.0,30.0,,,,,0.0,1.0,,,,,,,,1737 SE US HWY 54,,5303.0,,,,,,,,,,,,,,,,,,,,,,/Users/alexesmerritt/Desktop/Prison Vaccinaiton Project/vac-states/KS.csv
52,2021-01-06,1/4/2021,KS,Ellsworth,NR,561.0,54,86.0,2.0,,,,,3.0,0.0,,,,,,,,1607 STATE STREET,,5303.0,,,,,,,,,,,,,,,,,,,,,,/Users/alexesmerritt/Desktop/Prison Vaccinaiton Project/vac-states/KS.csv
53,2021-01-06,1/4/2021,KS,Hutchinson,NR,1355.0,1,238.0,14.0,,,,,3.0,0.0,,,,,,,,500 REFORMATORY RD,,5303.0,,,,,,,,,,,,,,,,,,,,,,/Users/alexesmerritt/Desktop/Prison Vaccinaiton Project/vac-states/KS.csv
54,2021-01-06,1/4/2021,KS,Lansing,NR,995.0,3,153.0,5.0,,,,,5.0,2.0,,,,,,,,"301 E. Kansas Ave., Lansing, KS 66043",,5303.0,,,,,,,,,,,,,,,,,,,,,,/Users/alexesmerritt/Desktop/Prison Vaccinaiton Project/vac-states/KS.csv
55,2021-01-06,1/4/2021,KS,Larned,NR,353.0,0,71.0,3.0,,,,,1.0,0.0,,,,,,,,"1318 KS Highway 264, Larned, KS 67550-0280",,5303.0,,,,,,,,,,,,,,,,,,,,,,/Users/alexesmerritt/Desktop/Prison Vaccinaiton Project/vac-states/KS.csv
56,2021-01-06,1/4/2021,KS,Norton,NR,757.0,66,121.0,8.0,,,,,0.0,0.0,,,,,,,,E HIGHWAY 36,,5303.0,,,,,,,,,,,,,,,,,,,,,,/Users/alexesmerritt/Desktop/Prison Vaccinaiton Project/vac-states/KS.csv
57,2021-01-06,1/4/2021,KS,Topeka,NR,56.0,5,65.0,4.0,,,,,0.0,1.0,,,,,,,,"815 S.E. Rice Rd., Topeka, KS 66607",,5303.0,,,,,,,,,,,,,,,,,,,,,,/Users/alexesmerritt/Desktop/Prison Vaccinaiton Project/vac-states/KS.csv
58,2021-01-06,1/4/2021,KS,Winfield,NR,197.0,2,40.0,0.0,,,,,0.0,0.0,,,,,,,,1806 PINECREST CIRCLE,,5303.0,,,,,,,,,,,,,,,,,,,,,,/Users/alexesmerritt/Desktop/Prison Vaccinaiton Project/vac-states/KS.csv
59,2021-01-06,1/4/2021,KS,Wichita Work Release,NR,81.0,0,17.0,0.0,,,,,0.0,0.0,,,,,,,,401 S. EMPORIA STREET,,5303.0,,,,,,,,,,,,,,,,,,,,,,/Users/alexesmerritt/Desktop/Prison Vaccinaiton Project/vac-states/KS.csv
60,2021-01-06,1/4/2021,KS,KJCC,NR,19.0,0,61.0,4.0,,,,,0.0,0.0,,,,,,,,"1430 N.W. 25th St., Topeka, KS 66618-1499",,5303.0,,,,,,,,,,,,,,,,,,,,,,/Users/alexesmerritt/Desktop/Prison Vaccinaiton Project/vac-states/KS.csv
61,2021-01-07,1/4/2021,KS,El Dorado,NR,929.0,39,211.0,30.0,,,,,0.0,1.0,,,,,,,,1737 SE US HWY 54,,5303.0,,,,,,,,,,,,,,,,,,,,,,/Users/alexesmerritt/Desktop/Prison Vaccinaiton Project/vac-states/KS.csv
62,2021-01-07,1/4/2021,KS,Ellsworth,NR,561.0,54,86.0,2.0,,,,,3.0,0.0,,,,,,,,1607 STATE STREET,,5303.0,,,,,,,,,,,,,,,,,,,,,,/Users/alexesmerritt/Desktop/Prison Vaccinaiton Project/vac-states/KS.csv
63,2021-01-07,1/4/2021,KS,Hutchinson,NR,1355.0,1,238.0,14.0,,,,,3.0,0.0,,,,,,,,500 REFORMATORY RD,,5303.0,,,,,,,,,,,,,,,,,,,,,,/Users/alexesmerritt/Desktop/Prison Vaccinaiton Project/vac-states/KS.csv
64,2021-01-07,1/4/2021,KS,Lansing,NR,995.0,3,153.0,5.0,,,,,5.0,2.0,,,,,,,,"301 E. Kansas Ave., Lansing, KS 66043",,5303.0,,,,,,,,,,,,,,,,,,,,,,/Users/alexesmerritt/Desktop/Prison Vaccinaiton Project/vac-states/KS.csv
65,2021-01-07,1/4/2021,KS,Larned,NR,353.0,0,71.0,3.0,,,,,1.0,0.0,,,,,,,,"1318 KS Highway 264, Larned, KS 67550-0280",,5303.0,,,,,,,,,,,,,,,,,,,,,,/Users/alexesmerritt/Desktop/Prison Vaccinaiton Project/vac-states/KS.csv
66,2021-01-07,1/4/2021,KS,Norton,NR,757.0,66,121.0,8.0,,,,,0.0,0.0,,,,,,,,E HIGHWAY 36,,5303.0,,,,,,,,,,,,,,,,,,,,,,/Users/alexesmerritt/Desktop/Prison Vaccinaiton Project/vac-states/KS.csv
67,2021-01-07,1/4/2021,KS,Topeka,NR,56.0,5,65.0,4.0,,,,,0.0,1.0,,,,,,,,"815 S.E. Rice Rd., Topeka, KS 66607",,5303.0,,,,,,,,,,,,,,,,,,,,,,/Users/alexesmerritt/Desktop/Prison Vaccinaiton Project/vac-states/KS.csv
68,2021-01-07,1/4/2021,KS,Winfield,NR,197.0,2,40.0,0.0,,,,,0.0,0.0,,,,,,,,1806 PINECREST CIRCLE,,5303.0,,,,,,,,,,,,,,,,,,,,,,/Users/alexesmerritt/Desktop/Prison Vaccinaiton Project/vac-states/KS.csv
69,2021-01-07,1/4/2021,KS,Wichita Work Release,NR,81.0,0,17.0,0.0,,,,,0.0,0.0,,,,,,,,401 S. EMPORIA STREET,,5303.0,,,,,,,,,,,,,,,,,,,,,,/Users/alexesmerritt/Desktop/Prison Vaccinaiton Project/vac-states/KS.csv
70,2021-01-07,1/4/2021,KS,KJCC,NR,19.0,0,61.0,4.0,,,,,0.0,0.0,,,,,,,,"1430 N.W. 25th St., Topeka, KS 66618-1499",,5303.0,,,,,,,,,,,,,,,,,,,,,,/Users/alexesmerritt/Desktop/Prison Vaccinaiton Project/vac-states/KS.csv
71,2021-01-08,1/7/2021,KS,El Dorado,NR,934.0,36,215.0,26.0,,,,,1.0,1.0,,,,,,,,1737 SE US HWY 54,,5320.0,,,,,,,,,,,,,,,,,,,,,,/Users/alexesmerritt/Desktop/Prison Vaccinaiton Project/vac-states/KS.csv
72,2021-01-08,1/7/2021,KS,Ellsworth,NR,564.0,36,86.0,1.0,,,,,3.0,0.0,,,,,,,,1607 STATE STREET,,5320.0,,,,,,,,,,,,,,,,,,,,,,/Users/alexesmerritt/Desktop/Prison Vaccinaiton Project/vac-states/KS.csv
73,2021-01-08,1/7/2021,KS,Hutchinson,NR,1355.0,0,240.0,14.0,,,,,3.0,0.0,,,,,,,,500 REFORMATORY RD,,5320.0,,,,,,,,,,,,,,,,,,,,,,/Users/alexesmerritt/Desktop/Prison Vaccinaiton Project/vac-states/KS.csv
74,2021-01-08,1/7/2021,KS,Lansing,NR,995.0,3,153.0,5.0,,,,,5.0,2.0,,,,,,,,"301 E. Kansas Ave., Lansing, KS 66043",,5320.0,,,,,,,,,,,,,,,,,,,,,,/Users/alexesmerritt/Desktop/Prison Vaccinaiton Project/vac-states/KS.csv
75,2021-01-08,1/7/2021,KS,Larned,NR,353.0,0,71.0,2.0,,,,,1.0,0.0,,,,,,,,"1318 KS Highway 264, Larned, KS 67550-0280",,5320.0,,,,,,,,,,,,,,,,,,,,,,/Users/alexesmerritt/Desktop/Prison Vaccinaiton Project/vac-states/KS.csv
76,2021-01-08,1/7/2021,KS,Norton,NR,764.0,73,121.0,8.0,,,,,0.0,0.0,,,,,,,,E HIGHWAY 36,,5320.0,,,,,,,,,,,,,,,,,,,,,,/Users/alexesmerritt/Desktop/Prison Vaccinaiton Project/vac-states/KS.csv
77,2021-01-08,1/7/2021,KS,Topeka,NR,56.0,3,70.0,7.0,,,,,0.0,1.0,,,,,,,,"815 S.E. Rice Rd., Topeka, KS 66607",,5320.0,,,,,,,,,,,,,,,,,,,,,,/Users/alexesmerritt/Desktop/Prison Vaccinaiton Project/vac-states/KS.csv
78,2021-01-08,1/7/2021,KS,Winfield,NR,199.0,4,41.0,1.0,,,,,0.0,0.0,,,,,,,,1806 PINECREST CIRCLE,,5320.0,,,,,,,,,,,,,,,,,,,,,,/Users/alexesmerritt/Desktop/Prison Vaccinaiton Project/vac-states/KS.csv
79,2021-01-08,1/7/2021,KS,Wichita Work Release,NR,81.0,0,17.0,0.0,,,,,0.0,0.0,,,,,,,,401 S. EMPORIA STREET,,5320.0,,,,,,,,,,,,,,,,,,,,,,/Users/alexesmerritt/Desktop/Prison Vaccinaiton Project/vac-states/KS.csv
80,2021-01-08,1/7/2021,KS,KJCC,NR,19.0,0,61.0,4.0,,,,,0.0,0.0,,,,,,,,"1430 N.W. 25th St., Topeka, KS 66618-1499",,5320.0,,,,,,,,,,,,,,,,,,,,,,/Users/alexesmerritt/Desktop/Prison Vaccinaiton Project/vac-states/KS.csv
81,2021-01-09,1/8/2021,KS,El Dorado,NR,934.0,36,215.0,26.0,,,,,1.0,1.0,,,,,,,,1737 SE US HWY 54,,5320.0,,,,,,,,,,,,,,,,,,,,,,/Users/alexesmerritt/Desktop/Prison Vaccinaiton Project/vac-states/KS.csv
82,2021-01-09,1/8/2021,KS,Ellsworth,NR,564.0,36,86.0,1.0,,,,,3.0,0.0,,,,,,,,1607 STATE STREET,,5320.0,,,,,,,,,,,,,,,,,,,,,,/Users/alexesmerritt/Desktop/Prison Vaccinaiton Project/vac-states/KS.csv
83,2021-01-09,1/8/2021,KS,Hutchinson,NR,1355.0,0,240.0,14.0,,,,,3.0,0.0,,,,,,,,500 REFORMATORY RD,,5320.0,,,,,,,,,,,,,,,,,,,,,,/Users/alexesmerritt/Desktop/Prison Vaccinaiton Project/vac-states/KS.csv
84,2021-01-09,1/8/2021,KS,Lansing,NR,995.0,3,153.0,5.0,,,,,5.0,2.0,,,,,,,,"301 E. Kansas Ave., Lansing, KS 66043",,5320.0,,,,,,,,,,,,,,,,,,,,,,/Users/alexesmerritt/Desktop/Prison Vaccinaiton Project/vac-states/KS.csv
85,2021-01-09,1/8/2021,KS,Larned,NR,353.0,0,71.0,2.0,,,,,1.0,0.0,,,,,,,,"1318 KS Highway 264, Larned, KS 67550-0280",,5320.0,,,,,,,,,,,,,,,,,,,,,,/Users/alexesmerritt/Desktop/Prison Vaccinaiton Project/vac-states/KS.csv
86,2021-01-09,1/8/2021,KS,Norton,NR,764.0,73,121.0,8.0,,,,,0.0,0.0,,,,,,,,E HIGHWAY 36,,5320.0,,,,,,,,,,,,,,,,,,,,,,/Users/alexesmerritt/Desktop/Prison Vaccinaiton Project/vac-states/KS.csv
87,2021-01-09,1/8/2021,KS,Topeka,NR,56.0,3,70.0,7.0,,,,,0.0,1.0,,,,,,,,"815 S.E. Rice Rd., Topeka, KS 66607",,5320.0,,,,,,,,,,,,,,,,,,,,,,/Users/alexesmerritt/Desktop/Prison Vaccinaiton Project/vac-states/KS.csv
88,2021-01-09,1/8/2021,KS,Winfield,NR,199.0,4,41.0,1.0,,,,,0.0,0.0,,,,,,,,1806 PINECREST CIRCLE,,5320.0,,,,,,,,,,,,,,,,,,,,,,/Users/alexesmerritt/Desktop/Prison Vaccinaiton Project/vac-states/KS.csv
89,2021-01-09,1/8/2021,KS,Wichita Work Release,NR,81.0,0,17.0,0.0,,,,,0.0,0.0,,,,,,,,401 S. EMPORIA STREET,,5320.0,,,,,,,,,,,,,,,,,,,,,,/Users/alexesmerritt/Desktop/Prison Vaccinaiton Project/vac-states/KS.csv
