Unnamed: 0,scrapedate,lastupdated,stateagency,facility,facilitytier,fac_inc_tested,fac_inc_positive,fac_inc_active,fac_inc_negative,fac_staff_positive,fac_staff_deaths,sum_inc_recovered,sum_inc_deaths,sum_staff_recovered,fac_inc_isolated,fac_inc_quarantined,fac_inc_pending,sum_inc_firstdose,sum_inc_seconddose,sum_inc_offeredvaccine,fac_state,fac_address,fac_zip,fac_facilitytier,sum_inc_positive,sum_inc_tested,sum_staff_positive,match,state
12,2021-01-01,,OR,SFFC,,51.0,0.0,0.0,51.0,0.0,,,21.0,444.0,,,,,,,OR,"48300 Wilson River Hwy, Tillamook, OR 97141-9799",97141-9799,,2320.0,16401.0,576.0,not in BJS,/Users/alexesmerritt/Desktop/Prison Vaccinaiton Project/vac-states/OR.csv
13,2021-01-01,,OR,SRCI,,1207.0,464.0,0.0,743.0,203.0,,,21.0,444.0,,,,,,,OR,"777 Stanton Blvd., Ontario, Oregon 97914-8335",97914-8335,,2320.0,16401.0,576.0,not in BJS,/Users/alexesmerritt/Desktop/Prison Vaccinaiton Project/vac-states/OR.csv
14,2021-01-01,,OR,TRCI,,2247.0,266.0,165.0,1981.0,57.0,,,21.0,444.0,,,,,,,OR,"82911 Beach Access Road, Umatilla, OR 97882",97882,,2320.0,16401.0,576.0,not in BJS,/Users/alexesmerritt/Desktop/Prison Vaccinaiton Project/vac-states/OR.csv
15,2021-01-01,,OR,WCCF,,259.0,0.0,0.0,259.0,5.0,,,21.0,444.0,,,,,,,OR,"20654 Rabbit Hill Road, Lakeview, OR 97630-5000",97630-5000,,2320.0,16401.0,576.0,not in BJS,/Users/alexesmerritt/Desktop/Prison Vaccinaiton Project/vac-states/OR.csv
16,2021-01-02,,OR,CCCF,,1935.0,21.0,10.0,1914.0,19.0,,,21.0,444.0,,,,,,,OR,"24499 SW Grahams Ferry Road, Wilsonville, Oregon 97070",97070,,2320.0,16401.0,576.0,not in BJS,/Users/alexesmerritt/Desktop/Prison Vaccinaiton Project/vac-states/OR.csv
17,2021-01-02,,OR,CCIC (Intake),,3694.0,56.0,29.0,3638.0,10.0,,,21.0,444.0,,,,,,,OR,"24499 SW Grahams Ferry Road, Wilsonville, Oregon 97070",97070,,2320.0,16401.0,576.0,not in BJS,/Users/alexesmerritt/Desktop/Prison Vaccinaiton Project/vac-states/OR.csv
18,2021-01-02,,OR,CRCI,,1337.0,213.0,151.0,1124.0,24.0,,,21.0,444.0,,,,,,,OR,"9111 NE Sunderland Avenue, Portland, OR 97211-1799",97211-1799,,2320.0,16401.0,576.0,not in BJS,/Users/alexesmerritt/Desktop/Prison Vaccinaiton Project/vac-states/OR.csv
19,2021-01-02,,OR,DRCI,,1659.0,246.0,77.0,1413.0,40.0,,,21.0,444.0,,,,,,,OR,"3920 East Ashwood Road, Madras, Oregon 97741",97741,,2320.0,16401.0,576.0,not in BJS,/Users/alexesmerritt/Desktop/Prison Vaccinaiton Project/vac-states/OR.csv
20,2021-01-02,,OR,EOCI,,958.0,452.0,1.0,506.0,73.0,,,21.0,444.0,,,,,,,OR,"2500 Westgate, Pendleton, Oregon 97801-9699",97801-9699,,2320.0,16401.0,576.0,not in BJS,/Users/alexesmerritt/Desktop/Prison Vaccinaiton Project/vac-states/OR.csv
21,2021-01-02,,OR,MCCF,,344.0,31.0,22.0,313.0,7.0,,,21.0,444.0,,,,,,,OR,"5465 Turner Road SE, Salem, Oregon 97317 ",97317,,2320.0,16401.0,576.0,not in BJS,/Users/alexesmerritt/Desktop/Prison Vaccinaiton Project/vac-states/OR.csv
22,2021-01-02,,OR,OSCI,,939.0,210.0,11.0,729.0,35.0,,,21.0,444.0,,,,,,,OR,"3405 Deer Park Drive SE, Salem, Oregon 97310-9385",97310-9385,,2320.0,16401.0,576.0,not in BJS,/Users/alexesmerritt/Desktop/Prison Vaccinaiton Project/vac-states/OR.csv
23,2021-01-02,,OR,OSP,,804.0,283.0,127.0,521.0,83.0,,,21.0,444.0,,,,,,,OR,"2605 State Street, Salem, OR  97310",97310,,2320.0,16401.0,576.0,not in BJS,/Users/alexesmerritt/Desktop/Prison Vaccinaiton Project/vac-states/OR.csv
24,2021-01-02,,OR,PRCF,,412.0,40.0,34.0,372.0,8.0,,,21.0,444.0,,,,,,,OR,"3600 13th Street, Baker City, Oregon 97814-1346",97814-1346,,2320.0,16401.0,576.0,not in BJS,/Users/alexesmerritt/Desktop/Prison Vaccinaiton Project/vac-states/OR.csv
25,2021-01-02,,OR,SCCI,,230.0,26.0,1.0,204.0,4.0,,,21.0,444.0,,,,,,,OR,"95200 Shutters Landing Lane, North Bend, OR  97459",97459,,2320.0,16401.0,576.0,not in BJS,/Users/alexesmerritt/Desktop/Prison Vaccinaiton Project/vac-states/OR.csv
26,2021-01-02,,OR,SCI,,325.0,12.0,1.0,313.0,8.0,,,21.0,444.0,,,,,,,OR,"4005 Aumsville Hwy SE, Salem, OR 97317",97317,,2320.0,16401.0,576.0,not in BJS,/Users/alexesmerritt/Desktop/Prison Vaccinaiton Project/vac-states/OR.csv
27,2021-01-02,,OR,SFFC,,51.0,0.0,0.0,51.0,0.0,,,21.0,444.0,,,,,,,OR,"48300 Wilson River Hwy, Tillamook, OR 97141-9799",97141-9799,,2320.0,16401.0,576.0,not in BJS,/Users/alexesmerritt/Desktop/Prison Vaccinaiton Project/vac-states/OR.csv
28,2021-01-02,,OR,SRCI,,1207.0,464.0,0.0,743.0,203.0,,,21.0,444.0,,,,,,,OR,"777 Stanton Blvd., Ontario, Oregon 97914-8335",97914-8335,,2320.0,16401.0,576.0,not in BJS,/Users/alexesmerritt/Desktop/Prison Vaccinaiton Project/vac-states/OR.csv
29,2021-01-02,,OR,TRCI,,2247.0,266.0,165.0,1981.0,57.0,,,21.0,444.0,,,,,,,OR,"82911 Beach Access Road, Umatilla, OR 97882",97882,,2320.0,16401.0,576.0,not in BJS,/Users/alexesmerritt/Desktop/Prison Vaccinaiton Project/vac-states/OR.csv
30,2021-01-02,,OR,WCCF,,259.0,0.0,0.0,259.0,5.0,,,21.0,444.0,,,,,,,OR,"20654 Rabbit Hill Road, Lakeview, OR 97630-5000",97630-5000,,2320.0,16401.0,576.0,not in BJS,/Users/alexesmerritt/Desktop/Prison Vaccinaiton Project/vac-states/OR.csv
31,2021-01-03,,OR,CCCF,,1935.0,21.0,10.0,1914.0,19.0,,,21.0,444.0,,,,,,,OR,"24499 SW Grahams Ferry Road, Wilsonville, Oregon 97070",97070,,2320.0,16401.0,576.0,not in BJS,/Users/alexesmerritt/Desktop/Prison Vaccinaiton Project/vac-states/OR.csv
32,2021-01-03,,OR,CCIC (Intake),,3694.0,56.0,29.0,3638.0,10.0,,,21.0,444.0,,,,,,,OR,"24499 SW Grahams Ferry Road, Wilsonville, Oregon 97070",97070,,2320.0,16401.0,576.0,not in BJS,/Users/alexesmerritt/Desktop/Prison Vaccinaiton Project/vac-states/OR.csv
33,2021-01-03,,OR,CRCI,,1337.0,213.0,151.0,1124.0,24.0,,,21.0,444.0,,,,,,,OR,"9111 NE Sunderland Avenue, Portland, OR 97211-1799",97211-1799,,2320.0,16401.0,576.0,not in BJS,/Users/alexesmerritt/Desktop/Prison Vaccinaiton Project/vac-states/OR.csv
34,2021-01-03,,OR,DRCI,,1659.0,246.0,77.0,1413.0,40.0,,,21.0,444.0,,,,,,,OR,"3920 East Ashwood Road, Madras, Oregon 97741",97741,,2320.0,16401.0,576.0,not in BJS,/Users/alexesmerritt/Desktop/Prison Vaccinaiton Project/vac-states/OR.csv
35,2021-01-03,,OR,EOCI,,958.0,452.0,1.0,506.0,73.0,,,21.0,444.0,,,,,,,OR,"2500 Westgate, Pendleton, Oregon 97801-9699",97801-9699,,2320.0,16401.0,576.0,not in BJS,/Users/alexesmerritt/Desktop/Prison Vaccinaiton Project/vac-states/OR.csv
36,2021-01-03,,OR,MCCF,,344.0,31.0,22.0,313.0,7.0,,,21.0,444.0,,,,,,,OR,"5465 Turner Road SE, Salem, Oregon 97317 ",97317,,2320.0,16401.0,576.0,not in BJS,/Users/alexesmerritt/Desktop/Prison Vaccinaiton Project/vac-states/OR.csv
37,2021-01-03,,OR,OSCI,,939.0,210.0,11.0,729.0,35.0,,,21.0,444.0,,,,,,,OR,"3405 Deer Park Drive SE, Salem, Oregon 97310-9385",97310-9385,,2320.0,16401.0,576.0,not in BJS,/Users/alexesmerritt/Desktop/Prison Vaccinaiton Project/vac-states/OR.csv
38,2021-01-03,,OR,OSP,,804.0,283.0,127.0,521.0,83.0,,,21.0,444.0,,,,,,,OR,"2605 State Street, Salem, OR  97310",97310,,2320.0,16401.0,576.0,not in BJS,/Users/alexesmerritt/Desktop/Prison Vaccinaiton Project/vac-states/OR.csv
39,2021-01-03,,OR,PRCF,,412.0,40.0,34.0,372.0,8.0,,,21.0,444.0,,,,,,,OR,"3600 13th Street, Baker City, Oregon 97814-1346",97814-1346,,2320.0,16401.0,576.0,not in BJS,/Users/alexesmerritt/Desktop/Prison Vaccinaiton Project/vac-states/OR.csv
40,2021-01-03,,OR,SCCI,,230.0,26.0,1.0,204.0,4.0,,,21.0,444.0,,,,,,,OR,"95200 Shutters Landing Lane, North Bend, OR  97459",97459,,2320.0,16401.0,576.0,not in BJS,/Users/alexesmerritt/Desktop/Prison Vaccinaiton Project/vac-states/OR.csv
41,2021-01-03,,OR,SCI,,325.0,12.0,1.0,313.0,8.0,,,21.0,444.0,,,,,,,OR,"4005 Aumsville Hwy SE, Salem, OR 97317",97317,,2320.0,16401.0,576.0,not in BJS,/Users/alexesmerritt/Desktop/Prison Vaccinaiton Project/vac-states/OR.csv
42,2021-01-03,,OR,SFFC,,51.0,0.0,0.0,51.0,0.0,,,21.0,444.0,,,,,,,OR,"48300 Wilson River Hwy, Tillamook, OR 97141-9799",97141-9799,,2320.0,16401.0,576.0,not in BJS,/Users/alexesmerritt/Desktop/Prison Vaccinaiton Project/vac-states/OR.csv
43,2021-01-03,,OR,SRCI,,1207.0,464.0,0.0,743.0,203.0,,,21.0,444.0,,,,,,,OR,"777 Stanton Blvd., Ontario, Oregon 97914-8335",97914-8335,,2320.0,16401.0,576.0,not in BJS,/Users/alexesmerritt/Desktop/Prison Vaccinaiton Project/vac-states/OR.csv
44,2021-01-03,,OR,TRCI,,2247.0,266.0,165.0,1981.0,57.0,,,21.0,444.0,,,,,,,OR,"82911 Beach Access Road, Umatilla, OR 97882",97882,,2320.0,16401.0,576.0,not in BJS,/Users/alexesmerritt/Desktop/Prison Vaccinaiton Project/vac-states/OR.csv
45,2021-01-03,,OR,WCCF,,259.0,0.0,0.0,259.0,5.0,,,21.0,444.0,,,,,,,OR,"20654 Rabbit Hill Road, Lakeview, OR 97630-5000",97630-5000,,2320.0,16401.0,576.0,not in BJS,/Users/alexesmerritt/Desktop/Prison Vaccinaiton Project/vac-states/OR.csv
46,2021-01-04,,OR,CCCF,,1935.0,21.0,10.0,1914.0,19.0,,,21.0,444.0,,,,,,,OR,"24499 SW Grahams Ferry Road, Wilsonville, Oregon 97070",97070,,2320.0,16401.0,576.0,not in BJS,/Users/alexesmerritt/Desktop/Prison Vaccinaiton Project/vac-states/OR.csv
47,2021-01-04,,OR,CCIC (Intake),,3694.0,56.0,29.0,3638.0,10.0,,,21.0,444.0,,,,,,,OR,"24499 SW Grahams Ferry Road, Wilsonville, Oregon 97070",97070,,2320.0,16401.0,576.0,not in BJS,/Users/alexesmerritt/Desktop/Prison Vaccinaiton Project/vac-states/OR.csv
48,2021-01-04,,OR,CRCI,,1337.0,213.0,151.0,1124.0,24.0,,,21.0,444.0,,,,,,,OR,"9111 NE Sunderland Avenue, Portland, OR 97211-1799",97211-1799,,2320.0,16401.0,576.0,not in BJS,/Users/alexesmerritt/Desktop/Prison Vaccinaiton Project/vac-states/OR.csv
49,2021-01-04,,OR,DRCI,,1659.0,246.0,77.0,1413.0,40.0,,,21.0,444.0,,,,,,,OR,"3920 East Ashwood Road, Madras, Oregon 97741",97741,,2320.0,16401.0,576.0,not in BJS,/Users/alexesmerritt/Desktop/Prison Vaccinaiton Project/vac-states/OR.csv
50,2021-01-04,,OR,EOCI,,958.0,452.0,1.0,506.0,73.0,,,21.0,444.0,,,,,,,OR,"2500 Westgate, Pendleton, Oregon 97801-9699",97801-9699,,2320.0,16401.0,576.0,not in BJS,/Users/alexesmerritt/Desktop/Prison Vaccinaiton Project/vac-states/OR.csv
51,2021-01-04,,OR,MCCF,,344.0,31.0,22.0,313.0,7.0,,,21.0,444.0,,,,,,,OR,"5465 Turner Road SE, Salem, Oregon 97317 ",97317,,2320.0,16401.0,576.0,not in BJS,/Users/alexesmerritt/Desktop/Prison Vaccinaiton Project/vac-states/OR.csv
52,2021-01-04,,OR,OSCI,,939.0,210.0,11.0,729.0,35.0,,,21.0,444.0,,,,,,,OR,"3405 Deer Park Drive SE, Salem, Oregon 97310-9385",97310-9385,,2320.0,16401.0,576.0,not in BJS,/Users/alexesmerritt/Desktop/Prison Vaccinaiton Project/vac-states/OR.csv
53,2021-01-04,,OR,OSP,,804.0,283.0,127.0,521.0,83.0,,,21.0,444.0,,,,,,,OR,"2605 State Street, Salem, OR  97310",97310,,2320.0,16401.0,576.0,not in BJS,/Users/alexesmerritt/Desktop/Prison Vaccinaiton Project/vac-states/OR.csv
54,2021-01-04,,OR,PRCF,,412.0,40.0,34.0,372.0,8.0,,,21.0,444.0,,,,,,,OR,"3600 13th Street, Baker City, Oregon 97814-1346",97814-1346,,2320.0,16401.0,576.0,not in BJS,/Users/alexesmerritt/Desktop/Prison Vaccinaiton Project/vac-states/OR.csv
55,2021-01-04,,OR,SCCI,,230.0,26.0,1.0,204.0,4.0,,,21.0,444.0,,,,,,,OR,"95200 Shutters Landing Lane, North Bend, OR  97459",97459,,2320.0,16401.0,576.0,not in BJS,/Users/alexesmerritt/Desktop/Prison Vaccinaiton Project/vac-states/OR.csv
56,2021-01-04,,OR,SCI,,325.0,12.0,1.0,313.0,8.0,,,21.0,444.0,,,,,,,OR,"4005 Aumsville Hwy SE, Salem, OR 97317",97317,,2320.0,16401.0,576.0,not in BJS,/Users/alexesmerritt/Desktop/Prison Vaccinaiton Project/vac-states/OR.csv
57,2021-01-04,,OR,SFFC,,51.0,0.0,0.0,51.0,0.0,,,21.0,444.0,,,,,,,OR,"48300 Wilson River Hwy, Tillamook, OR 97141-9799",97141-9799,,2320.0,16401.0,576.0,not in BJS,/Users/alexesmerritt/Desktop/Prison Vaccinaiton Project/vac-states/OR.csv
58,2021-01-04,,OR,SRCI,,1207.0,464.0,0.0,743.0,203.0,,,21.0,444.0,,,,,,,OR,"777 Stanton Blvd., Ontario, Oregon 97914-8335",97914-8335,,2320.0,16401.0,576.0,not in BJS,/Users/alexesmerritt/Desktop/Prison Vaccinaiton Project/vac-states/OR.csv
59,2021-01-04,,OR,TRCI,,2247.0,266.0,165.0,1981.0,57.0,,,21.0,444.0,,,,,,,OR,"82911 Beach Access Road, Umatilla, OR 97882",97882,,2320.0,16401.0,576.0,not in BJS,/Users/alexesmerritt/Desktop/Prison Vaccinaiton Project/vac-states/OR.csv
60,2021-01-04,,OR,WCCF,,259.0,0.0,0.0,259.0,5.0,,,21.0,444.0,,,,,,,OR,"20654 Rabbit Hill Road, Lakeview, OR 97630-5000",97630-5000,,2320.0,16401.0,576.0,not in BJS,/Users/alexesmerritt/Desktop/Prison Vaccinaiton Project/vac-states/OR.csv
61,2021-01-05,,OR,CCCF,,1942.0,28.0,23.0,1914.0,21.0,,,22.0,444.0,,,,,,,OR,"24499 SW Grahams Ferry Road, Wilsonville, Oregon 97070",97070,,2471.0,16552.0,603.0,not in BJS,/Users/alexesmerritt/Desktop/Prison Vaccinaiton Project/vac-states/OR.csv
62,2021-01-05,,OR,CCIC (Intake),,3703.0,65.0,32.0,3638.0,12.0,,,22.0,444.0,,,,,,,OR,"24499 SW Grahams Ferry Road, Wilsonville, Oregon 97070",97070,,2471.0,16552.0,603.0,not in BJS,/Users/alexesmerritt/Desktop/Prison Vaccinaiton Project/vac-states/OR.csv
63,2021-01-05,,OR,CRCI,,1337.0,213.0,150.0,1124.0,24.0,,,22.0,444.0,,,,,,,OR,"9111 NE Sunderland Avenue, Portland, OR 97211-1799",97211-1799,,2471.0,16552.0,603.0,not in BJS,/Users/alexesmerritt/Desktop/Prison Vaccinaiton Project/vac-states/OR.csv
64,2021-01-05,,OR,DRCI,,1672.0,259.0,55.0,1413.0,42.0,,,22.0,444.0,,,,,,,OR,"3920 East Ashwood Road, Madras, Oregon 97741",97741,,2471.0,16552.0,603.0,not in BJS,/Users/alexesmerritt/Desktop/Prison Vaccinaiton Project/vac-states/OR.csv
65,2021-01-05,,OR,EOCI,,959.0,453.0,2.0,506.0,73.0,,,22.0,444.0,,,,,,,OR,"2500 Westgate, Pendleton, Oregon 97801-9699",97801-9699,,2471.0,16552.0,603.0,not in BJS,/Users/alexesmerritt/Desktop/Prison Vaccinaiton Project/vac-states/OR.csv
66,2021-01-05,,OR,MCCF,,345.0,32.0,23.0,313.0,9.0,,,22.0,444.0,,,,,,,OR,"5465 Turner Road SE, Salem, Oregon 97317 ",97317,,2471.0,16552.0,603.0,not in BJS,/Users/alexesmerritt/Desktop/Prison Vaccinaiton Project/vac-states/OR.csv
67,2021-01-05,,OR,OSCI,,946.0,217.0,18.0,729.0,35.0,,,22.0,444.0,,,,,,,OR,"3405 Deer Park Drive SE, Salem, Oregon 97310-9385",97310-9385,,2471.0,16552.0,603.0,not in BJS,/Users/alexesmerritt/Desktop/Prison Vaccinaiton Project/vac-states/OR.csv
68,2021-01-05,,OR,OSP,,826.0,305.0,149.0,521.0,90.0,,,22.0,444.0,,,,,,,OR,"2605 State Street, Salem, OR  97310",97310,,2471.0,16552.0,603.0,not in BJS,/Users/alexesmerritt/Desktop/Prison Vaccinaiton Project/vac-states/OR.csv
69,2021-01-05,,OR,PRCF,,416.0,44.0,33.0,372.0,9.0,,,22.0,444.0,,,,,,,OR,"3600 13th Street, Baker City, Oregon 97814-1346",97814-1346,,2471.0,16552.0,603.0,not in BJS,/Users/alexesmerritt/Desktop/Prison Vaccinaiton Project/vac-states/OR.csv
70,2021-01-05,,OR,SCCI,,230.0,26.0,1.0,204.0,5.0,,,22.0,444.0,,,,,,,OR,"95200 Shutters Landing Lane, North Bend, OR  97459",97459,,2471.0,16552.0,603.0,not in BJS,/Users/alexesmerritt/Desktop/Prison Vaccinaiton Project/vac-states/OR.csv
71,2021-01-05,,OR,SCI,,330.0,17.0,6.0,313.0,8.0,,,22.0,444.0,,,,,,,OR,"4005 Aumsville Hwy SE, Salem, OR 97317",97317,,2471.0,16552.0,603.0,not in BJS,/Users/alexesmerritt/Desktop/Prison Vaccinaiton Project/vac-states/OR.csv
72,2021-01-05,,OR,SFFC,,51.0,0.0,0.0,51.0,0.0,,,22.0,444.0,,,,,,,OR,"48300 Wilson River Hwy, Tillamook, OR 97141-9799",97141-9799,,2471.0,16552.0,603.0,not in BJS,/Users/alexesmerritt/Desktop/Prison Vaccinaiton Project/vac-states/OR.csv
73,2021-01-05,,OR,SRCI,,1209.0,466.0,2.0,743.0,204.0,,,22.0,444.0,,,,,,,OR,"777 Stanton Blvd., Ontario, Oregon 97914-8335",97914-8335,,2471.0,16552.0,603.0,not in BJS,/Users/alexesmerritt/Desktop/Prison Vaccinaiton Project/vac-states/OR.csv
74,2021-01-05,,OR,TRCI,,2327.0,346.0,245.0,1981.0,66.0,,,22.0,444.0,,,,,,,OR,"82911 Beach Access Road, Umatilla, OR 97882",97882,,2471.0,16552.0,603.0,not in BJS,/Users/alexesmerritt/Desktop/Prison Vaccinaiton Project/vac-states/OR.csv
75,2021-01-05,,OR,WCCF,,259.0,0.0,0.0,259.0,5.0,,,22.0,444.0,,,,,,,OR,"20654 Rabbit Hill Road, Lakeview, OR 97630-5000",97630-5000,,2471.0,16552.0,603.0,not in BJS,/Users/alexesmerritt/Desktop/Prison Vaccinaiton Project/vac-states/OR.csv
76,2021-01-06,,OR,CCCF,,1942.0,28.0,23.0,1914.0,24.0,,,24.0,444.0,,,,,,,OR,"24499 SW Grahams Ferry Road, Wilsonville, Oregon 97070",97070,,2562.0,16643.0,634.0,not in BJS,/Users/alexesmerritt/Desktop/Prison Vaccinaiton Project/vac-states/OR.csv
77,2021-01-06,,OR,CCIC (Intake),,3703.0,65.0,20.0,3638.0,13.0,,,24.0,444.0,,,,,,,OR,"24499 SW Grahams Ferry Road, Wilsonville, Oregon 97070",97070,,2562.0,16643.0,634.0,not in BJS,/Users/alexesmerritt/Desktop/Prison Vaccinaiton Project/vac-states/OR.csv
78,2021-01-06,,OR,CRCI,,1349.0,225.0,41.0,1124.0,24.0,,,24.0,444.0,,,,,,,OR,"9111 NE Sunderland Avenue, Portland, OR 97211-1799",97211-1799,,2562.0,16643.0,634.0,not in BJS,/Users/alexesmerritt/Desktop/Prison Vaccinaiton Project/vac-states/OR.csv
79,2021-01-06,,OR,DRCI,,1672.0,259.0,40.0,1413.0,42.0,,,24.0,444.0,,,,,,,OR,"3920 East Ashwood Road, Madras, Oregon 97741",97741,,2562.0,16643.0,634.0,not in BJS,/Users/alexesmerritt/Desktop/Prison Vaccinaiton Project/vac-states/OR.csv
80,2021-01-06,,OR,EOCI,,961.0,455.0,4.0,506.0,73.0,,,24.0,444.0,,,,,,,OR,"2500 Westgate, Pendleton, Oregon 97801-9699",97801-9699,,2562.0,16643.0,634.0,not in BJS,/Users/alexesmerritt/Desktop/Prison Vaccinaiton Project/vac-states/OR.csv
81,2021-01-06,,OR,MCCF,,345.0,32.0,23.0,313.0,10.0,,,24.0,444.0,,,,,,,OR,"5465 Turner Road SE, Salem, Oregon 97317 ",97317,,2562.0,16643.0,634.0,not in BJS,/Users/alexesmerritt/Desktop/Prison Vaccinaiton Project/vac-states/OR.csv
82,2021-01-06,,OR,OSCI,,946.0,217.0,13.0,729.0,35.0,,,24.0,444.0,,,,,,,OR,"3405 Deer Park Drive SE, Salem, Oregon 97310-9385",97310-9385,,2562.0,16643.0,634.0,not in BJS,/Users/alexesmerritt/Desktop/Prison Vaccinaiton Project/vac-states/OR.csv
83,2021-01-06,,OR,OSP,,842.0,321.0,134.0,521.0,96.0,,,24.0,444.0,,,,,,,OR,"2605 State Street, Salem, OR  97310",97310,,2562.0,16643.0,634.0,not in BJS,/Users/alexesmerritt/Desktop/Prison Vaccinaiton Project/vac-states/OR.csv
84,2021-01-06,,OR,PRCF,,416.0,44.0,30.0,372.0,12.0,,,24.0,444.0,,,,,,,OR,"3600 13th Street, Baker City, Oregon 97814-1346",97814-1346,,2562.0,16643.0,634.0,not in BJS,/Users/alexesmerritt/Desktop/Prison Vaccinaiton Project/vac-states/OR.csv
85,2021-01-06,,OR,SCCI,,230.0,26.0,0.0,204.0,5.0,,,24.0,444.0,,,,,,,OR,"95200 Shutters Landing Lane, North Bend, OR  97459",97459,,2562.0,16643.0,634.0,not in BJS,/Users/alexesmerritt/Desktop/Prison Vaccinaiton Project/vac-states/OR.csv
86,2021-01-06,,OR,SCI,,330.0,17.0,6.0,313.0,9.0,,,24.0,444.0,,,,,,,OR,"4005 Aumsville Hwy SE, Salem, OR 97317",97317,,2562.0,16643.0,634.0,not in BJS,/Users/alexesmerritt/Desktop/Prison Vaccinaiton Project/vac-states/OR.csv
87,2021-01-06,,OR,SFFC,,51.0,0.0,0.0,51.0,0.0,,,24.0,444.0,,,,,,,OR,"48300 Wilson River Hwy, Tillamook, OR 97141-9799",97141-9799,,2562.0,16643.0,634.0,not in BJS,/Users/alexesmerritt/Desktop/Prison Vaccinaiton Project/vac-states/OR.csv
88,2021-01-06,,OR,SRCI,,1211.0,468.0,4.0,743.0,210.0,,,24.0,444.0,,,,,,,OR,"777 Stanton Blvd., Ontario, Oregon 97914-8335",97914-8335,,2562.0,16643.0,634.0,not in BJS,/Users/alexesmerritt/Desktop/Prison Vaccinaiton Project/vac-states/OR.csv
