Unnamed: 0,scrapedate,lastupdated,stateagency,facility,fac_inc_partiallyvaccinated,fac_inc_fullyvaccinated,sum_staff_vaccinations,sum_inc_tested,sum_inc_positive,sum_inc_positiveremand,sum_inc_positivegeneral,sum_inc_negative,sum_inc_pending,sum_inc_deaths,sum_staff_positive,sum_staff_deaths,fac_address,fac_state,match,oldnew,fac_inc_vaccinated,fac_inc_population,state
26,2021-01-26,1/22/2021,AK,,NR,NR,NR,19536.0,2285.0,223.0,2062.0,16641.0,120.0,5.0,NR,NR,,,,,,,/Users/alexesmerritt/Desktop/Prison Vaccinaiton Project/vac-states/AK.csv
27,2021-01-27,1/25/2021,AK,,NR,NR,NR,19858.0,2294.0,225.0,2069.0,16993.0,74.0,5.0,NR,NR,,,,,,,/Users/alexesmerritt/Desktop/Prison Vaccinaiton Project/vac-states/AK.csv
28,2021-01-28,1/25/2021,AK,,NR,NR,NR,19858.0,2294.0,225.0,2069.0,16993.0,74.0,5.0,NR,NR,,,,,,,/Users/alexesmerritt/Desktop/Prison Vaccinaiton Project/vac-states/AK.csv
29,2021-01-29,1/25/2021,AK,,NR,NR,NR,19858.0,2294.0,225.0,2069.0,16993.0,74.0,5.0,NR,NR,,,,,,,/Users/alexesmerritt/Desktop/Prison Vaccinaiton Project/vac-states/AK.csv
30,2021-01-30,1/28/2021,AK,,NR,NR,NR,20406.0,2298.0,225.0,2073.0,17479.0,118.0,5.0,NR,NR,,,,,,,/Users/alexesmerritt/Desktop/Prison Vaccinaiton Project/vac-states/AK.csv
31,2021-01-31,1/28/2021,AK,,NR,NR,NR,20406.0,2298.0,225.0,2073.0,17479.0,118.0,5.0,NR,NR,,,,,,,/Users/alexesmerritt/Desktop/Prison Vaccinaiton Project/vac-states/AK.csv
32,2021-02-01,1/28/2021,AK,,NR,NR,NR,20406.0,2298.0,225.0,2073.0,17479.0,118.0,5.0,NR,NR,,,,,,,/Users/alexesmerritt/Desktop/Prison Vaccinaiton Project/vac-states/AK.csv
33,2021-02-02,1/29/2021,AK,,NR,NR,NR,20562.0,2298.0,225.0,2073.0,17661.0,87.0,5.0,NR,NR,,,,,,,/Users/alexesmerritt/Desktop/Prison Vaccinaiton Project/vac-states/AK.csv
34,2021-02-03,1/29/2021,AK,,NR,NR,NR,20562.0,2298.0,225.0,2073.0,17661.0,87.0,5.0,NR,NR,,,,,,,/Users/alexesmerritt/Desktop/Prison Vaccinaiton Project/vac-states/AK.csv
35,2021-02-04,2/2/2021,AK,,NR,NR,NR,21236.0,2299.0,227.0,2072.0,18329.0,86.0,5.0,NR,NR,,,,,,,/Users/alexesmerritt/Desktop/Prison Vaccinaiton Project/vac-states/AK.csv
36,2021-02-05,2/2/2021,AK,,NR,NR,NR,21236.0,2299.0,227.0,2072.0,18329.0,86.0,5.0,NR,NR,,,,,,,/Users/alexesmerritt/Desktop/Prison Vaccinaiton Project/vac-states/AK.csv
37,2021-02-06,2/2/2021,AK,,NR,NR,NR,21236.0,2299.0,227.0,2072.0,18329.0,86.0,5.0,NR,NR,,,,,,,/Users/alexesmerritt/Desktop/Prison Vaccinaiton Project/vac-states/AK.csv
38,2021-02-07,2/2/2021,AK,,NR,NR,NR,21236.0,2299.0,227.0,2072.0,18329.0,86.0,5.0,NR,NR,,,,,,,/Users/alexesmerritt/Desktop/Prison Vaccinaiton Project/vac-states/AK.csv
39,2021-02-08,2/2/2021,AK,,NR,NR,NR,21236.0,2299.0,227.0,2072.0,18329.0,86.0,5.0,NR,NR,,,,,,,/Users/alexesmerritt/Desktop/Prison Vaccinaiton Project/vac-states/AK.csv
40,2021-02-09,2/5/2021,AK,,NR,NR,NR,21738.0,2298.0,227.0,2071.0,18759.0,157.0,5.0,NR,NR,,,,,,,/Users/alexesmerritt/Desktop/Prison Vaccinaiton Project/vac-states/AK.csv
41,2021-02-10,2/9/2021,AK,,NR,NR,NR,22222.0,2302.0,229.0,2073.0,19230.0,156.0,5.0,NR,NR,,,,,,,/Users/alexesmerritt/Desktop/Prison Vaccinaiton Project/vac-states/AK.csv
42,2021-02-11,2/9/2021,AK,,NR,NR,NR,22222.0,2302.0,229.0,2073.0,19230.0,156.0,5.0,NR,NR,,,,,,,/Users/alexesmerritt/Desktop/Prison Vaccinaiton Project/vac-states/AK.csv
43,2021-02-12,2/9/2021,AK,,NR,NR,NR,22222.0,2302.0,229.0,2073.0,19230.0,156.0,5.0,NR,NR,,,,,,,/Users/alexesmerritt/Desktop/Prison Vaccinaiton Project/vac-states/AK.csv
44,2021-02-13,2/9/2021,AK,,NR,NR,NR,22222.0,2302.0,229.0,2073.0,19230.0,156.0,5.0,NR,NR,,,,,,,/Users/alexesmerritt/Desktop/Prison Vaccinaiton Project/vac-states/AK.csv
45,2021-02-14,2/9/2021,AK,,NR,NR,NR,22222.0,2302.0,229.0,2073.0,19230.0,156.0,5.0,NR,NR,,,,,,,/Users/alexesmerritt/Desktop/Prison Vaccinaiton Project/vac-states/AK.csv
46,2021-02-15,2/11/2021,AK,,NR,NR,NR,22379.0,2305.0,230.0,2075.0,19475.0,62.0,5.0,NR,NR,,,,,,,/Users/alexesmerritt/Desktop/Prison Vaccinaiton Project/vac-states/AK.csv
47,2021-02-16,2/11/2021,AK,,NR,NR,NR,22379.0,2305.0,230.0,2075.0,19475.0,62.0,5.0,NR,NR,,,,,,,/Users/alexesmerritt/Desktop/Prison Vaccinaiton Project/vac-states/AK.csv
48,2021-02-17,2/12/2021,AK,,NR,NR,NR,22406.0,2306.0,230.0,2076.0,19513.0,50.0,5.0,NR,NR,,,,,,,/Users/alexesmerritt/Desktop/Prison Vaccinaiton Project/vac-states/AK.csv
49,2021-02-18,2/12/2021,AK,,NR,NR,NR,22406.0,2306.0,230.0,2076.0,19513.0,50.0,5.0,NR,NR,,,,,,,/Users/alexesmerritt/Desktop/Prison Vaccinaiton Project/vac-states/AK.csv
50,2021-02-19,2/12/2021,AK,,NR,NR,NR,22406.0,2306.0,230.0,2076.0,19513.0,50.0,5.0,NR,NR,,,,,,,/Users/alexesmerritt/Desktop/Prison Vaccinaiton Project/vac-states/AK.csv
51,2021-02-20,2/12/2021,AK,,NR,NR,NR,22406.0,2306.0,230.0,2076.0,19513.0,50.0,5.0,NR,NR,,,,,,,/Users/alexesmerritt/Desktop/Prison Vaccinaiton Project/vac-states/AK.csv
52,2021-02-21,2/12/2021,AK,,NR,NR,NR,22406.0,2306.0,230.0,2076.0,19513.0,50.0,5.0,NR,NR,,,,,,,/Users/alexesmerritt/Desktop/Prison Vaccinaiton Project/vac-states/AK.csv
53,2021-02-22,2/12/2021,AK,,NR,NR,NR,22406.0,2306.0,230.0,2076.0,19513.0,50.0,5.0,NR,NR,,,,,,,/Users/alexesmerritt/Desktop/Prison Vaccinaiton Project/vac-states/AK.csv
54,2021-02-23,2/22/2021,AK,,NR,NR,NR,23836.0,2316.0,232.0,2084.0,20830.0,141.0,5.0,NR,NR,,,,,,,/Users/alexesmerritt/Desktop/Prison Vaccinaiton Project/vac-states/AK.csv
55,2021-02-24,2/22/2021,AK,,NR,NR,NR,23836.0,2316.0,232.0,2084.0,20830.0,141.0,5.0,NR,NR,,,,,,,/Users/alexesmerritt/Desktop/Prison Vaccinaiton Project/vac-states/AK.csv
56,2021-02-25,2/23/2021,AK,,NR,NR,NR,24131.0,2318.0,233.0,2085.0,21161.0,97.0,5.0,NR,NR,,,,,,,/Users/alexesmerritt/Desktop/Prison Vaccinaiton Project/vac-states/AK.csv
57,2021-02-26,2/25/2021,AK,,NR,NR,NR,24511.0,2320.0,233.0,2087.0,21472.0,162.0,5.0,NR,NR,,,,,,,/Users/alexesmerritt/Desktop/Prison Vaccinaiton Project/vac-states/AK.csv
58,2021-02-27,2/25/2021,AK,,NR,NR,NR,24511.0,2320.0,233.0,2087.0,21472.0,162.0,5.0,NR,NR,,,,,,,/Users/alexesmerritt/Desktop/Prison Vaccinaiton Project/vac-states/AK.csv
59,2021-02-28,2/25/2021,AK,,NR,NR,NR,24511.0,2320.0,233.0,2087.0,21472.0,162.0,5.0,NR,NR,,,,,,,/Users/alexesmerritt/Desktop/Prison Vaccinaiton Project/vac-states/AK.csv
60,2021-03-01,2/25/2021,AK,,NR,NR,NR,24511.0,2320.0,233.0,2087.0,21472.0,162.0,5.0,NR,NR,,,,,,,/Users/alexesmerritt/Desktop/Prison Vaccinaiton Project/vac-states/AK.csv
61,2021-03-02,2/28/2021,AK,,NR,NR,NR,24605.0,2323.0,234.0,2089.0,21515.0,210.0,5.0,NR,NR,,,,,,,/Users/alexesmerritt/Desktop/Prison Vaccinaiton Project/vac-states/AK.csv
62,2021-03-03,3/1/2021,AK,,NR,NR,NR,24768.0,2324.0,233.0,2091.0,21615.0,270.0,5.0,NR,NR,,,,,,,/Users/alexesmerritt/Desktop/Prison Vaccinaiton Project/vac-states/AK.csv
63,2021-03-04,3/1/2021,AK,,NR,NR,NR,24768.0,2324.0,233.0,2091.0,21615.0,270.0,5.0,NR,NR,,,,,,,/Users/alexesmerritt/Desktop/Prison Vaccinaiton Project/vac-states/AK.csv
64,2021-03-05,3/3/2021,AK,,NR,NR,NR,24915.0,2227.0,135.0,2092.0,21696.0,332.0,5.0,NR,NR,,,,,,,/Users/alexesmerritt/Desktop/Prison Vaccinaiton Project/vac-states/AK.csv
65,2021-03-06,3/3/2021,AK,,NR,NR,NR,24915.0,2227.0,135.0,2092.0,21696.0,332.0,5.0,NR,NR,,,,,,,/Users/alexesmerritt/Desktop/Prison Vaccinaiton Project/vac-states/AK.csv
66,2021-03-07,3/4/2021,AK,ANCHORAGE CC,296,6,NR,,,,,,,,,,"1400 East 4th Avenue Anchorage, Alaska 99501",,,,,,/Users/alexesmerritt/Desktop/Prison Vaccinaiton Project/vac-states/AK.csv
67,2021-03-07,3/4/2021,AK,ANVIL MTN CC,0,0,NR,,,,,,,,,,"1810 Center Creek Rd. P.O. Box 730, Nome, Alaska 99762",,,,,,/Users/alexesmerritt/Desktop/Prison Vaccinaiton Project/vac-states/AK.csv
68,2021-03-07,3/4/2021,AK,FAIRBANKS CC,5,0,NR,,,,,,,,,,"1931 Eagan Avenue Fairbanks, Alaska 99701",,,,,,/Users/alexesmerritt/Desktop/Prison Vaccinaiton Project/vac-states/AK.csv
69,2021-03-07,3/4/2021,AK,GOOSE CREEK CC,720,19,NR,,,,,,,,,,"22301 West Alsop Road Wasilla, Alaska 99623",,,,,,/Users/alexesmerritt/Desktop/Prison Vaccinaiton Project/vac-states/AK.csv
70,2021-03-07,3/4/2021,AK,HILAND MTN CC,109,5,NR,,,,,,,,,,"9101 Hesterberg Road Eagle River, Alaska 99577",,,,,,/Users/alexesmerritt/Desktop/Prison Vaccinaiton Project/vac-states/AK.csv
71,2021-03-07,3/4/2021,AK,KETCHIKAN CC,0,0,NR,,,,,,,,,,"1201 Schoenbar Road Ketchikan, Alaska 99901-6270",,,,,,/Users/alexesmerritt/Desktop/Prison Vaccinaiton Project/vac-states/AK.csv
72,2021-03-07,3/4/2021,AK,LEMON CREEK CC,16,7,NR,,,,,,,,,,"2000 Lemon Creek Road Juneau, Alaska 99801",,,,,,/Users/alexesmerritt/Desktop/Prison Vaccinaiton Project/vac-states/AK.csv
73,2021-03-07,3/4/2021,AK,MATSU PRETRIAL,33,1,NR,,,,,,,,,,"339 East Dogwood Avenue Palmer, Alaska 99645",,,,,,/Users/alexesmerritt/Desktop/Prison Vaccinaiton Project/vac-states/AK.csv
74,2021-03-07,3/4/2021,AK,PT. MACKENZIE CF,44,0,NR,,,,,,,,,,"P.O. Box 877730 Wasilla, Alaska 99687",,,,,,/Users/alexesmerritt/Desktop/Prison Vaccinaiton Project/vac-states/AK.csv
75,2021-03-07,3/4/2021,AK,SPRING CREEK CC,59,56,NR,,,,,,,,,,"3600 Bette Cato Seward, Alaska 99664",,,,,,/Users/alexesmerritt/Desktop/Prison Vaccinaiton Project/vac-states/AK.csv
76,2021-03-07,3/4/2021,AK,WILDWOOD CC,18,0,NR,,,,,,,,,,"10 Chugach Avenue Kenai, Alaska 99611",,,,,,/Users/alexesmerritt/Desktop/Prison Vaccinaiton Project/vac-states/AK.csv
77,2021-03-07,3/4/2021,AK,YUKON-KUSKOKWIM CC,172,139,NR,,,,,,,,,,"1000 Chief Eddie Hoffman Highway P.O. Box 400 Bethel, Alaska 99559",,,,,,/Users/alexesmerritt/Desktop/Prison Vaccinaiton Project/vac-states/AK.csv
78,2021-03-07,3/4/2021,AK,,,,NR,25255.0,2327.0,236.0,2091.0,22048.0,319.0,5.0,NR,NR,,,,,,,/Users/alexesmerritt/Desktop/Prison Vaccinaiton Project/vac-states/AK.csv
79,2021-03-08,3/4/2021,AK,ANCHORAGE CC,296,6,NR,,,,,,,,,,"1400 East 4th Avenue Anchorage, Alaska 99501",,,,,,/Users/alexesmerritt/Desktop/Prison Vaccinaiton Project/vac-states/AK.csv
80,2021-03-08,3/4/2021,AK,ANVIL MTN CC,0,0,NR,,,,,,,,,,"1810 Center Creek Rd. P.O. Box 730, Nome, Alaska 99762",,,,,,/Users/alexesmerritt/Desktop/Prison Vaccinaiton Project/vac-states/AK.csv
81,2021-03-08,3/4/2021,AK,FAIRBANKS CC,5,0,NR,,,,,,,,,,"1931 Eagan Avenue Fairbanks, Alaska 99701",,,,,,/Users/alexesmerritt/Desktop/Prison Vaccinaiton Project/vac-states/AK.csv
82,2021-03-08,3/4/2021,AK,GOOSE CREEK CC,720,19,NR,,,,,,,,,,"22301 West Alsop Road Wasilla, Alaska 99623",,,,,,/Users/alexesmerritt/Desktop/Prison Vaccinaiton Project/vac-states/AK.csv
83,2021-03-08,3/4/2021,AK,HILAND MTN CC,109,5,NR,,,,,,,,,,"9101 Hesterberg Road Eagle River, Alaska 99577",,,,,,/Users/alexesmerritt/Desktop/Prison Vaccinaiton Project/vac-states/AK.csv
84,2021-03-08,3/4/2021,AK,KETCHIKAN CC,0,0,NR,,,,,,,,,,"1201 Schoenbar Road Ketchikan, Alaska 99901-6270",,,,,,/Users/alexesmerritt/Desktop/Prison Vaccinaiton Project/vac-states/AK.csv
85,2021-03-08,3/4/2021,AK,LEMON CREEK CC,16,7,NR,,,,,,,,,,"2000 Lemon Creek Road Juneau, Alaska 99801",,,,,,/Users/alexesmerritt/Desktop/Prison Vaccinaiton Project/vac-states/AK.csv
86,2021-03-08,3/4/2021,AK,MATSU PRETRIAL,33,1,NR,,,,,,,,,,"339 East Dogwood Avenue Palmer, Alaska 99645",,,,,,/Users/alexesmerritt/Desktop/Prison Vaccinaiton Project/vac-states/AK.csv
87,2021-03-08,3/4/2021,AK,PT. MACKENZIE CF,44,0,NR,,,,,,,,,,"P.O. Box 877730 Wasilla, Alaska 99687",,,,,,/Users/alexesmerritt/Desktop/Prison Vaccinaiton Project/vac-states/AK.csv
88,2021-03-08,3/4/2021,AK,SPRING CREEK CC,59,56,NR,,,,,,,,,,"3600 Bette Cato Seward, Alaska 99664",,,,,,/Users/alexesmerritt/Desktop/Prison Vaccinaiton Project/vac-states/AK.csv
89,2021-03-08,3/4/2021,AK,WILDWOOD CC,18,0,NR,,,,,,,,,,"10 Chugach Avenue Kenai, Alaska 99611",,,,,,/Users/alexesmerritt/Desktop/Prison Vaccinaiton Project/vac-states/AK.csv
90,2021-03-08,3/4/2021,AK,YUKON-KUSKOKWIM CC,172,139,NR,,,,,,,,,,"1000 Chief Eddie Hoffman Highway P.O. Box 400 Bethel, Alaska 99559",,,,,,/Users/alexesmerritt/Desktop/Prison Vaccinaiton Project/vac-states/AK.csv
91,2021-03-08,3/4/2021,AK,,,,NR,25255.0,2327.0,236.0,2091.0,22048.0,319.0,5.0,NR,NR,,,,,,,/Users/alexesmerritt/Desktop/Prison Vaccinaiton Project/vac-states/AK.csv
92,2021-03-09,3/4/2021,AK,ANCHORAGE CC,296,6,NR,,,,,,,,,,"1400 East 4th Avenue Anchorage, Alaska 99501",,,,,,/Users/alexesmerritt/Desktop/Prison Vaccinaiton Project/vac-states/AK.csv
93,2021-03-09,3/4/2021,AK,ANVIL MTN CC,0,0,NR,,,,,,,,,,"1810 Center Creek Rd. P.O. Box 730, Nome, Alaska 99762",,,,,,/Users/alexesmerritt/Desktop/Prison Vaccinaiton Project/vac-states/AK.csv
94,2021-03-09,3/4/2021,AK,FAIRBANKS CC,5,0,NR,,,,,,,,,,"1931 Eagan Avenue Fairbanks, Alaska 99701",,,,,,/Users/alexesmerritt/Desktop/Prison Vaccinaiton Project/vac-states/AK.csv
95,2021-03-09,3/4/2021,AK,GOOSE CREEK CC,720,19,NR,,,,,,,,,,"22301 West Alsop Road Wasilla, Alaska 99623",,,,,,/Users/alexesmerritt/Desktop/Prison Vaccinaiton Project/vac-states/AK.csv
96,2021-03-09,3/4/2021,AK,HILAND MTN CC,109,5,NR,,,,,,,,,,"9101 Hesterberg Road Eagle River, Alaska 99577",,,,,,/Users/alexesmerritt/Desktop/Prison Vaccinaiton Project/vac-states/AK.csv
97,2021-03-09,3/4/2021,AK,KETCHIKAN CC,0,0,NR,,,,,,,,,,"1201 Schoenbar Road Ketchikan, Alaska 99901-6270",,,,,,/Users/alexesmerritt/Desktop/Prison Vaccinaiton Project/vac-states/AK.csv
98,2021-03-09,3/4/2021,AK,LEMON CREEK CC,16,7,NR,,,,,,,,,,"2000 Lemon Creek Road Juneau, Alaska 99801",,,,,,/Users/alexesmerritt/Desktop/Prison Vaccinaiton Project/vac-states/AK.csv
99,2021-03-09,3/4/2021,AK,MATSU PRETRIAL,33,1,NR,,,,,,,,,,"339 East Dogwood Avenue Palmer, Alaska 99645",,,,,,/Users/alexesmerritt/Desktop/Prison Vaccinaiton Project/vac-states/AK.csv
100,2021-03-09,3/4/2021,AK,PT. MACKENZIE CF,44,0,NR,,,,,,,,,,"P.O. Box 877730 Wasilla, Alaska 99687",,,,,,/Users/alexesmerritt/Desktop/Prison Vaccinaiton Project/vac-states/AK.csv
101,2021-03-09,3/4/2021,AK,SPRING CREEK CC,59,56,NR,,,,,,,,,,"3600 Bette Cato Seward, Alaska 99664",,,,,,/Users/alexesmerritt/Desktop/Prison Vaccinaiton Project/vac-states/AK.csv
102,2021-03-09,3/4/2021,AK,WILDWOOD CC,18,0,NR,,,,,,,,,,"10 Chugach Avenue Kenai, Alaska 99611",,,,,,/Users/alexesmerritt/Desktop/Prison Vaccinaiton Project/vac-states/AK.csv
103,2021-03-09,3/4/2021,AK,YUKON-KUSKOKWIM CC,172,139,NR,,,,,,,,,,"1000 Chief Eddie Hoffman Highway P.O. Box 400 Bethel, Alaska 99559",,,,,,/Users/alexesmerritt/Desktop/Prison Vaccinaiton Project/vac-states/AK.csv
104,2021-03-09,3/4/2021,AK,TOTAL,1472,233,,25255.0,2327.0,236.0,2091.0,22048.0,319.0,5.0,,,,AK,not in BJS,new,,,/Users/alexesmerritt/Desktop/Prison Vaccinaiton Project/vac-states/AK.csv
105,2021-03-09,3/4/2021,AK,,,,NR,25255.0,2327.0,236.0,2091.0,22048.0,319.0,5.0,NR,NR,,,,,,,/Users/alexesmerritt/Desktop/Prison Vaccinaiton Project/vac-states/AK.csv
106,2021-03-10,3/8/2021,AK,ANCHORAGE CC,296,6,NR,,,,,,,,,,"1400 East 4th Avenue Anchorage, Alaska 99501",,,,,,/Users/alexesmerritt/Desktop/Prison Vaccinaiton Project/vac-states/AK.csv
107,2021-03-10,3/8/2021,AK,ANVIL MTN CC,0,0,NR,,,,,,,,,,"1810 Center Creek Rd. P.O. Box 730, Nome, Alaska 99762",,,,,,/Users/alexesmerritt/Desktop/Prison Vaccinaiton Project/vac-states/AK.csv
108,2021-03-10,3/8/2021,AK,FAIRBANKS CC,5,0,NR,,,,,,,,,,"1931 Eagan Avenue Fairbanks, Alaska 99701",,,,,,/Users/alexesmerritt/Desktop/Prison Vaccinaiton Project/vac-states/AK.csv
109,2021-03-10,3/8/2021,AK,GOOSE CREEK CC,720,19,NR,,,,,,,,,,"22301 West Alsop Road Wasilla, Alaska 99623",,,,,,/Users/alexesmerritt/Desktop/Prison Vaccinaiton Project/vac-states/AK.csv
110,2021-03-10,3/8/2021,AK,HILAND MTN CC,109,5,NR,,,,,,,,,,"9101 Hesterberg Road Eagle River, Alaska 99577",,,,,,/Users/alexesmerritt/Desktop/Prison Vaccinaiton Project/vac-states/AK.csv
111,2021-03-10,3/8/2021,AK,KETCHIKAN CC,0,0,NR,,,,,,,,,,"1201 Schoenbar Road Ketchikan, Alaska 99901-6270",,,,,,/Users/alexesmerritt/Desktop/Prison Vaccinaiton Project/vac-states/AK.csv
112,2021-03-10,3/8/2021,AK,LEMON CREEK CC,16,7,NR,,,,,,,,,,"2000 Lemon Creek Road Juneau, Alaska 99801",,,,,,/Users/alexesmerritt/Desktop/Prison Vaccinaiton Project/vac-states/AK.csv
113,2021-03-10,3/8/2021,AK,MATSU PRETRIAL,33,1,NR,,,,,,,,,,"339 East Dogwood Avenue Palmer, Alaska 99645",,,,,,/Users/alexesmerritt/Desktop/Prison Vaccinaiton Project/vac-states/AK.csv
114,2021-03-10,3/8/2021,AK,PT. MACKENZIE CF,44,0,NR,,,,,,,,,,"P.O. Box 877730 Wasilla, Alaska 99687",,,,,,/Users/alexesmerritt/Desktop/Prison Vaccinaiton Project/vac-states/AK.csv
115,2021-03-10,3/8/2021,AK,SPRING CREEK CC,59,56,NR,,,,,,,,,,"3600 Bette Cato Seward, Alaska 99664",,,,,,/Users/alexesmerritt/Desktop/Prison Vaccinaiton Project/vac-states/AK.csv
