Unnamed: 0,scrapedate,lastupdated,stateagency,facility,fac_inc_positivephase3,fac_inc_deathsphase3,fac_staff_positivephase3,fac_inc_positivephase2,fac_inc_deathsphase2,fac_staff_positivephase2,fac_inc_positivephase1,fac_inc_deathsphase1,fac_staff_positivephase1,fac_inc_tested,fac_inc_positive,fac_inc_deaths,fac_staff_positive,fac_staff_deaths,sum_inc_tested,sum_inc_positive,sum_inc_deaths,sum_inc_vaccinedoses,sum_staff_tested,sum_staff_positive,sum_staff_vaccinedoses,facility_bjs,fac_state,fac_address,fac_zip,match,bjs_fac_state,bjs_fac_id,bjs_fac_id2,bjs_fac_name,bjs_fac_address1,bjs_fac_address2,bjs_fac_city,bjs_fac_stateab,bjs_fac_zip1,bjs_fac_gender,bjs_fac_security,bjs_fac_securityother,bjs_fac_leave,bjs_fac_operator,bjs_fac_malepop,bjs_fac_femalepop,bjs_fac_linked,bjs_fac_linktxt,bjs_fac_changeuse,bjs_fac_changeclose,bjs_fac_changeclosemth,bjs_fac_changecloseyr,bjs_fac_notes,state
11,2021-01-01,12/31/2020,NJ,Southern State Correctional Facility,55,0,39,9.0,0.0,5,154.0,0.0,81,NR,218.0,0.0,125,NR,,3620.0,,,,,,,,"4295 N Delsea Dr, Delmont, NJ 08314",,,,,,,,,,,,,,,,,,,,,,,,,,/Users/alexesmerritt/Desktop/Prison Vaccinaiton Project/vac-states/NJ.csv
12,2021-01-01,12/31/2020,NJ,William H. Fauver Youth Correctional Facility,17,0,49,2.0,0.0,6,196.0,0.0,39,NR,215.0,0.0,94,NR,,3620.0,,,,,,,,"31 Petticoat Ln, Annandale, NJ 08801",,,,,,,,,,,,,,,,,,,,,,,,,,/Users/alexesmerritt/Desktop/Prison Vaccinaiton Project/vac-states/NJ.csv
13,2021-01-01,12/31/2020,NJ,Bo Robinson Assessment and Treatment,3,0,NR,2.0,0.0,NR,47.0,1.0,NR,NR,52.0,1.0,,NR,,3620.0,,,,,,,,"377 Enterprise Ave. Trenton,NJ 08638",,,,,,,,,,,,,,,,,,,,,,,,,,/Users/alexesmerritt/Desktop/Prison Vaccinaiton Project/vac-states/NJ.csv
14,2021-01-01,12/31/2020,NJ,Clinton House,0,0,NR,0.0,0.0,NR,0.0,0.0,NR,NR,0.0,0.0,,NR,,3620.0,,,,,,,,"21 North Clinton Avenue Trenton, New Jersey 08609",,,,,,,,,,,,,,,,,,,,,,,,,,/Users/alexesmerritt/Desktop/Prison Vaccinaiton Project/vac-states/NJ.csv
15,2021-01-01,12/31/2020,NJ,Columbus House,0,0,NR,0.0,0.0,NR,6.0,0.0,NR,NR,6.0,0.0,,NR,,3620.0,,,,,,,,"377 Enterprise Way, Trenton, New Jersey 08638",,,,,,,,,,,,,,,,,,,,,,,,,,/Users/alexesmerritt/Desktop/Prison Vaccinaiton Project/vac-states/NJ.csv
16,2021-01-01,12/31/2020,NJ,"CURA, Inc.",0,0,NR,1.0,0.0,NR,0.0,0.0,NR,NR,1.0,0.0,,NR,,3620.0,,,,,,,,53 Spruce Street Newark New Jersey 07101,,,,,,,,,,,,,,,,,,,,,,,,,,/Users/alexesmerritt/Desktop/Prison Vaccinaiton Project/vac-states/NJ.csv
17,2021-01-01,12/31/2020,NJ,Fenwick House,0,0,NR,0.0,0.0,NR,0.0,0.0,NR,NR,0.0,0.0,,NR,,3620.0,,,,,,,,"369-317 Market Street, Paterson, New Jersey 07501",,,,,,,,,,,,,,,,,,,,,,,,,,/Users/alexesmerritt/Desktop/Prison Vaccinaiton Project/vac-states/NJ.csv
18,2021-01-01,12/31/2020,NJ,Fletcher House,0,0,NR,0.0,0.0,NR,1.0,0.0,NR,NR,1.0,0.0,,NR,,3620.0,,,,,,,,"517-5219 Penn Street, Camden, New Jersey 08102",,,,,,,,,,,,,,,,,,,,,,,,,,/Users/alexesmerritt/Desktop/Prison Vaccinaiton Project/vac-states/NJ.csv
19,2021-01-01,12/31/2020,NJ,Garrett House,0,0,NR,1.0,0.0,NR,3.0,0.0,NR,NR,4.0,0.0,,NR,,3620.0,,,,,,,,"509 Cooper Street, Camden, New Jersey 08101",,,,,,,,,,,,,,,,,,,,,,,,,,/Users/alexesmerritt/Desktop/Prison Vaccinaiton Project/vac-states/NJ.csv
20,2021-01-01,12/31/2020,NJ,Hope Hall,0,0,NR,1.0,0.0,NR,12.0,0.0,NR,NR,13.0,0.0,,NR,,3620.0,,,,,,,,"676 Fairview St., Camden, New Jersey 08104",,,,,,,,,,,,,,,,,,,,,,,,,,/Users/alexesmerritt/Desktop/Prison Vaccinaiton Project/vac-states/NJ.csv
21,2021-01-01,12/31/2020,NJ,James A. Hemm House,0,0,NR,0.0,0.0,NR,1.0,0.0,NR,NR,1.0,0.0,,NR,,3620.0,,,,,,,,"743 Martin Luther King Boulevard, Newark, NJ 07103",,,,,,,,,,,,,,,,,,,,,,,,,,/Users/alexesmerritt/Desktop/Prison Vaccinaiton Project/vac-states/NJ.csv
22,2021-01-01,12/31/2020,NJ,Kintock Bridgeton 1,0,0,NR,0.0,0.0,NR,10.0,0.0,NR,NR,10.0,0.0,,NR,,3620.0,,,,,,,,"4 South Industrial Blvd., Bridgeton, New Jersey 08302",,,,,,,,,,,,,,,,,,,,,,,,,,/Users/alexesmerritt/Desktop/Prison Vaccinaiton Project/vac-states/NJ.csv
23,2021-01-01,12/31/2020,NJ,Kintock Bridgeton 2,1,0,NR,0.0,0.0,NR,14.0,0.0,NR,NR,15.0,0.0,,NR,,3620.0,,,,,,,,"3 West Industrial Boulevard, Bridgeton, New Jersey 08302",,,,,,,,,,,,,,,,,,,,,,,,,,/Users/alexesmerritt/Desktop/Prison Vaccinaiton Project/vac-states/NJ.csv
24,2021-01-01,12/31/2020,NJ,Kintock Newark,0,0,NR,0.0,0.0,NR,10.0,0.0,NR,NR,10.0,0.0,,NR,,3620.0,,,,,,,,"50 Fenwick Street, Newark, New Jersey 07114",,,,,,,,,,,,,,,,,,,,,,,,,,/Users/alexesmerritt/Desktop/Prison Vaccinaiton Project/vac-states/NJ.csv
25,2021-01-01,12/31/2020,NJ,The Harbor House,1,0,NR,3.0,0.0,NR,5.0,0.0,NR,NR,9.0,0.0,,NR,,3620.0,,,,,,,,"300 Frelinghuysen Avenue, Newark,  New Jersey",,,,,,,,,,,,,,,,,,,,,,,,,,/Users/alexesmerritt/Desktop/Prison Vaccinaiton Project/vac-states/NJ.csv
26,2021-01-01,12/31/2020,NJ,Tully House,1,0,NR,1.0,0.0,NR,6.0,0.0,NR,NR,8.0,0.0,,NR,,3620.0,,,,,,,,"28 Peerless Place, Newark, New Jersey 07114",,,,,,,,,,,,,,,,,,,,,,,,,,/Users/alexesmerritt/Desktop/Prison Vaccinaiton Project/vac-states/NJ.csv
27,2021-01-02,1/1/2021,NJ,Adult Diagnostic and Treatment Center,9,0,37,8.0,0.0,4,384.0,14.0,76,NR,401.0,14.0,117,NR,,3620.0,,,,,,,,8 PRODUCTION WAY,,,,,,,,,,,,,,,,,,,,,,,,,,/Users/alexesmerritt/Desktop/Prison Vaccinaiton Project/vac-states/NJ.csv
28,2021-01-02,1/1/2021,NJ,Bayside State Prison,38,0,53,5.0,0.0,4,80.0,0.0,7,NR,123.0,0.0,64,NR,,3620.0,,,,,,,,4293 Route 47,,,,,,,,,,,,,,,,,,,,,,,,,,/Users/alexesmerritt/Desktop/Prison Vaccinaiton Project/vac-states/NJ.csv
29,2021-01-02,1/1/2021,NJ,Central Reception and Assignment Facility,180,0,39,7.0,0.0,5,162.0,2.0,81,NR,349.0,2.0,125,NR,,3620.0,,,,,,,,"STUYVESANT AVENUE, PO Box 7450",,,,,,,,,,,,,,,,,,,,,,,,,,/Users/alexesmerritt/Desktop/Prison Vaccinaiton Project/vac-states/NJ.csv
30,2021-01-02,1/1/2021,NJ,East Jersey State Prison,15,0,44,7.0,0.0,3,168.0,8.0,104,NR,190.0,8.0,151,NR,,3620.0,,,,,,,,1100 Rahway Avenue,,,,,,,,,,,,,,,,,,,,,,,,,,/Users/alexesmerritt/Desktop/Prison Vaccinaiton Project/vac-states/NJ.csv
31,2021-01-02,1/1/2021,NJ,Edna Mahan Correctional Facility for Women,7,0,26,6.0,0.0,0,115.0,2.0,87,NR,128.0,2.0,113,NR,,3620.0,,,,,,,,"30 County Route 513 Clinton, New Jersey 08809",,,,,,,,,,,,,,,,,,,,,,,,,,/Users/alexesmerritt/Desktop/Prison Vaccinaiton Project/vac-states/NJ.csv
32,2021-01-02,1/1/2021,NJ,Garden State Youth Correctional Facility,33,0,58,12.0,0.0,8,389.0,1.0,42,NR,434.0,1.0,108,NR,,3620.0,,,,,,,,"55 Hogback Rd, Crosswicks, NJ 08515",,,,,,,,,,,,,,,,,,,,,,,,,,/Users/alexesmerritt/Desktop/Prison Vaccinaiton Project/vac-states/NJ.csv
33,2021-01-02,1/1/2021,NJ,Mid-State Correctional Facility,0,0,16,4.0,0.0,2,76.0,1.0,76,NR,80.0,1.0,94,NR,,3620.0,,,,,,,,"Range Road Wrightstown, NJ, 08562",,,,,,,,,,,,,,,,,,,,,,,,,,/Users/alexesmerritt/Desktop/Prison Vaccinaiton Project/vac-states/NJ.csv
34,2021-01-02,1/1/2021,NJ,New Jersey State Prison,37,0,84,9.0,0.0,3,151.0,6.0,93,NR,197.0,6.0,180,NR,,3620.0,,,,,,,,"THIRD & FEDERAL STREETS, PO Box 861",,,,,,,,,,,,,,,,,,,,,,,,,,/Users/alexesmerritt/Desktop/Prison Vaccinaiton Project/vac-states/NJ.csv
35,2021-01-02,1/1/2021,NJ,Northern State Prison,48,0,71,16.0,0.0,11,210.0,10.0,154,NR,274.0,10.0,236,NR,,3620.0,,,,,,,,168 FRONTAGE ROAD,,,,,,,,,,,,,,,,,,,,,,,,,,/Users/alexesmerritt/Desktop/Prison Vaccinaiton Project/vac-states/NJ.csv
36,2021-01-02,1/1/2021,NJ,South Woods State Prison,166,0,107,23.0,0.0,13,692.0,7.0,46,NR,881.0,7.0,166,NR,,3620.0,,,,,,,,215 S BURLINGTON ROAD,,,,,,,,,,,,,,,,,,,,,,,,,,/Users/alexesmerritt/Desktop/Prison Vaccinaiton Project/vac-states/NJ.csv
37,2021-01-02,1/1/2021,NJ,Southern State Correctional Facility,55,0,39,9.0,0.0,5,154.0,0.0,81,NR,218.0,0.0,125,NR,,3620.0,,,,,,,,"4295 N Delsea Dr, Delmont, NJ 08314",,,,,,,,,,,,,,,,,,,,,,,,,,/Users/alexesmerritt/Desktop/Prison Vaccinaiton Project/vac-states/NJ.csv
38,2021-01-02,1/1/2021,NJ,William H. Fauver Youth Correctional Facility,17,0,49,2.0,0.0,6,196.0,0.0,39,NR,215.0,0.0,94,NR,,3620.0,,,,,,,,"31 Petticoat Ln, Annandale, NJ 08801",,,,,,,,,,,,,,,,,,,,,,,,,,/Users/alexesmerritt/Desktop/Prison Vaccinaiton Project/vac-states/NJ.csv
39,2021-01-02,1/1/2021,NJ,Bo Robinson Assessment and Treatment,3,0,NR,2.0,0.0,NR,47.0,1.0,NR,NR,52.0,1.0,,NR,,3620.0,,,,,,,,"377 Enterprise Ave. Trenton,NJ 08638",,,,,,,,,,,,,,,,,,,,,,,,,,/Users/alexesmerritt/Desktop/Prison Vaccinaiton Project/vac-states/NJ.csv
40,2021-01-02,1/1/2021,NJ,Clinton House,0,0,NR,0.0,0.0,NR,0.0,0.0,NR,NR,0.0,0.0,,NR,,3620.0,,,,,,,,"21 North Clinton Avenue Trenton, New Jersey 08609",,,,,,,,,,,,,,,,,,,,,,,,,,/Users/alexesmerritt/Desktop/Prison Vaccinaiton Project/vac-states/NJ.csv
41,2021-01-02,1/1/2021,NJ,Columbus House,0,0,NR,0.0,0.0,NR,6.0,0.0,NR,NR,6.0,0.0,,NR,,3620.0,,,,,,,,"377 Enterprise Way, Trenton, New Jersey 08638",,,,,,,,,,,,,,,,,,,,,,,,,,/Users/alexesmerritt/Desktop/Prison Vaccinaiton Project/vac-states/NJ.csv
42,2021-01-02,1/1/2021,NJ,"CURA, Inc.",0,0,NR,1.0,0.0,NR,0.0,0.0,NR,NR,1.0,0.0,,NR,,3620.0,,,,,,,,53 Spruce Street Newark New Jersey 07101,,,,,,,,,,,,,,,,,,,,,,,,,,/Users/alexesmerritt/Desktop/Prison Vaccinaiton Project/vac-states/NJ.csv
43,2021-01-02,1/1/2021,NJ,Fenwick House,0,0,NR,0.0,0.0,NR,0.0,0.0,NR,NR,0.0,0.0,,NR,,3620.0,,,,,,,,"369-317 Market Street, Paterson, New Jersey 07501",,,,,,,,,,,,,,,,,,,,,,,,,,/Users/alexesmerritt/Desktop/Prison Vaccinaiton Project/vac-states/NJ.csv
44,2021-01-02,1/1/2021,NJ,Fletcher House,0,0,NR,0.0,0.0,NR,1.0,0.0,NR,NR,1.0,0.0,,NR,,3620.0,,,,,,,,"517-5219 Penn Street, Camden, New Jersey 08102",,,,,,,,,,,,,,,,,,,,,,,,,,/Users/alexesmerritt/Desktop/Prison Vaccinaiton Project/vac-states/NJ.csv
45,2021-01-02,1/1/2021,NJ,Garrett House,0,0,NR,1.0,0.0,NR,3.0,0.0,NR,NR,4.0,0.0,,NR,,3620.0,,,,,,,,"509 Cooper Street, Camden, New Jersey 08101",,,,,,,,,,,,,,,,,,,,,,,,,,/Users/alexesmerritt/Desktop/Prison Vaccinaiton Project/vac-states/NJ.csv
46,2021-01-02,1/1/2021,NJ,Hope Hall,0,0,NR,1.0,0.0,NR,12.0,0.0,NR,NR,13.0,0.0,,NR,,3620.0,,,,,,,,"676 Fairview St., Camden, New Jersey 08104",,,,,,,,,,,,,,,,,,,,,,,,,,/Users/alexesmerritt/Desktop/Prison Vaccinaiton Project/vac-states/NJ.csv
47,2021-01-02,1/1/2021,NJ,James A. Hemm House,0,0,NR,0.0,0.0,NR,1.0,0.0,NR,NR,1.0,0.0,,NR,,3620.0,,,,,,,,"743 Martin Luther King Boulevard, Newark, NJ 07103",,,,,,,,,,,,,,,,,,,,,,,,,,/Users/alexesmerritt/Desktop/Prison Vaccinaiton Project/vac-states/NJ.csv
48,2021-01-02,1/1/2021,NJ,Kintock Bridgeton 1,0,0,NR,0.0,0.0,NR,10.0,0.0,NR,NR,10.0,0.0,,NR,,3620.0,,,,,,,,"4 South Industrial Blvd., Bridgeton, New Jersey 08302",,,,,,,,,,,,,,,,,,,,,,,,,,/Users/alexesmerritt/Desktop/Prison Vaccinaiton Project/vac-states/NJ.csv
49,2021-01-02,1/1/2021,NJ,Kintock Bridgeton 2,1,0,NR,0.0,0.0,NR,14.0,0.0,NR,NR,15.0,0.0,,NR,,3620.0,,,,,,,,"3 West Industrial Boulevard, Bridgeton, New Jersey 08302",,,,,,,,,,,,,,,,,,,,,,,,,,/Users/alexesmerritt/Desktop/Prison Vaccinaiton Project/vac-states/NJ.csv
50,2021-01-02,1/1/2021,NJ,Kintock Newark,0,0,NR,0.0,0.0,NR,10.0,0.0,NR,NR,10.0,0.0,,NR,,3620.0,,,,,,,,"50 Fenwick Street, Newark, New Jersey 07114",,,,,,,,,,,,,,,,,,,,,,,,,,/Users/alexesmerritt/Desktop/Prison Vaccinaiton Project/vac-states/NJ.csv
51,2021-01-02,1/1/2021,NJ,The Harbor House,1,0,NR,3.0,0.0,NR,5.0,0.0,NR,NR,9.0,0.0,,NR,,3620.0,,,,,,,,"300 Frelinghuysen Avenue, Newark,  New Jersey",,,,,,,,,,,,,,,,,,,,,,,,,,/Users/alexesmerritt/Desktop/Prison Vaccinaiton Project/vac-states/NJ.csv
52,2021-01-02,1/1/2021,NJ,Tully House,1,0,NR,1.0,0.0,NR,6.0,0.0,NR,NR,8.0,0.0,,NR,,3620.0,,,,,,,,"28 Peerless Place, Newark, New Jersey 07114",,,,,,,,,,,,,,,,,,,,,,,,,,/Users/alexesmerritt/Desktop/Prison Vaccinaiton Project/vac-states/NJ.csv
53,2021-01-03,1/2/2021,NJ,Adult Diagnostic and Treatment Center,9,0,37,8.0,0.0,4,384.0,14.0,76,NR,401.0,14.0,117,NR,,3620.0,,,,,,,,8 PRODUCTION WAY,,,,,,,,,,,,,,,,,,,,,,,,,,/Users/alexesmerritt/Desktop/Prison Vaccinaiton Project/vac-states/NJ.csv
54,2021-01-03,1/2/2021,NJ,Bayside State Prison,38,0,53,5.0,0.0,4,80.0,0.0,7,NR,123.0,0.0,64,NR,,3620.0,,,,,,,,4293 Route 47,,,,,,,,,,,,,,,,,,,,,,,,,,/Users/alexesmerritt/Desktop/Prison Vaccinaiton Project/vac-states/NJ.csv
55,2021-01-03,1/2/2021,NJ,Central Reception and Assignment Facility,180,0,39,7.0,0.0,5,162.0,2.0,81,NR,349.0,2.0,125,NR,,3620.0,,,,,,,,"STUYVESANT AVENUE, PO Box 7450",,,,,,,,,,,,,,,,,,,,,,,,,,/Users/alexesmerritt/Desktop/Prison Vaccinaiton Project/vac-states/NJ.csv
56,2021-01-03,1/2/2021,NJ,East Jersey State Prison,15,0,44,7.0,0.0,3,168.0,8.0,104,NR,190.0,8.0,151,NR,,3620.0,,,,,,,,1100 Rahway Avenue,,,,,,,,,,,,,,,,,,,,,,,,,,/Users/alexesmerritt/Desktop/Prison Vaccinaiton Project/vac-states/NJ.csv
57,2021-01-03,1/2/2021,NJ,Edna Mahan Correctional Facility for Women,7,0,26,6.0,0.0,0,115.0,2.0,87,NR,128.0,2.0,113,NR,,3620.0,,,,,,,,"30 County Route 513 Clinton, New Jersey 08809",,,,,,,,,,,,,,,,,,,,,,,,,,/Users/alexesmerritt/Desktop/Prison Vaccinaiton Project/vac-states/NJ.csv
58,2021-01-03,1/2/2021,NJ,Garden State Youth Correctional Facility,33,0,58,12.0,0.0,8,389.0,1.0,42,NR,434.0,1.0,108,NR,,3620.0,,,,,,,,"55 Hogback Rd, Crosswicks, NJ 08515",,,,,,,,,,,,,,,,,,,,,,,,,,/Users/alexesmerritt/Desktop/Prison Vaccinaiton Project/vac-states/NJ.csv
59,2021-01-03,1/2/2021,NJ,Mid-State Correctional Facility,0,0,16,4.0,0.0,2,76.0,1.0,76,NR,80.0,1.0,94,NR,,3620.0,,,,,,,,"Range Road Wrightstown, NJ, 08562",,,,,,,,,,,,,,,,,,,,,,,,,,/Users/alexesmerritt/Desktop/Prison Vaccinaiton Project/vac-states/NJ.csv
60,2021-01-03,1/2/2021,NJ,New Jersey State Prison,37,0,84,9.0,0.0,3,151.0,6.0,93,NR,197.0,6.0,180,NR,,3620.0,,,,,,,,"THIRD & FEDERAL STREETS, PO Box 861",,,,,,,,,,,,,,,,,,,,,,,,,,/Users/alexesmerritt/Desktop/Prison Vaccinaiton Project/vac-states/NJ.csv
61,2021-01-03,1/2/2021,NJ,Northern State Prison,48,0,71,16.0,0.0,11,210.0,10.0,154,NR,274.0,10.0,236,NR,,3620.0,,,,,,,,168 FRONTAGE ROAD,,,,,,,,,,,,,,,,,,,,,,,,,,/Users/alexesmerritt/Desktop/Prison Vaccinaiton Project/vac-states/NJ.csv
62,2021-01-03,1/2/2021,NJ,South Woods State Prison,166,0,107,23.0,0.0,13,692.0,7.0,46,NR,881.0,7.0,166,NR,,3620.0,,,,,,,,215 S BURLINGTON ROAD,,,,,,,,,,,,,,,,,,,,,,,,,,/Users/alexesmerritt/Desktop/Prison Vaccinaiton Project/vac-states/NJ.csv
63,2021-01-03,1/2/2021,NJ,Southern State Correctional Facility,55,0,39,9.0,0.0,5,154.0,0.0,81,NR,218.0,0.0,125,NR,,3620.0,,,,,,,,"4295 N Delsea Dr, Delmont, NJ 08314",,,,,,,,,,,,,,,,,,,,,,,,,,/Users/alexesmerritt/Desktop/Prison Vaccinaiton Project/vac-states/NJ.csv
64,2021-01-03,1/2/2021,NJ,William H. Fauver Youth Correctional Facility,17,0,49,2.0,0.0,6,196.0,0.0,39,NR,215.0,0.0,94,NR,,3620.0,,,,,,,,"31 Petticoat Ln, Annandale, NJ 08801",,,,,,,,,,,,,,,,,,,,,,,,,,/Users/alexesmerritt/Desktop/Prison Vaccinaiton Project/vac-states/NJ.csv
65,2021-01-03,1/2/2021,NJ,Bo Robinson Assessment and Treatment,3,0,NR,2.0,0.0,NR,47.0,1.0,NR,NR,52.0,1.0,,NR,,3620.0,,,,,,,,"377 Enterprise Ave. Trenton,NJ 08638",,,,,,,,,,,,,,,,,,,,,,,,,,/Users/alexesmerritt/Desktop/Prison Vaccinaiton Project/vac-states/NJ.csv
66,2021-01-03,1/2/2021,NJ,Clinton House,0,0,NR,0.0,0.0,NR,0.0,0.0,NR,NR,0.0,0.0,,NR,,3620.0,,,,,,,,"21 North Clinton Avenue Trenton, New Jersey 08609",,,,,,,,,,,,,,,,,,,,,,,,,,/Users/alexesmerritt/Desktop/Prison Vaccinaiton Project/vac-states/NJ.csv
67,2021-01-03,1/2/2021,NJ,Columbus House,0,0,NR,0.0,0.0,NR,6.0,0.0,NR,NR,6.0,0.0,,NR,,3620.0,,,,,,,,"377 Enterprise Way, Trenton, New Jersey 08638",,,,,,,,,,,,,,,,,,,,,,,,,,/Users/alexesmerritt/Desktop/Prison Vaccinaiton Project/vac-states/NJ.csv
68,2021-01-03,1/2/2021,NJ,"CURA, Inc.",0,0,NR,1.0,0.0,NR,0.0,0.0,NR,NR,1.0,0.0,,NR,,3620.0,,,,,,,,53 Spruce Street Newark New Jersey 07101,,,,,,,,,,,,,,,,,,,,,,,,,,/Users/alexesmerritt/Desktop/Prison Vaccinaiton Project/vac-states/NJ.csv
69,2021-01-03,1/2/2021,NJ,Fenwick House,0,0,NR,0.0,0.0,NR,0.0,0.0,NR,NR,0.0,0.0,,NR,,3620.0,,,,,,,,"369-317 Market Street, Paterson, New Jersey 07501",,,,,,,,,,,,,,,,,,,,,,,,,,/Users/alexesmerritt/Desktop/Prison Vaccinaiton Project/vac-states/NJ.csv
70,2021-01-03,1/2/2021,NJ,Fletcher House,0,0,NR,0.0,0.0,NR,1.0,0.0,NR,NR,1.0,0.0,,NR,,3620.0,,,,,,,,"517-5219 Penn Street, Camden, New Jersey 08102",,,,,,,,,,,,,,,,,,,,,,,,,,/Users/alexesmerritt/Desktop/Prison Vaccinaiton Project/vac-states/NJ.csv
71,2021-01-03,1/2/2021,NJ,Garrett House,0,0,NR,1.0,0.0,NR,3.0,0.0,NR,NR,4.0,0.0,,NR,,3620.0,,,,,,,,"509 Cooper Street, Camden, New Jersey 08101",,,,,,,,,,,,,,,,,,,,,,,,,,/Users/alexesmerritt/Desktop/Prison Vaccinaiton Project/vac-states/NJ.csv
72,2021-01-03,1/2/2021,NJ,Hope Hall,0,0,NR,1.0,0.0,NR,12.0,0.0,NR,NR,13.0,0.0,,NR,,3620.0,,,,,,,,"676 Fairview St., Camden, New Jersey 08104",,,,,,,,,,,,,,,,,,,,,,,,,,/Users/alexesmerritt/Desktop/Prison Vaccinaiton Project/vac-states/NJ.csv
73,2021-01-03,1/2/2021,NJ,James A. Hemm House,0,0,NR,0.0,0.0,NR,1.0,0.0,NR,NR,1.0,0.0,,NR,,3620.0,,,,,,,,"743 Martin Luther King Boulevard, Newark, NJ 07103",,,,,,,,,,,,,,,,,,,,,,,,,,/Users/alexesmerritt/Desktop/Prison Vaccinaiton Project/vac-states/NJ.csv
