Unnamed: 0,scrapedate,lastupdated,stateagency,facility,fac_staff_active,fac_staff_recovered,fac_inc_active,fac_inc_recovered,fac_staff_positive,fac_inc_positive,sum_inc_tested,sum_inc_deaths,sum_staff_deaths,sum_total_testsconducted,sum_inc_vaccinated,sum_staff_vaccinated,facility_bjs,fac_state,fac_address,fac_zip,sum_inc_recovered,sum_inc_active,sum_inc_positive,sum_staff_recovered,sum_staff_active,sum_staff_posnonprison,sum_staff_positive,match,bjs_fac_state,bjs_fac_id,bjs_fac_name,bjs_fac_address1,bjs_fac_address2,bjs_fac_city,bjs_fac_stateab,bjs_fac_zip1,bjs_fac_gender,bjs_fac_security,bjs_fac_securityother,bjs_fac_leave,bjs_fac_operator,bjs_fac_malepop,bjs_fac_femalepop,bjs_fac_linked,bjs_fac_changeuse,bjs_fac_changeclose,oldnew,sum_inc_vaccinatedpercent,state
11,2021-01-01,,MO,Missouri Eastern CC (MECC Pacific),2.0,57.0,0.0,190.0,59.0,190.0,,,,,,,,,"18701 US Highway 66 Pacific, MO 63069",,,,5144.0,,,,,,,,,,,,,,,,,,,,,,,,,,/Users/alexesmerritt/Desktop/Prison Vaccinaiton Project/vac-states/MO.csv
12,2021-01-01,,MO,Maryville TC (MTC),2.0,45.0,0.0,50.0,47.0,50.0,,,,,,,,,"30227 US Highway 136 Maryville, MO 64468",,,,5144.0,,,,,,,,,,,,,,,,,,,,,,,,,,/Users/alexesmerritt/Desktop/Prison Vaccinaiton Project/vac-states/MO.csv
13,2021-01-01,,MO,NECC Bowling Green,7.0,128.0,2.0,99.0,135.0,101.0,,,,,,,,,"13698 Airport Road Bowling Green, MO 63334",,,,5144.0,,,,,,,,,,,,,,,,,,,,,,,,,,/Users/alexesmerritt/Desktop/Prison Vaccinaiton Project/vac-states/MO.csv
14,2021-01-01,,MO,Ozark CC (OCC Fordland),3.0,39.0,1.0,154.0,42.0,155.0,,,,,,,,,"929 Honor Camp Lane Fordland, MO 65652",,,,5144.0,,,,,,,,,,,,,,,,,,,,,,,,,,/Users/alexesmerritt/Desktop/Prison Vaccinaiton Project/vac-states/MO.csv
15,2021-01-01,,MO,PCC Potosi,1.0,124.0,1.0,141.0,125.0,142.0,,,,,,,,,"11593 State Highway O Mineral Point, MO 63660",,,,5144.0,,,,,,,,,,,,,,,,,,,,,,,,,,/Users/alexesmerritt/Desktop/Prison Vaccinaiton Project/vac-states/MO.csv
16,2021-01-01,,MO,SCCC Licking),8.0,68.0,4.0,125.0,76.0,129.0,,,,,,,,,"255 West Highway 32 Licking, MO 65542",,,,5144.0,,,,,,,,,,,,,,,,,,,,,,,,,,/Users/alexesmerritt/Desktop/Prison Vaccinaiton Project/vac-states/MO.csv
17,2021-01-01,,MO,Southeast CC (SECC Charleston),1.0,123.0,5.0,264.0,124.0,269.0,,,,,,,,,"300 East Pedro Simmons Drive Charleston, MO 63834",,,,5144.0,,,,,,,,,,,,,,,,,,,,,,,,,,/Users/alexesmerritt/Desktop/Prison Vaccinaiton Project/vac-states/MO.csv
18,2021-01-01,,MO,TCC Tipton,4.0,59.0,3.0,160.0,63.0,163.0,,,,,,,,,"619 North Osage Avenue Tipton, MO 65081",,,,5144.0,,,,,,,,,,,,,,,,,,,,,,,,,,/Users/alexesmerritt/Desktop/Prison Vaccinaiton Project/vac-states/MO.csv
19,2021-01-01,,MO,Women's Eastern RDCC (WERDCC Vandalia),9.0,62.0,21.0,502.0,71.0,523.0,,,,,,,,,"1101 East Highway 54 Vandalia, MO 63382",,,,5144.0,,,,,,,,,,,,,,,,,,,,,,,,,,/Users/alexesmerritt/Desktop/Prison Vaccinaiton Project/vac-states/MO.csv
20,2021-01-01,,MO,Western MO CC (WMCC Cameron),0.0,148.0,3.0,208.0,148.0,211.0,,,,,,,,,"609 East Pence Road Cameron, MO 64429",,,,5144.0,,,,,,,,,,,,,,,,,,,,,,,,,,/Users/alexesmerritt/Desktop/Prison Vaccinaiton Project/vac-states/MO.csv
21,2021-01-01,,MO,Western RDCC (WRDCC St. Joseph),4.0,134.0,18.0,322.0,138.0,340.0,,,,,,,,,"3401 Faraon St Joseph, MO 64506",,,,5144.0,,,,,,,,,,,,,,,,,,,,,,,,,,/Users/alexesmerritt/Desktop/Prison Vaccinaiton Project/vac-states/MO.csv
22,2021-01-01,,MO,,,,,,,,,40.0,5.0,,NR,NR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,/Users/alexesmerritt/Desktop/Prison Vaccinaiton Project/vac-states/MO.csv
23,2021-01-02,,MO,ACC Jefferson City,3.0,57.0,1.0,138.0,60.0,139.0,,,,,,,,,8501 No More Victims Road,,,,5144.0,,,,,,,,,,,,,,,,,,,,,,,,,,/Users/alexesmerritt/Desktop/Prison Vaccinaiton Project/vac-states/MO.csv
24,2021-01-02,,MO,BCC Boonville,3.0,78.0,0.0,149.0,81.0,149.0,,,,,,,,,"1216 East Morgan Street Boonville, MO 65233",,,,5144.0,,,,,,,,,,,,,,,,,,,,,,,,,,/Users/alexesmerritt/Desktop/Prison Vaccinaiton Project/vac-states/MO.csv
25,2021-01-02,,MO,CCC Chillicothe,4.0,93.0,1.0,293.0,97.0,294.0,,,,,,,,,3151 Litton Road,,,,5144.0,,,,,,,,,,,,,,,,,,,,,,,,,,/Users/alexesmerritt/Desktop/Prison Vaccinaiton Project/vac-states/MO.csv
26,2021-01-02,,MO,CTCC Fulton,1.0,11.0,1.0,23.0,12.0,24.0,,,,,,,,,"689 State Road O, P. O. Box 70",,,,5144.0,,,,,,,,,,,,,,,,,,,,,,,,,,/Users/alexesmerritt/Desktop/Prison Vaccinaiton Project/vac-states/MO.csv
27,2021-01-02,,MO,Eastern RDCC (ERDCC),9.0,168.0,52.0,469.0,177.0,521.0,,,,,,,,,2727 HIGHWAY K,,,,5144.0,,,,,,,,,,,,,,,,,,,,,,,,,,/Users/alexesmerritt/Desktop/Prison Vaccinaiton Project/vac-states/MO.csv
28,2021-01-02,,MO,Farmington CC (FCC),9.0,184.0,2.0,532.0,193.0,534.0,,,,,,,,,12393 Highway O,,,,5144.0,,,,,,,,,,,,,,,,,,,,,,,,,,/Users/alexesmerritt/Desktop/Prison Vaccinaiton Project/vac-states/MO.csv
29,2021-01-02,,MO,FRDC Fulton,3.0,82.0,47.0,574.0,85.0,621.0,,,,,,,,,1012 WEST COLUMBIA STREET,,,,5144.0,,,,,,,,,,,,,,,,,,,,,,,,,,/Users/alexesmerritt/Desktop/Prison Vaccinaiton Project/vac-states/MO.csv
30,2021-01-02,,MO,JCCC Jefferson City,3.0,131.0,2.0,344.0,134.0,346.0,,,,,,,,,8200 NO MORE VICTIMS ROAD,,,,5144.0,,,,,,,,,,,,,,,,,,,,,,,,,,/Users/alexesmerritt/Desktop/Prison Vaccinaiton Project/vac-states/MO.csv
31,2021-01-02,,MO,Kansas City Reentry Center (KCRC),2.0,10.0,4.0,5.0,12.0,9.0,,,,,,,,,"651 Mulberry Kansas City, MO 64101",,,,5144.0,,,,,,,,,,,,,,,,,,,,,,,,,,/Users/alexesmerritt/Desktop/Prison Vaccinaiton Project/vac-states/MO.csv
32,2021-01-02,,MO,MCC Moberly,6.0,74.0,0.0,234.0,80.0,234.0,,,,,,,,,5201 South Morley,,,,5144.0,,,,,,,,,,,,,,,,,,,,,,,,,,/Users/alexesmerritt/Desktop/Prison Vaccinaiton Project/vac-states/MO.csv
33,2021-01-02,,MO,Missouri Eastern CC (MECC Pacific),2.0,57.0,0.0,190.0,59.0,190.0,,,,,,,,,"18701 US Highway 66 Pacific, MO 63069",,,,5144.0,,,,,,,,,,,,,,,,,,,,,,,,,,/Users/alexesmerritt/Desktop/Prison Vaccinaiton Project/vac-states/MO.csv
34,2021-01-02,,MO,Maryville TC (MTC),2.0,45.0,0.0,50.0,47.0,50.0,,,,,,,,,"30227 US Highway 136 Maryville, MO 64468",,,,5144.0,,,,,,,,,,,,,,,,,,,,,,,,,,/Users/alexesmerritt/Desktop/Prison Vaccinaiton Project/vac-states/MO.csv
35,2021-01-02,,MO,NECC Bowling Green,7.0,128.0,2.0,99.0,135.0,101.0,,,,,,,,,"13698 Airport Road Bowling Green, MO 63334",,,,5144.0,,,,,,,,,,,,,,,,,,,,,,,,,,/Users/alexesmerritt/Desktop/Prison Vaccinaiton Project/vac-states/MO.csv
36,2021-01-02,,MO,Ozark CC (OCC Fordland),3.0,39.0,1.0,154.0,42.0,155.0,,,,,,,,,"929 Honor Camp Lane Fordland, MO 65652",,,,5144.0,,,,,,,,,,,,,,,,,,,,,,,,,,/Users/alexesmerritt/Desktop/Prison Vaccinaiton Project/vac-states/MO.csv
37,2021-01-02,,MO,PCC Potosi,1.0,124.0,1.0,141.0,125.0,142.0,,,,,,,,,"11593 State Highway O Mineral Point, MO 63660",,,,5144.0,,,,,,,,,,,,,,,,,,,,,,,,,,/Users/alexesmerritt/Desktop/Prison Vaccinaiton Project/vac-states/MO.csv
38,2021-01-02,,MO,SCCC Licking),8.0,68.0,4.0,125.0,76.0,129.0,,,,,,,,,"255 West Highway 32 Licking, MO 65542",,,,5144.0,,,,,,,,,,,,,,,,,,,,,,,,,,/Users/alexesmerritt/Desktop/Prison Vaccinaiton Project/vac-states/MO.csv
39,2021-01-02,,MO,Southeast CC (SECC Charleston),1.0,123.0,5.0,264.0,124.0,269.0,,,,,,,,,"300 East Pedro Simmons Drive Charleston, MO 63834",,,,5144.0,,,,,,,,,,,,,,,,,,,,,,,,,,/Users/alexesmerritt/Desktop/Prison Vaccinaiton Project/vac-states/MO.csv
40,2021-01-02,,MO,TCC Tipton,4.0,59.0,3.0,160.0,63.0,163.0,,,,,,,,,"619 North Osage Avenue Tipton, MO 65081",,,,5144.0,,,,,,,,,,,,,,,,,,,,,,,,,,/Users/alexesmerritt/Desktop/Prison Vaccinaiton Project/vac-states/MO.csv
41,2021-01-02,,MO,Women's Eastern RDCC (WERDCC Vandalia),9.0,62.0,21.0,502.0,71.0,523.0,,,,,,,,,"1101 East Highway 54 Vandalia, MO 63382",,,,5144.0,,,,,,,,,,,,,,,,,,,,,,,,,,/Users/alexesmerritt/Desktop/Prison Vaccinaiton Project/vac-states/MO.csv
42,2021-01-02,,MO,Western MO CC (WMCC Cameron),0.0,148.0,3.0,208.0,148.0,211.0,,,,,,,,,"609 East Pence Road Cameron, MO 64429",,,,5144.0,,,,,,,,,,,,,,,,,,,,,,,,,,/Users/alexesmerritt/Desktop/Prison Vaccinaiton Project/vac-states/MO.csv
43,2021-01-02,,MO,Western RDCC (WRDCC St. Joseph),4.0,134.0,18.0,322.0,138.0,340.0,,,,,,,,,"3401 Faraon St Joseph, MO 64506",,,,5144.0,,,,,,,,,,,,,,,,,,,,,,,,,,/Users/alexesmerritt/Desktop/Prison Vaccinaiton Project/vac-states/MO.csv
44,2021-01-02,,MO,,,,,,,,,40.0,5.0,,NR,NR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,/Users/alexesmerritt/Desktop/Prison Vaccinaiton Project/vac-states/MO.csv
45,2021-01-03,,MO,ACC Jefferson City,3.0,57.0,1.0,138.0,60.0,139.0,,,,,,,,,8501 No More Victims Road,,,,5128.0,,,,,,,,,,,,,,,,,,,,,,,,,,/Users/alexesmerritt/Desktop/Prison Vaccinaiton Project/vac-states/MO.csv
46,2021-01-03,,MO,BCC Boonville,3.0,78.0,0.0,149.0,81.0,149.0,,,,,,,,,"1216 East Morgan Street Boonville, MO 65233",,,,5128.0,,,,,,,,,,,,,,,,,,,,,,,,,,/Users/alexesmerritt/Desktop/Prison Vaccinaiton Project/vac-states/MO.csv
47,2021-01-03,,MO,CCC Chillicothe,4.0,93.0,1.0,293.0,97.0,294.0,,,,,,,,,3151 Litton Road,,,,5128.0,,,,,,,,,,,,,,,,,,,,,,,,,,/Users/alexesmerritt/Desktop/Prison Vaccinaiton Project/vac-states/MO.csv
48,2021-01-03,,MO,CTCC Fulton,2.0,11.0,1.0,23.0,13.0,24.0,,,,,,,,,"689 State Road O, P. O. Box 70",,,,5128.0,,,,,,,,,,,,,,,,,,,,,,,,,,/Users/alexesmerritt/Desktop/Prison Vaccinaiton Project/vac-states/MO.csv
49,2021-01-03,,MO,Eastern RDCC (ERDCC),10.0,168.0,52.0,452.0,178.0,504.0,,,,,,,,,2727 HIGHWAY K,,,,5128.0,,,,,,,,,,,,,,,,,,,,,,,,,,/Users/alexesmerritt/Desktop/Prison Vaccinaiton Project/vac-states/MO.csv
50,2021-01-03,,MO,Farmington CC (FCC),10.0,184.0,2.0,532.0,194.0,534.0,,,,,,,,,12393 Highway O,,,,5128.0,,,,,,,,,,,,,,,,,,,,,,,,,,/Users/alexesmerritt/Desktop/Prison Vaccinaiton Project/vac-states/MO.csv
51,2021-01-03,,MO,FRDC Fulton,3.0,82.0,48.0,574.0,85.0,622.0,,,,,,,,,1012 WEST COLUMBIA STREET,,,,5128.0,,,,,,,,,,,,,,,,,,,,,,,,,,/Users/alexesmerritt/Desktop/Prison Vaccinaiton Project/vac-states/MO.csv
52,2021-01-03,,MO,JCCC Jefferson City,3.0,131.0,3.0,344.0,134.0,347.0,,,,,,,,,8200 NO MORE VICTIMS ROAD,,,,5128.0,,,,,,,,,,,,,,,,,,,,,,,,,,/Users/alexesmerritt/Desktop/Prison Vaccinaiton Project/vac-states/MO.csv
53,2021-01-03,,MO,Kansas City Reentry Center (KCRC),2.0,10.0,4.0,5.0,12.0,9.0,,,,,,,,,"651 Mulberry Kansas City, MO 64101",,,,5128.0,,,,,,,,,,,,,,,,,,,,,,,,,,/Users/alexesmerritt/Desktop/Prison Vaccinaiton Project/vac-states/MO.csv
54,2021-01-03,,MO,MCC Moberly,6.0,74.0,1.0,234.0,80.0,235.0,,,,,,,,,5201 South Morley,,,,5128.0,,,,,,,,,,,,,,,,,,,,,,,,,,/Users/alexesmerritt/Desktop/Prison Vaccinaiton Project/vac-states/MO.csv
55,2021-01-03,,MO,Missouri Eastern CC (MECC Pacific),2.0,57.0,0.0,190.0,59.0,190.0,,,,,,,,,"18701 US Highway 66 Pacific, MO 63069",,,,5128.0,,,,,,,,,,,,,,,,,,,,,,,,,,/Users/alexesmerritt/Desktop/Prison Vaccinaiton Project/vac-states/MO.csv
56,2021-01-03,,MO,Maryville TC (MTC),2.0,45.0,0.0,50.0,47.0,50.0,,,,,,,,,"30227 US Highway 136 Maryville, MO 64468",,,,5128.0,,,,,,,,,,,,,,,,,,,,,,,,,,/Users/alexesmerritt/Desktop/Prison Vaccinaiton Project/vac-states/MO.csv
57,2021-01-03,,MO,NECC Bowling Green,8.0,128.0,2.0,99.0,136.0,101.0,,,,,,,,,"13698 Airport Road Bowling Green, MO 63334",,,,5128.0,,,,,,,,,,,,,,,,,,,,,,,,,,/Users/alexesmerritt/Desktop/Prison Vaccinaiton Project/vac-states/MO.csv
58,2021-01-03,,MO,Ozark CC (OCC Fordland),3.0,39.0,1.0,154.0,42.0,155.0,,,,,,,,,"929 Honor Camp Lane Fordland, MO 65652",,,,5128.0,,,,,,,,,,,,,,,,,,,,,,,,,,/Users/alexesmerritt/Desktop/Prison Vaccinaiton Project/vac-states/MO.csv
59,2021-01-03,,MO,PCC Potosi,1.0,124.0,1.0,141.0,125.0,142.0,,,,,,,,,"11593 State Highway O Mineral Point, MO 63660",,,,5128.0,,,,,,,,,,,,,,,,,,,,,,,,,,/Users/alexesmerritt/Desktop/Prison Vaccinaiton Project/vac-states/MO.csv
60,2021-01-03,,MO,SCCC Licking),8.0,68.0,4.0,125.0,76.0,129.0,,,,,,,,,"255 West Highway 32 Licking, MO 65542",,,,5128.0,,,,,,,,,,,,,,,,,,,,,,,,,,/Users/alexesmerritt/Desktop/Prison Vaccinaiton Project/vac-states/MO.csv
61,2021-01-03,,MO,Southeast CC (SECC Charleston),1.0,123.0,5.0,264.0,124.0,269.0,,,,,,,,,"300 East Pedro Simmons Drive Charleston, MO 63834",,,,5128.0,,,,,,,,,,,,,,,,,,,,,,,,,,/Users/alexesmerritt/Desktop/Prison Vaccinaiton Project/vac-states/MO.csv
62,2021-01-03,,MO,TCC Tipton,4.0,59.0,3.0,160.0,63.0,163.0,,,,,,,,,"619 North Osage Avenue Tipton, MO 65081",,,,5128.0,,,,,,,,,,,,,,,,,,,,,,,,,,/Users/alexesmerritt/Desktop/Prison Vaccinaiton Project/vac-states/MO.csv
63,2021-01-03,,MO,Women's Eastern RDCC (WERDCC Vandalia),9.0,62.0,21.0,502.0,71.0,523.0,,,,,,,,,"1101 East Highway 54 Vandalia, MO 63382",,,,5128.0,,,,,,,,,,,,,,,,,,,,,,,,,,/Users/alexesmerritt/Desktop/Prison Vaccinaiton Project/vac-states/MO.csv
64,2021-01-03,,MO,Western MO CC (WMCC Cameron),0.0,148.0,3.0,208.0,148.0,211.0,,,,,,,,,"609 East Pence Road Cameron, MO 64429",,,,5128.0,,,,,,,,,,,,,,,,,,,,,,,,,,/Users/alexesmerritt/Desktop/Prison Vaccinaiton Project/vac-states/MO.csv
65,2021-01-03,,MO,Western RDCC (WRDCC St. Joseph),4.0,134.0,17.0,321.0,138.0,338.0,,,,,,,,,"3401 Faraon St Joseph, MO 64506",,,,5128.0,,,,,,,,,,,,,,,,,,,,,,,,,,/Users/alexesmerritt/Desktop/Prison Vaccinaiton Project/vac-states/MO.csv
66,2021-01-03,,MO,,,,,,,,,41.0,5.0,,NR,NR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,/Users/alexesmerritt/Desktop/Prison Vaccinaiton Project/vac-states/MO.csv
67,2021-01-04,,MO,ACC Jefferson City,3.0,57.0,1.0,138.0,60.0,139.0,,,,,,,,,8501 No More Victims Road,,,,5128.0,,,,,,,,,,,,,,,,,,,,,,,,,,/Users/alexesmerritt/Desktop/Prison Vaccinaiton Project/vac-states/MO.csv
68,2021-01-04,,MO,BCC Boonville,3.0,78.0,0.0,149.0,81.0,149.0,,,,,,,,,"1216 East Morgan Street Boonville, MO 65233",,,,5128.0,,,,,,,,,,,,,,,,,,,,,,,,,,/Users/alexesmerritt/Desktop/Prison Vaccinaiton Project/vac-states/MO.csv
69,2021-01-04,,MO,CCC Chillicothe,4.0,93.0,1.0,293.0,97.0,294.0,,,,,,,,,3151 Litton Road,,,,5128.0,,,,,,,,,,,,,,,,,,,,,,,,,,/Users/alexesmerritt/Desktop/Prison Vaccinaiton Project/vac-states/MO.csv
70,2021-01-04,,MO,CTCC Fulton,2.0,11.0,1.0,23.0,13.0,24.0,,,,,,,,,"689 State Road O, P. O. Box 70",,,,5128.0,,,,,,,,,,,,,,,,,,,,,,,,,,/Users/alexesmerritt/Desktop/Prison Vaccinaiton Project/vac-states/MO.csv
71,2021-01-04,,MO,Eastern RDCC (ERDCC),10.0,168.0,52.0,452.0,178.0,504.0,,,,,,,,,2727 HIGHWAY K,,,,5128.0,,,,,,,,,,,,,,,,,,,,,,,,,,/Users/alexesmerritt/Desktop/Prison Vaccinaiton Project/vac-states/MO.csv
72,2021-01-04,,MO,Farmington CC (FCC),10.0,184.0,2.0,532.0,194.0,534.0,,,,,,,,,12393 Highway O,,,,5128.0,,,,,,,,,,,,,,,,,,,,,,,,,,/Users/alexesmerritt/Desktop/Prison Vaccinaiton Project/vac-states/MO.csv
73,2021-01-04,,MO,FRDC Fulton,3.0,82.0,48.0,574.0,85.0,622.0,,,,,,,,,1012 WEST COLUMBIA STREET,,,,5128.0,,,,,,,,,,,,,,,,,,,,,,,,,,/Users/alexesmerritt/Desktop/Prison Vaccinaiton Project/vac-states/MO.csv
74,2021-01-04,,MO,JCCC Jefferson City,3.0,131.0,3.0,344.0,134.0,347.0,,,,,,,,,8200 NO MORE VICTIMS ROAD,,,,5128.0,,,,,,,,,,,,,,,,,,,,,,,,,,/Users/alexesmerritt/Desktop/Prison Vaccinaiton Project/vac-states/MO.csv
75,2021-01-04,,MO,Kansas City Reentry Center (KCRC),2.0,10.0,4.0,5.0,12.0,9.0,,,,,,,,,"651 Mulberry Kansas City, MO 64101",,,,5128.0,,,,,,,,,,,,,,,,,,,,,,,,,,/Users/alexesmerritt/Desktop/Prison Vaccinaiton Project/vac-states/MO.csv
76,2021-01-04,,MO,MCC Moberly,6.0,74.0,1.0,234.0,80.0,235.0,,,,,,,,,5201 South Morley,,,,5128.0,,,,,,,,,,,,,,,,,,,,,,,,,,/Users/alexesmerritt/Desktop/Prison Vaccinaiton Project/vac-states/MO.csv
77,2021-01-04,,MO,Missouri Eastern CC (MECC Pacific),2.0,57.0,0.0,190.0,59.0,190.0,,,,,,,,,"18701 US Highway 66 Pacific, MO 63069",,,,5128.0,,,,,,,,,,,,,,,,,,,,,,,,,,/Users/alexesmerritt/Desktop/Prison Vaccinaiton Project/vac-states/MO.csv
78,2021-01-04,,MO,Maryville TC (MTC),2.0,45.0,0.0,50.0,47.0,50.0,,,,,,,,,"30227 US Highway 136 Maryville, MO 64468",,,,5128.0,,,,,,,,,,,,,,,,,,,,,,,,,,/Users/alexesmerritt/Desktop/Prison Vaccinaiton Project/vac-states/MO.csv
79,2021-01-04,,MO,NECC Bowling Green,8.0,128.0,2.0,99.0,136.0,101.0,,,,,,,,,"13698 Airport Road Bowling Green, MO 63334",,,,5128.0,,,,,,,,,,,,,,,,,,,,,,,,,,/Users/alexesmerritt/Desktop/Prison Vaccinaiton Project/vac-states/MO.csv
80,2021-01-04,,MO,Ozark CC (OCC Fordland),3.0,39.0,1.0,154.0,42.0,155.0,,,,,,,,,"929 Honor Camp Lane Fordland, MO 65652",,,,5128.0,,,,,,,,,,,,,,,,,,,,,,,,,,/Users/alexesmerritt/Desktop/Prison Vaccinaiton Project/vac-states/MO.csv
81,2021-01-04,,MO,PCC Potosi,1.0,124.0,1.0,141.0,125.0,142.0,,,,,,,,,"11593 State Highway O Mineral Point, MO 63660",,,,5128.0,,,,,,,,,,,,,,,,,,,,,,,,,,/Users/alexesmerritt/Desktop/Prison Vaccinaiton Project/vac-states/MO.csv
82,2021-01-04,,MO,SCCC Licking),8.0,68.0,4.0,125.0,76.0,129.0,,,,,,,,,"255 West Highway 32 Licking, MO 65542",,,,5128.0,,,,,,,,,,,,,,,,,,,,,,,,,,/Users/alexesmerritt/Desktop/Prison Vaccinaiton Project/vac-states/MO.csv
83,2021-01-04,,MO,Southeast CC (SECC Charleston),1.0,123.0,5.0,264.0,124.0,269.0,,,,,,,,,"300 East Pedro Simmons Drive Charleston, MO 63834",,,,5128.0,,,,,,,,,,,,,,,,,,,,,,,,,,/Users/alexesmerritt/Desktop/Prison Vaccinaiton Project/vac-states/MO.csv
84,2021-01-04,,MO,TCC Tipton,4.0,59.0,3.0,160.0,63.0,163.0,,,,,,,,,"619 North Osage Avenue Tipton, MO 65081",,,,5128.0,,,,,,,,,,,,,,,,,,,,,,,,,,/Users/alexesmerritt/Desktop/Prison Vaccinaiton Project/vac-states/MO.csv
85,2021-01-04,,MO,Women's Eastern RDCC (WERDCC Vandalia),9.0,62.0,21.0,502.0,71.0,523.0,,,,,,,,,"1101 East Highway 54 Vandalia, MO 63382",,,,5128.0,,,,,,,,,,,,,,,,,,,,,,,,,,/Users/alexesmerritt/Desktop/Prison Vaccinaiton Project/vac-states/MO.csv
86,2021-01-04,,MO,Western MO CC (WMCC Cameron),0.0,148.0,3.0,208.0,148.0,211.0,,,,,,,,,"609 East Pence Road Cameron, MO 64429",,,,5128.0,,,,,,,,,,,,,,,,,,,,,,,,,,/Users/alexesmerritt/Desktop/Prison Vaccinaiton Project/vac-states/MO.csv
87,2021-01-04,,MO,Western RDCC (WRDCC St. Joseph),4.0,134.0,17.0,321.0,138.0,338.0,,,,,,,,,"3401 Faraon St Joseph, MO 64506",,,,5128.0,,,,,,,,,,,,,,,,,,,,,,,,,,/Users/alexesmerritt/Desktop/Prison Vaccinaiton Project/vac-states/MO.csv
88,2021-01-04,,MO,,,,,,,,,41.0,5.0,,NR,NR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,/Users/alexesmerritt/Desktop/Prison Vaccinaiton Project/vac-states/MO.csv
