Unnamed: 0,scrapedate,lastupdated,stateagency,facility,fac_inc_population,fac_inc_testeddaily,fac_inc_positivedaily,fac_staff_testeddaily,fac_staff_positivedaily,fac_staff_positivecodaily,fac_staff_positiveotherdaily,fac_inc_active,fac_inc_deathsdaily,fac_staff_deaths,sum_inc_partiallyvaccinatedweekly,sum_inc_fullyvaccinatedweekly,sum_staff_partiallyvaccinatedweekly,sum_staff_fullyvaccinatedweekly,fac_inc_tested,fac_inc_positive,fac_inc_deaths,fac_staff_tested,fac_staff_positive,sum_inc_partiallyvaccinated,sum_inc_fullyvaccinated,sum_staff_partiallyvaccinated,sum_staff_fullyvaccinated,facility_bjs,fac_state,fac_inc_pop,fac_address,fac_zip,sum_inc_positive,sum_inc_deaths,sum_inc_tested,sum_inc_partiallyvaccitedweekly,sum_inc_fullyvaccitedweekly,sum_inc_partiallyvaccited,sum_inc_fullyvaccited,sum_staff_positive,sum_staff_tested,sum_staff_fullyvaccitedweekly,sum_staff_partiallyvaccited,sum_staff_fullyvaccited,match,bjs_fac_state,bjs_fac_id,bjs_fac_id2,bjs_fac_name,bjs_fac_address1,bjs_fac_address2,bjs_fac_city,bjs_fac_stateab,bjs_fac_zip1,bjs_fac_gender,bjs_fac_security,bjs_fac_leave,bjs_fac_operator,bjs_fac_malepop,bjs_fac_femalepop,bjs_fac_linked,bjs_fac_changeuse,bjs_fac_changeclose,bjs_fac_notes,bjs_fac_notes2,state
...15,2021-01-01,2021-01-01,MA,LSH,15,0,0,0,0,0,0,0,0,NR,,,,,0.0,8.0,0.0,128.0,10.0,,,,,,,,"180 Morton St., Jamaica Plain, MA 02130",2130.0,2388.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,/Users/alexesmerritt/Desktop/Prison Vaccinaiton Project/vac-states/MA.csv
...16,2021-01-01,2021-01-01,MA,SBCC,621,0,0,0,0,0,0,0,0,NR,,,,,1341.0,2.0,0.0,484.0,37.0,,,,,,,,"100 Harvard Rd, Shirley, MA 01464",,2388.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,/Users/alexesmerritt/Desktop/Prison Vaccinaiton Project/vac-states/MA.csv
...17,2021-01-02,2021-01-02,MA,MASAC,21,1,0,0,0,0,0,0,0,NR,,,,,431.0,39.0,0.0,159.0,31.0,,,,,,,,"Myles Standish State Forest 1 Bump Pond Rd., Plymouth, MA 02360",,2388.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,/Users/alexesmerritt/Desktop/Prison Vaccinaiton Project/vac-states/MA.csv
...18,2021-01-02,2021-01-02,MA,Boston Pre,38,0,0,0,0,0,0,1,0,NR,,,,,170.0,1.0,0.0,69.0,13.0,,,,,,,,"430 Canterbury St, Roslindale, MA 2131",2131.0,2388.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,/Users/alexesmerritt/Desktop/Prison Vaccinaiton Project/vac-states/MA.csv
...19,2021-01-02,2021-01-02,MA,MCI-Norfolk,1203,0,0,0,0,0,0,11,0,NR,,,,,4085.0,464.0,2.0,763.0,62.0,,,,,,,,"2 Clark St, Norfolk, MA 02056",,2388.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,/Users/alexesmerritt/Desktop/Prison Vaccinaiton Project/vac-states/MA.csv
...20,2021-01-02,2021-01-02,MA,NCCI-Gardn,831,0,0,0,0,0,0,90,0,NR,,,,,2433.0,633.0,1.0,229.0,24.0,,,,,,,,"670 Marion-Williamsport Rd E, Marion, OH 43302",,2388.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,/Users/alexesmerritt/Desktop/Prison Vaccinaiton Project/vac-states/MA.csv
...21,2021-01-02,2021-01-02,MA,BSH,201,0,0,0,0,0,0,6,0,NR,,,,,643.0,24.0,0.0,1.0,4.0,,,,,,,,20 Admin Rd,2324.0,2388.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,/Users/alexesmerritt/Desktop/Prison Vaccinaiton Project/vac-states/MA.csv
...22,2021-01-02,2021-01-02,MA,OCCC,690,0,0,0,0,0,0,60,0,NR,,,,,2054.0,123.0,0.0,724.0,57.0,,,,,,,,1 Administration Rd,2324.0,2388.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,/Users/alexesmerritt/Desktop/Prison Vaccinaiton Project/vac-states/MA.csv
...23,2021-01-02,2021-01-02,MA,MCI-CJ,433,0,0,0,0,0,0,15,0,NR,,,,,1566.0,24.0,0.0,670.0,58.0,,,,,,,,"MA-1A, South Walpole, MA 02071",,2388.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,/Users/alexesmerritt/Desktop/Prison Vaccinaiton Project/vac-states/MA.csv
...24,2021-01-02,2021-01-02,MA,MCI-C,499,0,0,0,0,0,0,1,0,NR,,,,,2074.0,294.0,2.0,812.0,71.0,,,,,,,,"965 Elm St, Concord, MA 01742",,2388.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,/Users/alexesmerritt/Desktop/Prison Vaccinaiton Project/vac-states/MA.csv
...25,2021-01-02,2021-01-02,MA,NECC,125,0,0,0,0,0,0,1,0,NR,,,,,482.0,1.0,0.0,50.0,14.0,,,,,,,,"1266-1270 US Route 5 St., Johnsbury, VT 05819",,2388.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,/Users/alexesmerritt/Desktop/Prison Vaccinaiton Project/vac-states/MA.csv
...26,2021-01-02,2021-01-02,MA,Pondville,109,0,0,0,0,0,0,1,0,NR,,,,,377.0,2.0,0.0,8.0,13.0,,,,,,,,"1 Industries Dr., P.O. Box 146, Norfolk, MA 02056",2056.0,2388.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,/Users/alexesmerritt/Desktop/Prison Vaccinaiton Project/vac-states/MA.csv
...27,2021-01-02,2021-01-02,MA,MCI-F,167,2,0,0,0,0,0,1,0,NR,,,,,429.0,88.0,0.0,75.0,29.0,,,,,,,,"99 Loring Dr, Framingham, MA 01702",,2388.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,/Users/alexesmerritt/Desktop/Prison Vaccinaiton Project/vac-states/MA.csv
...28,2021-01-02,2021-01-02,MA,MCI-Shirley,1047,0,0,0,0,0,0,27,0,NR,,,,,3978.0,514.0,4.0,406.0,83.0,,,,,,,,"Harvard Rd, Shirley, MA 01464",,2388.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,/Users/alexesmerritt/Desktop/Prison Vaccinaiton Project/vac-states/MA.csv
...29,2021-01-02,2021-01-02,MA,MTC,544,0,0,0,0,0,0,12,0,NR,,,,,1381.0,170.0,5.0,248.0,45.0,,,,,,,,"30 Administration Rd., Bridgewater, MA 02324",,2388.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,/Users/alexesmerritt/Desktop/Prison Vaccinaiton Project/vac-states/MA.csv
...30,2021-01-02,2021-01-02,MA,SMCC,27,0,0,0,0,0,0,1,0,NR,,,,,67.0,1.0,0.0,2.0,6.0,,,,,,,,"135 Western Avenue, P.O. Box 788 Framingham, MA 01701",1701.0,2388.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,/Users/alexesmerritt/Desktop/Prison Vaccinaiton Project/vac-states/MA.csv
...31,2021-01-02,2021-01-02,MA,LSH,15,0,0,0,0,0,0,0,0,NR,,,,,0.0,8.0,0.0,128.0,10.0,,,,,,,,"180 Morton St., Jamaica Plain, MA 02130",2130.0,2388.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,/Users/alexesmerritt/Desktop/Prison Vaccinaiton Project/vac-states/MA.csv
...32,2021-01-02,2021-01-02,MA,SBCC,621,0,0,0,0,0,0,0,0,NR,,,,,1341.0,2.0,0.0,484.0,37.0,,,,,,,,"100 Harvard Rd, Shirley, MA 01464",,2388.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,/Users/alexesmerritt/Desktop/Prison Vaccinaiton Project/vac-states/MA.csv
...33,2021-01-03,2021-01-03,MA,MASAC,20,2,0,0,0,0,0,0,0,NR,,,,,433.0,39.0,0.0,159.0,31.0,,,,,,,,"Myles Standish State Forest 1 Bump Pond Rd., Plymouth, MA 02360",,2388.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,/Users/alexesmerritt/Desktop/Prison Vaccinaiton Project/vac-states/MA.csv
...34,2021-01-03,2021-01-03,MA,Boston Pre,38,0,0,0,0,0,0,1,0,NR,,,,,170.0,1.0,0.0,69.0,13.0,,,,,,,,"430 Canterbury St, Roslindale, MA 2131",2131.0,2388.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,/Users/alexesmerritt/Desktop/Prison Vaccinaiton Project/vac-states/MA.csv
...35,2021-01-03,2021-01-03,MA,MCI-Norfolk,1203,1,0,0,0,0,0,11,0,NR,,,,,4086.0,464.0,2.0,763.0,62.0,,,,,,,,"2 Clark St, Norfolk, MA 02056",,2388.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,/Users/alexesmerritt/Desktop/Prison Vaccinaiton Project/vac-states/MA.csv
...36,2021-01-03,2021-01-03,MA,NCCI-Gardn,831,0,0,0,0,0,0,90,0,NR,,,,,2433.0,633.0,1.0,229.0,24.0,,,,,,,,"670 Marion-Williamsport Rd E, Marion, OH 43302",,2388.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,/Users/alexesmerritt/Desktop/Prison Vaccinaiton Project/vac-states/MA.csv
...37,2021-01-03,2021-01-03,MA,BSH,201,0,0,0,0,0,0,6,0,NR,,,,,643.0,24.0,0.0,1.0,4.0,,,,,,,,20 Admin Rd,2324.0,2388.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,/Users/alexesmerritt/Desktop/Prison Vaccinaiton Project/vac-states/MA.csv
...38,2021-01-03,2021-01-03,MA,OCCC,690,10,0,0,0,0,0,60,0,NR,,,,,2064.0,123.0,0.0,724.0,57.0,,,,,,,,1 Administration Rd,2324.0,2388.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,/Users/alexesmerritt/Desktop/Prison Vaccinaiton Project/vac-states/MA.csv
...39,2021-01-03,2021-01-03,MA,MCI-CJ,433,3,0,0,0,0,0,15,0,NR,,,,,1569.0,24.0,0.0,670.0,58.0,,,,,,,,"MA-1A, South Walpole, MA 02071",,2388.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,/Users/alexesmerritt/Desktop/Prison Vaccinaiton Project/vac-states/MA.csv
...40,2021-01-03,2021-01-03,MA,MCI-C,499,0,0,0,0,0,0,1,0,NR,,,,,2074.0,294.0,2.0,812.0,71.0,,,,,,,,"965 Elm St, Concord, MA 01742",,2388.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,/Users/alexesmerritt/Desktop/Prison Vaccinaiton Project/vac-states/MA.csv
...41,2021-01-03,2021-01-03,MA,NECC,125,0,0,0,0,0,0,1,0,NR,,,,,482.0,1.0,0.0,50.0,14.0,,,,,,,,"1266-1270 US Route 5 St., Johnsbury, VT 05819",,2388.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,/Users/alexesmerritt/Desktop/Prison Vaccinaiton Project/vac-states/MA.csv
...42,2021-01-03,2021-01-03,MA,Pondville,109,0,0,0,0,0,0,1,0,NR,,,,,377.0,2.0,0.0,8.0,13.0,,,,,,,,"1 Industries Dr., P.O. Box 146, Norfolk, MA 02056",2056.0,2388.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,/Users/alexesmerritt/Desktop/Prison Vaccinaiton Project/vac-states/MA.csv
...43,2021-01-03,2021-01-03,MA,MCI-F,167,1,0,0,0,0,0,1,0,NR,,,,,430.0,88.0,0.0,75.0,29.0,,,,,,,,"99 Loring Dr, Framingham, MA 01702",,2388.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,/Users/alexesmerritt/Desktop/Prison Vaccinaiton Project/vac-states/MA.csv
...44,2021-01-03,2021-01-03,MA,MCI-Shirley,1047,0,0,0,0,0,0,27,0,NR,,,,,3978.0,514.0,4.0,406.0,83.0,,,,,,,,"Harvard Rd, Shirley, MA 01464",,2388.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,/Users/alexesmerritt/Desktop/Prison Vaccinaiton Project/vac-states/MA.csv
...45,2021-01-03,2021-01-03,MA,MTC,544,1,0,0,0,0,0,12,0,NR,,,,,1382.0,170.0,5.0,248.0,45.0,,,,,,,,"30 Administration Rd., Bridgewater, MA 02324",,2388.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,/Users/alexesmerritt/Desktop/Prison Vaccinaiton Project/vac-states/MA.csv
...46,2021-01-03,2021-01-03,MA,SMCC,27,1,0,0,0,0,0,1,0,NR,,,,,68.0,1.0,0.0,2.0,6.0,,,,,,,,"135 Western Avenue, P.O. Box 788 Framingham, MA 01701",1701.0,2388.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,/Users/alexesmerritt/Desktop/Prison Vaccinaiton Project/vac-states/MA.csv
...47,2021-01-03,2021-01-03,MA,LSH,15,0,0,0,0,0,0,0,0,NR,,,,,0.0,8.0,0.0,128.0,10.0,,,,,,,,"180 Morton St., Jamaica Plain, MA 02130",2130.0,2388.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,/Users/alexesmerritt/Desktop/Prison Vaccinaiton Project/vac-states/MA.csv
...48,2021-01-03,2021-01-03,MA,SBCC,621,4,0,0,0,0,0,0,0,NR,,,,,1345.0,2.0,0.0,484.0,37.0,,,,,,,,"100 Harvard Rd, Shirley, MA 01464",,2388.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,/Users/alexesmerritt/Desktop/Prison Vaccinaiton Project/vac-states/MA.csv
...49,2021-01-04,2021-01-04,MA,MASAC,21,0,0,0,0,0,0,0,0,NR,,,,,433.0,39.0,0.0,159.0,31.0,,,,,,,,"Myles Standish State Forest 1 Bump Pond Rd., Plymouth, MA 02360",,2498.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,/Users/alexesmerritt/Desktop/Prison Vaccinaiton Project/vac-states/MA.csv
...50,2021-01-04,2021-01-04,MA,Boston Pre,37,0,0,0,0,0,0,1,0,NR,,,,,170.0,1.0,0.0,69.0,13.0,,,,,,,,"430 Canterbury St, Roslindale, MA 2131",2131.0,2498.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,/Users/alexesmerritt/Desktop/Prison Vaccinaiton Project/vac-states/MA.csv
...51,2021-01-04,2021-01-04,MA,MCI-Norfolk,1203,2,2,0,0,0,0,4,0,NR,,,,,4088.0,466.0,2.0,763.0,62.0,,,,,,,,"2 Clark St, Norfolk, MA 02056",,2498.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,/Users/alexesmerritt/Desktop/Prison Vaccinaiton Project/vac-states/MA.csv
...52,2021-01-04,2021-01-04,MA,NCCI-Gardn,830,1,49,0,0,0,0,131,1,NR,,,,,2434.0,682.0,2.0,229.0,24.0,,,,,,,,"670 Marion-Williamsport Rd E, Marion, OH 43302",,2498.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,/Users/alexesmerritt/Desktop/Prison Vaccinaiton Project/vac-states/MA.csv
...53,2021-01-04,2021-01-04,MA,BSH,198,0,8,0,0,0,0,9,0,NR,,,,,643.0,32.0,0.0,1.0,4.0,,,,,,,,20 Admin Rd,2324.0,2498.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,/Users/alexesmerritt/Desktop/Prison Vaccinaiton Project/vac-states/MA.csv
...54,2021-01-04,2021-01-04,MA,OCCC,690,0,16,0,0,0,0,37,0,NR,,,,,2064.0,139.0,0.0,724.0,57.0,,,,,,,,1 Administration Rd,2324.0,2498.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,/Users/alexesmerritt/Desktop/Prison Vaccinaiton Project/vac-states/MA.csv
...55,2021-01-04,2021-01-04,MA,MCI-CJ,432,2,7,0,0,0,0,22,0,NR,,,,,1571.0,31.0,0.0,670.0,58.0,,,,,,,,"MA-1A, South Walpole, MA 02071",,2498.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,/Users/alexesmerritt/Desktop/Prison Vaccinaiton Project/vac-states/MA.csv
...56,2021-01-04,2021-01-04,MA,MCI-C,499,0,0,0,0,0,0,1,0,NR,,,,,2074.0,294.0,2.0,812.0,71.0,,,,,,,,"965 Elm St, Concord, MA 01742",,2498.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,/Users/alexesmerritt/Desktop/Prison Vaccinaiton Project/vac-states/MA.csv
...57,2021-01-04,2021-01-04,MA,NECC,123,0,1,0,0,0,0,2,0,NR,,,,,482.0,2.0,0.0,50.0,14.0,,,,,,,,"1266-1270 US Route 5 St., Johnsbury, VT 05819",,2498.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,/Users/alexesmerritt/Desktop/Prison Vaccinaiton Project/vac-states/MA.csv
...58,2021-01-04,2021-01-04,MA,Pondville,106,0,0,0,0,0,0,0,0,NR,,,,,377.0,2.0,0.0,8.0,13.0,,,,,,,,"1 Industries Dr., P.O. Box 146, Norfolk, MA 02056",2056.0,2498.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,/Users/alexesmerritt/Desktop/Prison Vaccinaiton Project/vac-states/MA.csv
...59,2021-01-04,2021-01-04,MA,MCI-F,170,1,0,0,0,0,0,1,0,NR,,,,,431.0,88.0,0.0,75.0,29.0,,,,,,,,"99 Loring Dr, Framingham, MA 01702",,2498.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,/Users/alexesmerritt/Desktop/Prison Vaccinaiton Project/vac-states/MA.csv
...60,2021-01-04,2021-01-04,MA,MCI-Shirley,1040,0,0,0,0,0,0,2,0,NR,,,,,3978.0,514.0,4.0,406.0,83.0,,,,,,,,"Harvard Rd, Shirley, MA 01464",,2498.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,/Users/alexesmerritt/Desktop/Prison Vaccinaiton Project/vac-states/MA.csv
...61,2021-01-04,2021-01-04,MA,MTC,544,1,15,0,0,0,0,19,0,NR,,,,,1383.0,185.0,5.0,248.0,45.0,,,,,,,,"30 Administration Rd., Bridgewater, MA 02324",,2498.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,/Users/alexesmerritt/Desktop/Prison Vaccinaiton Project/vac-states/MA.csv
...62,2021-01-04,2021-01-04,MA,SMCC,27,0,11,0,3,3,0,12,0,NR,,,,,68.0,12.0,0.0,2.0,9.0,,,,,,,,"135 Western Avenue, P.O. Box 788 Framingham, MA 01701",1701.0,2498.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,/Users/alexesmerritt/Desktop/Prison Vaccinaiton Project/vac-states/MA.csv
...63,2021-01-04,2021-01-04,MA,LSH,15,0,0,0,0,0,0,0,0,NR,,,,,0.0,8.0,0.0,128.0,10.0,,,,,,,,"180 Morton St., Jamaica Plain, MA 02130",2130.0,2498.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,/Users/alexesmerritt/Desktop/Prison Vaccinaiton Project/vac-states/MA.csv
...64,2021-01-04,2021-01-04,MA,SBCC,623,78,1,0,1,0,1,0,0,NR,,,,,1423.0,3.0,0.0,484.0,38.0,,,,,,,,"100 Harvard Rd, Shirley, MA 01464",,2498.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,/Users/alexesmerritt/Desktop/Prison Vaccinaiton Project/vac-states/MA.csv
...65,2021-01-05,2021-01-04,MA,MASAC,22,0,0,46,0,0,0,0,0,NR,,,,,433.0,39.0,0.0,205.0,31.0,,,,,,,,"Myles Standish State Forest 1 Bump Pond Rd., Plymouth, MA 02360",,2505.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,/Users/alexesmerritt/Desktop/Prison Vaccinaiton Project/vac-states/MA.csv
...66,2021-01-05,2021-01-04,MA,Boston Pre,37,0,0,0,0,0,0,1,0,NR,,,,,170.0,1.0,0.0,69.0,13.0,,,,,,,,"430 Canterbury St, Roslindale, MA 2131",2131.0,2505.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,/Users/alexesmerritt/Desktop/Prison Vaccinaiton Project/vac-states/MA.csv
...67,2021-01-05,2021-01-04,MA,MCI-Norfolk,1200,3,0,0,0,0,0,4,0,NR,,,,,4091.0,466.0,2.0,763.0,62.0,,,,,,,,"2 Clark St, Norfolk, MA 02056",,2505.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,/Users/alexesmerritt/Desktop/Prison Vaccinaiton Project/vac-states/MA.csv
...68,2021-01-05,2021-01-04,MA,NCCI-Gardn,830,0,2,0,8,8,0,133,0,NR,,,,,2434.0,684.0,2.0,229.0,32.0,,,,,,,,"670 Marion-Williamsport Rd E, Marion, OH 43302",,2505.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,/Users/alexesmerritt/Desktop/Prison Vaccinaiton Project/vac-states/MA.csv
