Unnamed: 0,scrapedate,lastupdated,stateagency,facility,fac_inc_tested,fac_inc_positive,fac_inc_deaths,fac_inc_deathsconfirmed,fac_inc_deathspending,fac_inc_negative,fac_inc_pending,fac_inc_recovered,fac_inc_population,sum_staff_positive,sum_staff_recovered,sum_staff_deaths,sum_inc_ppositive,sum_inc_vaccinations,facility_bjs,fac_state,fac_inc_pop,fac_address,fac_zip,sum_inc_positive,sum_inc_deaths,sum_inc_tested,match,bjs_fac_state,bjs_fac_id,bjs_fac_id2,bjs_fac_name,bjs_fac_address1,bjs_fac_city,bjs_fac_stateab,bjs_fac_zip1,bjs_fac_gender,bjs_fac_security,bjs_fac_securityother,bjs_fac_leave,bjs_fac_operator,bjs_fac_malepop,bjs_fac_femalepop,bjs_fac_linked,bjs_fac_linktxt,bjs_fac_changeuse,bjs_fac_changeclose,bjs_fac_notes,oldnew,state
12,2021-01-01,,AZ,Phoenix,3935.0,484.0,0.0,,,3451.0,0.0,410.0,,1863.0,1490.0,,,,ASPC-PHOENIX,AZ,529.0,2500 E. VAN BUREN STREET,85008.0,7146.0,36.0,42787.0,in BJS (matched),Arkansas,3e+19,,ASPC-PHOENIX,2500 E. VAN BUREN STREET,PHOENIX,AZ,85008.0,Both males and females,Other,Multi security level,None,State authority,565.0,9.0,No,,No,No,Medium and Maximum,new,/Users/alexesmerritt/Desktop/Prison Vaccinaiton Project/vac-states/AZ.csv
13,2021-01-01,,AZ,Phoenix West,368.0,35.0,1.0,,,333.0,0.0,16.0,,1863.0,1490.0,,,,,AZ,406.0,"3402 WEST COCOPAH, PHOENIX, AZ 85009",85009.0,7146.0,36.0,42787.0,not in BJS,,,,,,,,,,,,,,,,,,,,,new,/Users/alexesmerritt/Desktop/Prison Vaccinaiton Project/vac-states/AZ.csv
14,2021-01-01,,AZ,Red Rock,1670.0,101.0,0.0,,,1569.0,0.0,78.0,,1863.0,1490.0,,,,,AZ,2014.0,"1750 East Arica Road, Eloy, AZ 85131",85131.0,7146.0,36.0,42787.0,not in BJS,,,,,,,,,,,,,,,,,,,,,new,/Users/alexesmerritt/Desktop/Prison Vaccinaiton Project/vac-states/AZ.csv
15,2021-01-01,,AZ,Safford,1472.0,142.0,0.0,,,1330.0,0.0,21.0,,1863.0,1490.0,,,,ASPC-SAFFORD,AZ,1389.0,896 SOUTH COOK ROAD,85546.0,7146.0,36.0,42787.0,in BJS (matched),Arkansas,3e+19,3e+19,ASPC-SAFFORD,896 SOUTH COOK ROAD,SAFFORD,AZ,85546.0,Males only,Other,Multi security level,None,State authority,878.0,,Yes,ASPC SAFFORD FORT GRANT,No,No,Minimum and Medium,new,/Users/alexesmerritt/Desktop/Prison Vaccinaiton Project/vac-states/AZ.csv
16,2021-01-01,,AZ,Tucson,5425.0,1546.0,11.0,,,3879.0,0.0,1273.0,,1863.0,1490.0,,,,ASPC-TUCSON,AZ,4863.0,10000 SOUTH WILMOT,85734.0,7146.0,36.0,42787.0,in BJS (matched),Arkansas,3e+19,3e+19,ASPC-TUCSON,10000 SOUTH WILMOT,TUCSON,AZ,85734.0,Males only,Other,Multi security level,None,State authority,5170.0,,Yes,ASPC TUCSON SOUTHERN ARIZONA CORRECTIONAL CENTER,No,No,Medium and Maximum,new,/Users/alexesmerritt/Desktop/Prison Vaccinaiton Project/vac-states/AZ.csv
17,2021-01-01,,AZ,Winslow,1290.0,131.0,0.0,,,1159.0,0.0,113.0,,1863.0,1490.0,,,,ASPC-WINSLOW,AZ,1243.0,2100 SOUTH HWY 87,86047.0,7146.0,36.0,42787.0,in BJS (matched),Arkansas,3e+19,3e+19,ASPC-WINSLOW,2100 SOUTH HWY 87,WINSLOW,AZ,86047.0,Males only,Maximum/close/high,,None,State authority,1239.0,,Yes,ASPC-WINSLOW APACHE UNIT,No,No,,new,/Users/alexesmerritt/Desktop/Prison Vaccinaiton Project/vac-states/AZ.csv
18,2021-01-01,,AZ,Yuma,4615.0,1408.0,4.0,,,3207.0,0.0,1099.0,,1863.0,1490.0,,,,ASPC-YUMA,AZ,4381.0,7125 EAST JUAN SANCHEZ BLVD,85349.0,7146.0,36.0,42787.0,in BJS (matched),Arkansas,3e+19,,ASPC-YUMA,7125 EAST JUAN SANCHEZ BLVD,SAN LUIS,AZ,85349.0,Males only,Maximum/close/high,,None,State authority,4298.0,,No,,No,No,,new,/Users/alexesmerritt/Desktop/Prison Vaccinaiton Project/vac-states/AZ.csv
19,2021-01-02,,AZ,CACF,1201.0,67.0,3.0,,,1134.0,0.0,64.0,,1863.0,1490.0,,,,,AZ,1273.0,"1401 E. DIVERSION DAM RD, FLORENCE, AZ 85132",85132.0,7146.0,36.0,42787.0,not in BJS,,,,,,,,,,,,,,,,,,,,,new,/Users/alexesmerritt/Desktop/Prison Vaccinaiton Project/vac-states/AZ.csv
20,2021-01-02,,AZ,Douglas,2100.0,848.0,0.0,,,1252.0,0.0,837.0,,1863.0,1490.0,,,,ASPC-DOUGLAS,AZ,1944.0,6911 NORTH BDI BOULEVARD,85607.0,7146.0,36.0,42787.0,in BJS (matched),Arkansas,3e+19,3e+19,ASPC-DOUGLAS,6911 NORTH BDI BOULEVARD,DOUGLAS,AZ,85607.0,Males only,Other,Multi security level,None,State authority,1953.0,,Yes,ASPC DOUGLAS PAPAGO UNIT,No,No,Minimum and Medium,new,/Users/alexesmerritt/Desktop/Prison Vaccinaiton Project/vac-states/AZ.csv
21,2021-01-02,,AZ,Eyman,5397.0,1166.0,2.0,,,4231.0,0.0,770.0,,1863.0,1490.0,,,,ASPC-EYMAN,AZ,5350.0,4374 EAST BUTTE AVENUE,85132.0,7146.0,36.0,42787.0,in BJS (matched),Arkansas,3e+19,,ASPC-EYMAN,4374 EAST BUTTE AVENUE,FLORENCE,AZ,85132.0,Males only,Maximum/close/high,,None,State authority,5103.0,,No,,No,No,,new,/Users/alexesmerritt/Desktop/Prison Vaccinaiton Project/vac-states/AZ.csv
22,2021-01-02,,AZ,Florence,3197.0,321.0,12.0,,,2876.0,0.0,285.0,,1863.0,1490.0,,,,ASPC-FLORENCE,AZ,2740.0,1305 EAST BUTTE AVENUE,85132.0,7146.0,36.0,42787.0,in BJS (matched),Arkansas,3e+19,3e+19,ASPC-FLORENCE,1305 EAST BUTTE AVENUE,FLORENCE,AZ,85132.0,Males only,Other,Multi security level,None,State authority,3629.0,,Yes,"ASPC-FLORENCE PICACHO UNIT, ASPC-FLORENCE GLOBE",No,No,Medium and Maximum,new,/Users/alexesmerritt/Desktop/Prison Vaccinaiton Project/vac-states/AZ.csv
23,2021-01-02,,AZ,Florence West,478.0,2.0,0.0,,,476.0,0.0,1.0,,1863.0,1490.0,,,,,AZ,692.0,"915 EAST DIVERSION DAM ROAD, FLORENCE, AZ 85132",85132.0,7146.0,36.0,42787.0,not in BJS,,,,,,,,,,,,,,,,,,,,,new,/Users/alexesmerritt/Desktop/Prison Vaccinaiton Project/vac-states/AZ.csv
24,2021-01-02,,AZ,Kingman,2684.0,69.0,1.0,,,2615.0,0.0,55.0,,1863.0,1490.0,,,,,AZ,2469.0,"4626 W. ENGLISH DRIVE, GOLDEN VALLEY, AZ 86414",86414.0,7146.0,36.0,42787.0,not in BJS,,,,,,,,,,,,,,,,,,,,,new,/Users/alexesmerritt/Desktop/Prison Vaccinaiton Project/vac-states/AZ.csv
25,2021-01-02,,AZ,Lewis,4207.0,662.0,2.0,,,3645.0,0.0,555.0,,1863.0,1490.0,,,,ASPC - LEWIS,AZ,4536.0,26700 SOUTH HIGHWAY 85,85326.0,7146.0,36.0,42787.0,in BJS (matched),Arkansas,3e+19,,ASPC - LEWIS,26700 SOUTH HIGHWAY 85,BUCKEYE,AZ,85326.0,Males only,Other,Multi security level,None,State authority,5346.0,,No,,No,No,Medium and Maximum,new,/Users/alexesmerritt/Desktop/Prison Vaccinaiton Project/vac-states/AZ.csv
26,2021-01-02,,AZ,MRC,0.0,0.0,0.0,,,0.0,0.0,0.0,,1863.0,1490.0,,,,,AZ,0.0,"24601 N 29th Avenue Phoenix, AZ 85027",85027.0,7146.0,36.0,42787.0,not in BJS,,,,,,,,,,,,,,,,,,,,,new,/Users/alexesmerritt/Desktop/Prison Vaccinaiton Project/vac-states/AZ.csv
27,2021-01-02,,AZ,Marana,340.0,9.0,0.0,,,331.0,0.0,8.0,,1863.0,1490.0,,,,,AZ,331.0,"12610 W SILVERBELL ROAD, MARANA, AZ 85653",85653.0,7146.0,36.0,42787.0,not in BJS,,,,,,,,,,,,,,,,,,,,,new,/Users/alexesmerritt/Desktop/Prison Vaccinaiton Project/vac-states/AZ.csv
28,2021-01-02,,AZ,PRC,0.0,0.0,0.0,,,0.0,0.0,0.0,,1863.0,1490.0,,,,ASPC-FLORENCE GLOBE,AZ,0.0,1000 FAIRGROUNDS ROAD,85501.0,7146.0,36.0,42787.0,in BJS (matched),Arkansas,3e+19,3e+19,ASPC-FLORENCE GLOBE,1000 FAIRGROUNDS ROAD,GLOBE,AZ,85501.0,Males only,Minimum/low,,None,State authority,293.0,,No,,No,No,,new,/Users/alexesmerritt/Desktop/Prison Vaccinaiton Project/vac-states/AZ.csv
29,2021-01-02,,AZ,Perryville,4408.0,155.0,0.0,,,4253.0,0.0,114.0,,1863.0,1490.0,,,,ASPC - PERRYVILLE,AZ,3571.0,2014 N. CITRUS ROAD,85395.0,7146.0,36.0,42787.0,in BJS (matched),Arkansas,3e+19,,ASPC - PERRYVILLE,2014 N. CITRUS ROAD,GOODYEAR,AZ,85395.0,Females only,Other,Multi security level,None,State authority,,3403.0,No,,No,No,Medium and Maximum,new,/Users/alexesmerritt/Desktop/Prison Vaccinaiton Project/vac-states/AZ.csv
30,2021-01-02,,AZ,Phoenix,3935.0,484.0,0.0,,,3451.0,0.0,410.0,,1863.0,1490.0,,,,ASPC-PHOENIX,AZ,529.0,2500 E. VAN BUREN STREET,85008.0,7146.0,36.0,42787.0,in BJS (matched),Arkansas,3e+19,,ASPC-PHOENIX,2500 E. VAN BUREN STREET,PHOENIX,AZ,85008.0,Both males and females,Other,Multi security level,None,State authority,565.0,9.0,No,,No,No,Medium and Maximum,new,/Users/alexesmerritt/Desktop/Prison Vaccinaiton Project/vac-states/AZ.csv
31,2021-01-02,,AZ,Phoenix West,368.0,35.0,1.0,,,333.0,0.0,16.0,,1863.0,1490.0,,,,,AZ,406.0,"3402 WEST COCOPAH, PHOENIX, AZ 85009",85009.0,7146.0,36.0,42787.0,not in BJS,,,,,,,,,,,,,,,,,,,,,new,/Users/alexesmerritt/Desktop/Prison Vaccinaiton Project/vac-states/AZ.csv
32,2021-01-02,,AZ,Red Rock,1670.0,101.0,0.0,,,1569.0,0.0,78.0,,1863.0,1490.0,,,,,AZ,2014.0,"1750 East Arica Road, Eloy, AZ 85131",85131.0,7146.0,36.0,42787.0,not in BJS,,,,,,,,,,,,,,,,,,,,,new,/Users/alexesmerritt/Desktop/Prison Vaccinaiton Project/vac-states/AZ.csv
33,2021-01-02,,AZ,Safford,1472.0,142.0,0.0,,,1330.0,0.0,21.0,,1863.0,1490.0,,,,ASPC-SAFFORD,AZ,1389.0,896 SOUTH COOK ROAD,85546.0,7146.0,36.0,42787.0,in BJS (matched),Arkansas,3e+19,3e+19,ASPC-SAFFORD,896 SOUTH COOK ROAD,SAFFORD,AZ,85546.0,Males only,Other,Multi security level,None,State authority,878.0,,Yes,ASPC SAFFORD FORT GRANT,No,No,Minimum and Medium,new,/Users/alexesmerritt/Desktop/Prison Vaccinaiton Project/vac-states/AZ.csv
34,2021-01-02,,AZ,Tucson,5425.0,1546.0,11.0,,,3879.0,0.0,1273.0,,1863.0,1490.0,,,,ASPC-TUCSON,AZ,4863.0,10000 SOUTH WILMOT,85734.0,7146.0,36.0,42787.0,in BJS (matched),Arkansas,3e+19,3e+19,ASPC-TUCSON,10000 SOUTH WILMOT,TUCSON,AZ,85734.0,Males only,Other,Multi security level,None,State authority,5170.0,,Yes,ASPC TUCSON SOUTHERN ARIZONA CORRECTIONAL CENTER,No,No,Medium and Maximum,new,/Users/alexesmerritt/Desktop/Prison Vaccinaiton Project/vac-states/AZ.csv
35,2021-01-02,,AZ,Winslow,1290.0,131.0,0.0,,,1159.0,0.0,113.0,,1863.0,1490.0,,,,ASPC-WINSLOW,AZ,1243.0,2100 SOUTH HWY 87,86047.0,7146.0,36.0,42787.0,in BJS (matched),Arkansas,3e+19,3e+19,ASPC-WINSLOW,2100 SOUTH HWY 87,WINSLOW,AZ,86047.0,Males only,Maximum/close/high,,None,State authority,1239.0,,Yes,ASPC-WINSLOW APACHE UNIT,No,No,,new,/Users/alexesmerritt/Desktop/Prison Vaccinaiton Project/vac-states/AZ.csv
36,2021-01-02,,AZ,Yuma,4615.0,1408.0,4.0,,,3207.0,0.0,1099.0,,1863.0,1490.0,,,,ASPC-YUMA,AZ,4381.0,7125 EAST JUAN SANCHEZ BLVD,85349.0,7146.0,36.0,42787.0,in BJS (matched),Arkansas,3e+19,,ASPC-YUMA,7125 EAST JUAN SANCHEZ BLVD,SAN LUIS,AZ,85349.0,Males only,Maximum/close/high,,None,State authority,4298.0,,No,,No,No,,new,/Users/alexesmerritt/Desktop/Prison Vaccinaiton Project/vac-states/AZ.csv
37,2021-01-03,,AZ,CACF,1201.0,67.0,3.0,,,1134.0,0.0,64.0,,1863.0,1490.0,,,,,AZ,1273.0,"1401 E. DIVERSION DAM RD, FLORENCE, AZ 85132",85132.0,7146.0,36.0,42787.0,not in BJS,,,,,,,,,,,,,,,,,,,,,new,/Users/alexesmerritt/Desktop/Prison Vaccinaiton Project/vac-states/AZ.csv
38,2021-01-03,,AZ,Douglas,2100.0,848.0,0.0,,,1252.0,0.0,837.0,,1863.0,1490.0,,,,ASPC-DOUGLAS,AZ,1944.0,6911 NORTH BDI BOULEVARD,85607.0,7146.0,36.0,42787.0,in BJS (matched),Arkansas,3e+19,3e+19,ASPC-DOUGLAS,6911 NORTH BDI BOULEVARD,DOUGLAS,AZ,85607.0,Males only,Other,Multi security level,None,State authority,1953.0,,Yes,ASPC DOUGLAS PAPAGO UNIT,No,No,Minimum and Medium,new,/Users/alexesmerritt/Desktop/Prison Vaccinaiton Project/vac-states/AZ.csv
39,2021-01-03,,AZ,Eyman,5397.0,1166.0,2.0,,,4231.0,0.0,770.0,,1863.0,1490.0,,,,ASPC-EYMAN,AZ,5350.0,4374 EAST BUTTE AVENUE,85132.0,7146.0,36.0,42787.0,in BJS (matched),Arkansas,3e+19,,ASPC-EYMAN,4374 EAST BUTTE AVENUE,FLORENCE,AZ,85132.0,Males only,Maximum/close/high,,None,State authority,5103.0,,No,,No,No,,new,/Users/alexesmerritt/Desktop/Prison Vaccinaiton Project/vac-states/AZ.csv
40,2021-01-03,,AZ,Florence,3197.0,321.0,12.0,,,2876.0,0.0,285.0,,1863.0,1490.0,,,,ASPC-FLORENCE,AZ,2740.0,1305 EAST BUTTE AVENUE,85132.0,7146.0,36.0,42787.0,in BJS (matched),Arkansas,3e+19,3e+19,ASPC-FLORENCE,1305 EAST BUTTE AVENUE,FLORENCE,AZ,85132.0,Males only,Other,Multi security level,None,State authority,3629.0,,Yes,"ASPC-FLORENCE PICACHO UNIT, ASPC-FLORENCE GLOBE",No,No,Medium and Maximum,new,/Users/alexesmerritt/Desktop/Prison Vaccinaiton Project/vac-states/AZ.csv
41,2021-01-03,,AZ,Florence West,478.0,2.0,0.0,,,476.0,0.0,1.0,,1863.0,1490.0,,,,,AZ,692.0,"915 EAST DIVERSION DAM ROAD, FLORENCE, AZ 85132",85132.0,7146.0,36.0,42787.0,not in BJS,,,,,,,,,,,,,,,,,,,,,new,/Users/alexesmerritt/Desktop/Prison Vaccinaiton Project/vac-states/AZ.csv
42,2021-01-03,,AZ,Kingman,2684.0,69.0,1.0,,,2615.0,0.0,55.0,,1863.0,1490.0,,,,,AZ,2469.0,"4626 W. ENGLISH DRIVE, GOLDEN VALLEY, AZ 86414",86414.0,7146.0,36.0,42787.0,not in BJS,,,,,,,,,,,,,,,,,,,,,new,/Users/alexesmerritt/Desktop/Prison Vaccinaiton Project/vac-states/AZ.csv
43,2021-01-03,,AZ,Lewis,4207.0,662.0,2.0,,,3645.0,0.0,555.0,,1863.0,1490.0,,,,ASPC - LEWIS,AZ,4536.0,26700 SOUTH HIGHWAY 85,85326.0,7146.0,36.0,42787.0,in BJS (matched),Arkansas,3e+19,,ASPC - LEWIS,26700 SOUTH HIGHWAY 85,BUCKEYE,AZ,85326.0,Males only,Other,Multi security level,None,State authority,5346.0,,No,,No,No,Medium and Maximum,new,/Users/alexesmerritt/Desktop/Prison Vaccinaiton Project/vac-states/AZ.csv
44,2021-01-03,,AZ,MRC,0.0,0.0,0.0,,,0.0,0.0,0.0,,1863.0,1490.0,,,,,AZ,0.0,"24601 N 29th Avenue Phoenix, AZ 85027",85027.0,7146.0,36.0,42787.0,not in BJS,,,,,,,,,,,,,,,,,,,,,new,/Users/alexesmerritt/Desktop/Prison Vaccinaiton Project/vac-states/AZ.csv
45,2021-01-03,,AZ,Marana,340.0,9.0,0.0,,,331.0,0.0,8.0,,1863.0,1490.0,,,,,AZ,331.0,"12610 W SILVERBELL ROAD, MARANA, AZ 85653",85653.0,7146.0,36.0,42787.0,not in BJS,,,,,,,,,,,,,,,,,,,,,new,/Users/alexesmerritt/Desktop/Prison Vaccinaiton Project/vac-states/AZ.csv
46,2021-01-03,,AZ,PRC,0.0,0.0,0.0,,,0.0,0.0,0.0,,1863.0,1490.0,,,,ASPC-FLORENCE GLOBE,AZ,0.0,1000 FAIRGROUNDS ROAD,85501.0,7146.0,36.0,42787.0,in BJS (matched),Arkansas,3e+19,3e+19,ASPC-FLORENCE GLOBE,1000 FAIRGROUNDS ROAD,GLOBE,AZ,85501.0,Males only,Minimum/low,,None,State authority,293.0,,No,,No,No,,new,/Users/alexesmerritt/Desktop/Prison Vaccinaiton Project/vac-states/AZ.csv
47,2021-01-03,,AZ,Perryville,4408.0,155.0,0.0,,,4253.0,0.0,114.0,,1863.0,1490.0,,,,ASPC - PERRYVILLE,AZ,3571.0,2014 N. CITRUS ROAD,85395.0,7146.0,36.0,42787.0,in BJS (matched),Arkansas,3e+19,,ASPC - PERRYVILLE,2014 N. CITRUS ROAD,GOODYEAR,AZ,85395.0,Females only,Other,Multi security level,None,State authority,,3403.0,No,,No,No,Medium and Maximum,new,/Users/alexesmerritt/Desktop/Prison Vaccinaiton Project/vac-states/AZ.csv
48,2021-01-03,,AZ,Phoenix,3935.0,484.0,0.0,,,3451.0,0.0,410.0,,1863.0,1490.0,,,,ASPC-PHOENIX,AZ,529.0,2500 E. VAN BUREN STREET,85008.0,7146.0,36.0,42787.0,in BJS (matched),Arkansas,3e+19,,ASPC-PHOENIX,2500 E. VAN BUREN STREET,PHOENIX,AZ,85008.0,Both males and females,Other,Multi security level,None,State authority,565.0,9.0,No,,No,No,Medium and Maximum,new,/Users/alexesmerritt/Desktop/Prison Vaccinaiton Project/vac-states/AZ.csv
49,2021-01-03,,AZ,Phoenix West,368.0,35.0,1.0,,,333.0,0.0,16.0,,1863.0,1490.0,,,,,AZ,406.0,"3402 WEST COCOPAH, PHOENIX, AZ 85009",85009.0,7146.0,36.0,42787.0,not in BJS,,,,,,,,,,,,,,,,,,,,,new,/Users/alexesmerritt/Desktop/Prison Vaccinaiton Project/vac-states/AZ.csv
50,2021-01-03,,AZ,Red Rock,1670.0,101.0,0.0,,,1569.0,0.0,78.0,,1863.0,1490.0,,,,,AZ,2014.0,"1750 East Arica Road, Eloy, AZ 85131",85131.0,7146.0,36.0,42787.0,not in BJS,,,,,,,,,,,,,,,,,,,,,new,/Users/alexesmerritt/Desktop/Prison Vaccinaiton Project/vac-states/AZ.csv
51,2021-01-03,,AZ,Safford,1472.0,142.0,0.0,,,1330.0,0.0,21.0,,1863.0,1490.0,,,,ASPC-SAFFORD,AZ,1389.0,896 SOUTH COOK ROAD,85546.0,7146.0,36.0,42787.0,in BJS (matched),Arkansas,3e+19,3e+19,ASPC-SAFFORD,896 SOUTH COOK ROAD,SAFFORD,AZ,85546.0,Males only,Other,Multi security level,None,State authority,878.0,,Yes,ASPC SAFFORD FORT GRANT,No,No,Minimum and Medium,new,/Users/alexesmerritt/Desktop/Prison Vaccinaiton Project/vac-states/AZ.csv
52,2021-01-03,,AZ,Tucson,5425.0,1546.0,11.0,,,3879.0,0.0,1273.0,,1863.0,1490.0,,,,ASPC-TUCSON,AZ,4863.0,10000 SOUTH WILMOT,85734.0,7146.0,36.0,42787.0,in BJS (matched),Arkansas,3e+19,3e+19,ASPC-TUCSON,10000 SOUTH WILMOT,TUCSON,AZ,85734.0,Males only,Other,Multi security level,None,State authority,5170.0,,Yes,ASPC TUCSON SOUTHERN ARIZONA CORRECTIONAL CENTER,No,No,Medium and Maximum,new,/Users/alexesmerritt/Desktop/Prison Vaccinaiton Project/vac-states/AZ.csv
53,2021-01-03,,AZ,Winslow,1290.0,131.0,0.0,,,1159.0,0.0,113.0,,1863.0,1490.0,,,,ASPC-WINSLOW,AZ,1243.0,2100 SOUTH HWY 87,86047.0,7146.0,36.0,42787.0,in BJS (matched),Arkansas,3e+19,3e+19,ASPC-WINSLOW,2100 SOUTH HWY 87,WINSLOW,AZ,86047.0,Males only,Maximum/close/high,,None,State authority,1239.0,,Yes,ASPC-WINSLOW APACHE UNIT,No,No,,new,/Users/alexesmerritt/Desktop/Prison Vaccinaiton Project/vac-states/AZ.csv
