Unnamed: 0,scrapedate,lastupdated,stateagency,facility,fac_staff_positive,fac_staff_active,fac_staff_negative,fac_staff_pending,fac_staff_deaths,fac_staff_recovered,fac_inc_positive,fac_inc_negative,fac_inc_pending,fac_inc_deaths,fac_inc_recovered,fac_inc_tested,fac_staff_tested,fac_inc_active,fac_inc_asymptomatic,fac_inc_population,sum_inc_vaccinated_dose1,sum_inc_vaccinated_dose2,sum_staff_vaccinated_dose1,sum_staff_vaccinated_dose2,sum_inc_positiveamin,sum_inc_positiveasian,sum_inc_positiveblack,sum_inc_positivehispanic,sum_inc_positiveother,sum_inc_positivewhite,sum_inc_positive18,sum_inc_positive18_1,sum_inc_positive2534,sum_inc_positive3544,sum_inc_positive4554,sum_inc_positive5564,sum_inc_positive65,sum_inc_deathsasian,sum_inc_deathsblack,sum_inc_deathshispanic,sum_inc_deathswhite,x42,facility_bjs,fac_state,fac_inc_released,fac_inc_symptomatic,fac_inc_transferred,fac_inc_hospital,fac_inc_surveillance,fac_address,fac_zip,sum_inc_positive,sum_inc_deaths,sum_inc_tested,sum_staff_deaths,sum_staff_positive,sum_staff_tested,match,bjs_fac_state,bjs_fac_id,bjs_fac_name,bjs_fac_address1,bjs_fac_city,bjs_fac_stateab,bjs_fac_zip1,bjs_fac_gender,bjs_fac_security,bjs_fac_leave,bjs_fac_operator,bjs_fac_malepop,bjs_fac_femalepop,bjs_fac_linked,bjs_fac_changeuse,bjs_fac_changeclose,sum_inc_positive18...31,sum_inc_positive18...32,...42,state
11,2021-01-01,,PA,Greene,134.0,,229,5,,120,105.0,1170,768,1,63,2043.0,368,,,,,,,,,,,,,,,,,,,,,,,,,,SCI GREENE,PA,,,,,,"165 PLANK ROAD, COXSACKIE, NY 12051",15370.0,6672.0,64.0,59716.0,2.0,2467.0,5541.0,in BJS (matched),Pennsylvania,3.9e+20,SCI GREENE,169 PROGRESS DRIVE,WAYNESBURG,PA,15370.0,Males only,Maximum/close/high,None,State authority,1734.0,,No,No,No,,,,/Users/alexesmerritt/Desktop/Prison Vaccinaiton Project/vac-states/PA.csv
12,2021-01-01,,PA,Houtzdale,54.0,,37,25,,80,157.0,482,323,0,32,962.0,116,,,,,,,,,,,,,,,,,,,,,,,,,,SCI HOUTZDALE,PA,,,,,,209 INSTITUTION DRIVE,16698.0,6672.0,64.0,59716.0,2.0,2467.0,5541.0,in BJS (matched),Pennsylvania,3.9e+20,SCI HOUTZDALE,209 INSTITUTION DRIVE,HOUTZDALE,PA,16698.0,Males only,Medium,None,State authority,2564.0,,No,No,No,,,,/Users/alexesmerritt/Desktop/Prison Vaccinaiton Project/vac-states/PA.csv
13,2021-01-01,,PA,Huntingdon,120.0,,237,24,,111,204.0,597,134,6,196,935.0,381,,,,,,,,,,,,,,,,,,,,,,,,,,SCI HUNTINGDON,PA,,,,,,1100 PIKE STREET,16654.0,6672.0,64.0,59716.0,2.0,2467.0,5541.0,in BJS (matched),Pennsylvania,3.9e+20,SCI HUNTINGDON,1100 PIKE STREET,HUNTINGDON,PA,16654.0,Males only,Maximum/close/high,None,State authority,2142.0,,No,No,No,,,,/Users/alexesmerritt/Desktop/Prison Vaccinaiton Project/vac-states/PA.csv
14,2021-01-01,,PA,Laurel Highlands,148.0,,26,33,,144,447.0,3747,207,9,444,4401.0,207,,,,,,,,,,,,,,,,,,,,,,,,,,SCI LAUREL HIGHLANDS,PA,,,,,,5706 GLADES PIKE,15501.0,6672.0,64.0,59716.0,2.0,2467.0,5541.0,in BJS (matched),Pennsylvania,3.9e+20,SCI LAUREL HIGHLANDS,5706 GLADES PIKE,SOMERSET,PA,15501.0,Males only,Minimum/low,None,State authority,1417.0,,No,No,No,,,,/Users/alexesmerritt/Desktop/Prison Vaccinaiton Project/vac-states/PA.csv
15,2021-01-01,,PA,Mahanoy,64.0,,78,58,,111,276.0,2583,180,3,232,3039.0,200,,,,,,,,,,,,,,,,,,,,,,,,,,SCI MAHANOY,PA,,,,,,301 MOREA ROAD,17932.0,6672.0,64.0,59716.0,2.0,2467.0,5541.0,in BJS (matched),Pennsylvania,3.9e+20,SCI MAHANOY,301 MOREA ROAD,FRACKVILLE,PA,17932.0,Males only,Medium,None,State authority,2383.0,,No,No,No,,,,/Users/alexesmerritt/Desktop/Prison Vaccinaiton Project/vac-states/PA.csv
16,2021-01-01,,PA,Mercer,59.0,,55,1,,81,124.0,529,200,2,99,853.0,115,,,,,,,,,,,,,,,,,,,,,,,,,,SCI MERCER,PA,,,,,,801 BUTLER PIKE,16137.0,6672.0,64.0,59716.0,2.0,2467.0,5541.0,in BJS (matched),Pennsylvania,3.9e+20,SCI MERCER,801 BUTLER PIKE,MERCER,PA,16137.0,Males only,Minimum/low,None,State authority,1472.0,,No,No,No,,,,/Users/alexesmerritt/Desktop/Prison Vaccinaiton Project/vac-states/PA.csv
17,2021-01-01,,PA,Muncy,83.0,,61,14,,90,402.0,1176,1518,0,114,3096.0,158,,,,,,,,,,,,,,,,,,,,,,,,,,SCI MUNCY,PA,,,,,,BOX 180 ROUTE 405,17756.0,6672.0,64.0,59716.0,2.0,2467.0,5541.0,in BJS (matched),Pennsylvania,3.9e+20,SCI MUNCY,BOX 180 ROUTE 405,MUNCY,PA,17756.0,Females only,Maximum/close/high,None,State authority,,1459.0,No,No,No,,,,/Users/alexesmerritt/Desktop/Prison Vaccinaiton Project/vac-states/PA.csv
18,2021-01-01,,PA,Phoenix,158.0,,222,9,1,180,187.0,1361,588,12,159,2136.0,389,,,,,,,,,,,,,,,,,,,,,,,,,,,PA,,,,,,2500 E. VAN BUREN STREET,19426.0,6672.0,64.0,59716.0,2.0,2467.0,5541.0,not in BJS,,,,,,,,,,,,,,,,,,,,/Users/alexesmerritt/Desktop/Prison Vaccinaiton Project/vac-states/PA.csv
19,2021-01-01,,PA,Pine Grove,66.0,,80,8,,71,150.0,347,165,1,147,662.0,154,,,,,,,,,,,,,,,,,,,,,,,,,,SCI PINE GROVE,PA,,,,,,"13630 Aqueduct-Volcano Road, Pine Grove, CA 95665",15701.0,6672.0,64.0,59716.0,2.0,2467.0,5541.0,in BJS (matched),Pennsylvania,3.9e+20,SCI PINE GROVE,189 FYOCK ROAD,INDIANA,PA,15701.0,Males only,Maximum/close/high,None,State authority,916.0,,No,No,No,,,,/Users/alexesmerritt/Desktop/Prison Vaccinaiton Project/vac-states/PA.csv
20,2021-01-01,,PA,Quehanna Boot Camp,15.0,,22,15,,22,117.0,487,472,0,77,1076.0,52,,,,,,,,,,,,,,,,,,,,,,,,,,QUEHANNA BOOT CAMP,PA,,,,,,"4395 Quehanna Highway Karthaus, PA 16845",16845.0,6672.0,64.0,59716.0,2.0,2467.0,5541.0,in BJS (matched),Pennsylvania,3.9e+20,QUEHANNA BOOT CAMP,4395 QUEHANNA HWY,KARTHAUS,PA,16845.0,Both males and females,Minimum/low,None,State authority,405.0,84.0,No,No,No,,,,/Users/alexesmerritt/Desktop/Prison Vaccinaiton Project/vac-states/PA.csv
21,2021-01-01,,PA,Retreat,4.0,,10,1,,4,13.0,1048,0,0,13,1061.0,15,,,,,,,,,,,,,,,,,,,,,,,,,,SCI RETREAT,PA,,,,,,660 STATE ROUTE 11,18621.0,6672.0,64.0,59716.0,2.0,2467.0,5541.0,in BJS (matched),Pennsylvania,3.9e+20,SCI RETREAT,660 STATE ROUTE 11,HUNLOCK CREEK,PA,18621.0,Males only,Medium,None,State authority,1136.0,,No,No,No,,,,/Users/alexesmerritt/Desktop/Prison Vaccinaiton Project/vac-states/PA.csv
22,2021-01-01,,PA,Rockview,168.0,,118,31,,206,113.0,788,164,1,102,1065.0,317,,,,,,,,,,,,,,,,,,,,,,,,,,SCI ROCKVIEW,PA,,,,,,1 ROCKVIEW PLACE,16823.0,6672.0,64.0,59716.0,2.0,2467.0,5541.0,in BJS (matched),Pennsylvania,3.9e+20,SCI ROCKVIEW,1 ROCKVIEW PLACE,BELLEFONTE,PA,16823.0,Males only,Medium,None,State authority,2457.0,,No,No,No,,,,/Users/alexesmerritt/Desktop/Prison Vaccinaiton Project/vac-states/PA.csv
23,2021-01-01,,PA,Smithfield,154.0,,189,19,,141,412.0,728,695,3,148,1835.0,362,,,,,,,,,,,,,,,,,,,,,,,,,,SCI SMITHFIELD,PA,,,,,,1120 PIKE STREET,16652.0,6672.0,64.0,59716.0,2.0,2467.0,5541.0,in BJS (matched),Pennsylvania,3.9e+20,SCI SMITHFIELD,1120 PIKE STREET,HUNTINGDON,PA,16652.0,Males only,Maximum/close/high,None,State authority,1378.0,,No,No,No,,,,/Users/alexesmerritt/Desktop/Prison Vaccinaiton Project/vac-states/PA.csv
24,2021-01-01,,PA,Somerset,142.0,,177,15,,126,595.0,1418,956,2,479,2969.0,334,,,,,,,,,,,,,,,,,,,,,,,,,,SCI SOMERSET,PA,,,,,,1590 WALTERS MILL ROAD,15510.0,6672.0,64.0,59716.0,2.0,2467.0,5541.0,in BJS (matched),Pennsylvania,3.9e+20,SCI SOMERSET,1590 WALTERS MILL ROAD,SOMERSET,PA,15510.0,Males only,Medium,None,State authority,2290.0,,No,No,No,,,,/Users/alexesmerritt/Desktop/Prison Vaccinaiton Project/vac-states/PA.csv
25,2021-01-01,,PA,Waymart,84.0,,123,4,,67,654.0,3136,73,2,353,3863.0,211,,,,,,,,,,,,,,,,,,,,,,,,,,SCI WAYMART,PA,,,,,,P.O.BOX 256 ROUTE 6,18472.0,6672.0,64.0,59716.0,2.0,2467.0,5541.0,in BJS (matched),Pennsylvania,3.9e+20,SCI WAYMART,P.O.BOX 256 ROUTE 6,WAYMART,PA,18472.0,Males only,Minimum/low,None,State authority,1310.0,,No,No,No,,,,/Users/alexesmerritt/Desktop/Prison Vaccinaiton Project/vac-states/PA.csv
26,2021-01-02,,PA,Camp Hill,152.0,,118,52,1,160,204.0,5400,4405,3,156,10009.0,322,,,,,,,,,,,,,,,,,,,,,,,,,,SCI CAMP HILL,PA,,,,,,2500 LISBURN ROAD,17001.0,6672.0,64.0,59716.0,2.0,2467.0,5541.0,in BJS (matched),Pennsylvania,3.9e+20,SCI CAMP HILL,2500 LISBURN ROAD,CAMP HILL,PA,17001.0,Males only,Maximum/close/high,None,State authority,3633.0,,No,No,No,,,,/Users/alexesmerritt/Desktop/Prison Vaccinaiton Project/vac-states/PA.csv
27,2021-01-02,,PA,Albion,77.0,,88,23,,52,10.0,526,142,0,11,678.0,188,,,,,,,,,,,,,,,,,,,,,,,,,,SCI ALBION,PA,,,,,,3595 State School Road,16475.0,6672.0,64.0,59716.0,2.0,2467.0,5541.0,in BJS (matched),Pennsylvania,3.9e+20,SCI ALBION,10745 ROUTE 18,ALBION,PA,16475.0,Males only,Medium,None,State authority,2327.0,,No,No,No,,,,/Users/alexesmerritt/Desktop/Prison Vaccinaiton Project/vac-states/PA.csv
28,2021-01-02,,PA,Benner Township,113.0,,106,59,,98,144.0,159,73,2,124,376.0,278,,,,,,,,,,,,,,,,,,,,,,,,,,,PA,,,,,,"301 Institution Drive Bellefonte, PA 16823",16823.0,6672.0,64.0,59716.0,2.0,2467.0,5541.0,not in BJS,,,,,,,,,,,,,,,,,,,,/Users/alexesmerritt/Desktop/Prison Vaccinaiton Project/vac-states/PA.csv
29,2021-01-02,,PA,Cambridge Springs,69.0,,61,4,,58,682.0,1723,111,1,649,2516.0,134,,,,,,,,,,,,,,,,,,,,,,,,,,SCI CAMBRIDGE SPRINGS,PA,,,,,,451 FULLERTON AVE,16403.0,6672.0,64.0,59716.0,2.0,2467.0,5541.0,in BJS (matched),Pennsylvania,3.9e+20,SCI CAMBRIDGE SPRINGS,451 FULLERTON AVE,CAMBRIDGE SPRINGS,PA,16403.0,Females only,Minimum/low,None,State authority,,1009.0,No,No,No,,,,/Users/alexesmerritt/Desktop/Prison Vaccinaiton Project/vac-states/PA.csv
30,2021-01-02,,PA,Chester,135.0,,34,59,,134,168.0,764,272,4,165,1204.0,228,,,,,,,,,,,,,,,,,,,,,,,,,,SCI CHESTER,PA,,,,,,500 E. 4TH STREET,19013.0,6672.0,64.0,59716.0,2.0,2467.0,5541.0,in BJS (matched),Pennsylvania,3.9e+20,SCI CHESTER,500 E. 4TH STREET,CHESTER,PA,19013.0,Males only,Medium,None,State authority,1275.0,,No,No,No,,,,/Users/alexesmerritt/Desktop/Prison Vaccinaiton Project/vac-states/PA.csv
31,2021-01-02,,PA,Coal Township,61.0,,97,13,,54,200.0,5642,3996,0,181,9838.0,171,,,,,,,,,,,,,,,,,,,,,,,,,,SCI COAL TOWNSHIP,PA,,,,,,1 KELLY DRIVE,17866.0,6672.0,64.0,59716.0,2.0,2467.0,5541.0,in BJS (matched),Pennsylvania,3.9e+20,SCI COAL TOWNSHIP,1 KELLY DRIVE,COAL TOWNSHIP,PA,17866.0,Males only,Medium,None,State authority,2308.0,,No,No,No,,,,/Users/alexesmerritt/Desktop/Prison Vaccinaiton Project/vac-states/PA.csv
32,2021-01-02,,PA,Dallas,207.0,,162,20,,215,1186.0,1338,132,9,675,2656.0,389,,,,,,,,,,,,,,,,,,,,,,,,,,SCI DALLAS,PA,,,,,,1000 FOLLIES ROAD,18612.0,6672.0,64.0,59716.0,2.0,2467.0,5541.0,in BJS (matched),Pennsylvania,3.9e+20,SCI DALLAS,1000 FOLLIES ROAD,DALLAS,PA,18612.0,Males only,Medium,None,State authority,2101.0,,No,No,No,,,,/Users/alexesmerritt/Desktop/Prison Vaccinaiton Project/vac-states/PA.csv
33,2021-01-02,,PA,Fayette,87.0,,136,5,,74,23.0,523,159,1,10,705.0,228,,,,,,,,,,,,,,,,,,,,,,,,,,SCI FAYETTE,PA,,,,,,50 OVERLOOK DRIVE,15450.0,6672.0,64.0,59716.0,2.0,2467.0,5541.0,in BJS (matched),Pennsylvania,3.9e+20,SCI FAYETTE,50 OVERLOOK DRIVE,LABELLE,PA,15450.0,Males only,Maximum/close/high,None,State authority,2060.0,,No,No,No,,,,/Users/alexesmerritt/Desktop/Prison Vaccinaiton Project/vac-states/PA.csv
34,2021-01-02,,PA,Forest,65.0,,40,3,,53,31.0,413,394,2,13,838.0,108,,,,,,,,,,,,,,,,,,,,,,,,,,SCI FOREST,PA,,,,,,286 WOODLAND DRIVE,16239.0,6672.0,64.0,59716.0,2.0,2467.0,5541.0,in BJS (matched),Pennsylvania,3.9e+20,SCI FOREST,286 WOODLAND DRIVE,MARIENVILLE,PA,16239.0,Males only,Maximum/close/high,None,State authority,2287.0,,No,No,No,,,,/Users/alexesmerritt/Desktop/Prison Vaccinaiton Project/vac-states/PA.csv
35,2021-01-02,,PA,Frackville,48.0,,38,30,,56,68.0,514,318,0,44,900.0,116,,,,,,,,,,,,,,,,,,,,,,,,,,SCI FRACKVILLE,PA,,,,,,1111 ALTAMONT BLVD,17931.0,6672.0,64.0,59716.0,2.0,2467.0,5541.0,in BJS (matched),Pennsylvania,3.9e+20,SCI FRACKVILLE,1111 ALTAMONT BLVD,FRACKVILLE,PA,17931.0,Males only,Maximum/close/high,None,State authority,1160.0,,No,No,No,,,,/Users/alexesmerritt/Desktop/Prison Vaccinaiton Project/vac-states/PA.csv
36,2021-01-02,,PA,Greene,134.0,,229,5,,120,105.0,1170,768,1,63,2043.0,368,,,,,,,,,,,,,,,,,,,,,,,,,,SCI GREENE,PA,,,,,,"165 PLANK ROAD, COXSACKIE, NY 12051",15370.0,6672.0,64.0,59716.0,2.0,2467.0,5541.0,in BJS (matched),Pennsylvania,3.9e+20,SCI GREENE,169 PROGRESS DRIVE,WAYNESBURG,PA,15370.0,Males only,Maximum/close/high,None,State authority,1734.0,,No,No,No,,,,/Users/alexesmerritt/Desktop/Prison Vaccinaiton Project/vac-states/PA.csv
37,2021-01-02,,PA,Houtzdale,54.0,,37,25,,80,157.0,482,323,0,32,962.0,116,,,,,,,,,,,,,,,,,,,,,,,,,,SCI HOUTZDALE,PA,,,,,,209 INSTITUTION DRIVE,16698.0,6672.0,64.0,59716.0,2.0,2467.0,5541.0,in BJS (matched),Pennsylvania,3.9e+20,SCI HOUTZDALE,209 INSTITUTION DRIVE,HOUTZDALE,PA,16698.0,Males only,Medium,None,State authority,2564.0,,No,No,No,,,,/Users/alexesmerritt/Desktop/Prison Vaccinaiton Project/vac-states/PA.csv
38,2021-01-02,,PA,Huntingdon,120.0,,237,24,,111,204.0,597,134,6,196,935.0,381,,,,,,,,,,,,,,,,,,,,,,,,,,SCI HUNTINGDON,PA,,,,,,1100 PIKE STREET,16654.0,6672.0,64.0,59716.0,2.0,2467.0,5541.0,in BJS (matched),Pennsylvania,3.9e+20,SCI HUNTINGDON,1100 PIKE STREET,HUNTINGDON,PA,16654.0,Males only,Maximum/close/high,None,State authority,2142.0,,No,No,No,,,,/Users/alexesmerritt/Desktop/Prison Vaccinaiton Project/vac-states/PA.csv
39,2021-01-02,,PA,Laurel Highlands,148.0,,26,33,,144,447.0,3747,207,9,444,4401.0,207,,,,,,,,,,,,,,,,,,,,,,,,,,SCI LAUREL HIGHLANDS,PA,,,,,,5706 GLADES PIKE,15501.0,6672.0,64.0,59716.0,2.0,2467.0,5541.0,in BJS (matched),Pennsylvania,3.9e+20,SCI LAUREL HIGHLANDS,5706 GLADES PIKE,SOMERSET,PA,15501.0,Males only,Minimum/low,None,State authority,1417.0,,No,No,No,,,,/Users/alexesmerritt/Desktop/Prison Vaccinaiton Project/vac-states/PA.csv
40,2021-01-02,,PA,Mahanoy,64.0,,78,58,,111,276.0,2583,180,3,232,3039.0,200,,,,,,,,,,,,,,,,,,,,,,,,,,SCI MAHANOY,PA,,,,,,301 MOREA ROAD,17932.0,6672.0,64.0,59716.0,2.0,2467.0,5541.0,in BJS (matched),Pennsylvania,3.9e+20,SCI MAHANOY,301 MOREA ROAD,FRACKVILLE,PA,17932.0,Males only,Medium,None,State authority,2383.0,,No,No,No,,,,/Users/alexesmerritt/Desktop/Prison Vaccinaiton Project/vac-states/PA.csv
41,2021-01-02,,PA,Mercer,59.0,,55,1,,81,124.0,529,200,2,99,853.0,115,,,,,,,,,,,,,,,,,,,,,,,,,,SCI MERCER,PA,,,,,,801 BUTLER PIKE,16137.0,6672.0,64.0,59716.0,2.0,2467.0,5541.0,in BJS (matched),Pennsylvania,3.9e+20,SCI MERCER,801 BUTLER PIKE,MERCER,PA,16137.0,Males only,Minimum/low,None,State authority,1472.0,,No,No,No,,,,/Users/alexesmerritt/Desktop/Prison Vaccinaiton Project/vac-states/PA.csv
42,2021-01-02,,PA,Muncy,83.0,,61,14,,90,402.0,1176,1518,0,114,3096.0,158,,,,,,,,,,,,,,,,,,,,,,,,,,SCI MUNCY,PA,,,,,,BOX 180 ROUTE 405,17756.0,6672.0,64.0,59716.0,2.0,2467.0,5541.0,in BJS (matched),Pennsylvania,3.9e+20,SCI MUNCY,BOX 180 ROUTE 405,MUNCY,PA,17756.0,Females only,Maximum/close/high,None,State authority,,1459.0,No,No,No,,,,/Users/alexesmerritt/Desktop/Prison Vaccinaiton Project/vac-states/PA.csv
43,2021-01-02,,PA,Phoenix,158.0,,222,9,1,180,187.0,1361,588,12,159,2136.0,389,,,,,,,,,,,,,,,,,,,,,,,,,,,PA,,,,,,2500 E. VAN BUREN STREET,19426.0,6672.0,64.0,59716.0,2.0,2467.0,5541.0,not in BJS,,,,,,,,,,,,,,,,,,,,/Users/alexesmerritt/Desktop/Prison Vaccinaiton Project/vac-states/PA.csv
44,2021-01-02,,PA,Pine Grove,66.0,,80,8,,71,150.0,347,165,1,147,662.0,154,,,,,,,,,,,,,,,,,,,,,,,,,,SCI PINE GROVE,PA,,,,,,"13630 Aqueduct-Volcano Road, Pine Grove, CA 95665",15701.0,6672.0,64.0,59716.0,2.0,2467.0,5541.0,in BJS (matched),Pennsylvania,3.9e+20,SCI PINE GROVE,189 FYOCK ROAD,INDIANA,PA,15701.0,Males only,Maximum/close/high,None,State authority,916.0,,No,No,No,,,,/Users/alexesmerritt/Desktop/Prison Vaccinaiton Project/vac-states/PA.csv
45,2021-01-02,,PA,Quehanna Boot Camp,15.0,,22,15,,22,117.0,487,472,0,77,1076.0,52,,,,,,,,,,,,,,,,,,,,,,,,,,QUEHANNA BOOT CAMP,PA,,,,,,"4395 Quehanna Highway Karthaus, PA 16845",16845.0,6672.0,64.0,59716.0,2.0,2467.0,5541.0,in BJS (matched),Pennsylvania,3.9e+20,QUEHANNA BOOT CAMP,4395 QUEHANNA HWY,KARTHAUS,PA,16845.0,Both males and females,Minimum/low,None,State authority,405.0,84.0,No,No,No,,,,/Users/alexesmerritt/Desktop/Prison Vaccinaiton Project/vac-states/PA.csv
