Unnamed: 0,scrapedate,lastupdated,stateagency,facility,fac_inc_positive,fac_inc_activeasymptomatic,sum_inc_tested,fac_inc_activesymptomatic,sum_inc_hospitalized,sum_inc_recovered,sum_inc_deaths,sum_staff_positive,sum_staff_active,sum_staff_vaccinatedfirstdose,sum_staff_vaccinatedseconddose,sum_inc_vaccinatedfirstdose,sum_inc_vaccinatedseconddose,sum_staff_deaths,facility_bjs,fac_state,fac_inc_recovered,fac_inc_negative,fac_inc_returned,fac_address,fac_zip,sum_inc_positive,sum_inc_vaccinated,sum_staff_vaccinated,match,bjs_fac_state,bjs_fac_id,bjs_fac_id2,bjs_fac_name,bjs_fac_address1,bjs_fac_city,bjs_fac_stateab,bjs_fac_zip1,bjs_fac_gender,bjs_fac_security,bjs_fac_leave,bjs_fac_operator,bjs_fac_malepop,bjs_fac_femalepop,bjs_fac_linked,bjs_fac_linktxt,bjs_fac_changeuse,bjs_fac_changeclose,oldnew,...1,state
11,2021-01-01,,CT,New Haven CC,160,16.0,,,15.0,2581.0,13.0,,308.0,,,,,,NEW HAVEN CORRECTIONAL CENTER,CT,,,,245 WALLEY AVENUE,6511.0,3343.0,,,in BJS (matched),Connecticut,7e+19,,NEW HAVEN CORRECTIONAL CENTER,245 WALLEY AVENUE,NEW HAVEN,CT,6511.0,Males only,Maximum/close/high,None,State authority,814.0,,No,,No,No,new,,/Users/alexesmerritt/Desktop/Prison Vaccinaiton Project/vac-states/CT.csv
12,2021-01-01,,CT,Northern CI,2,,,,15.0,2581.0,13.0,,308.0,,,,,,NORTHERN CORRECTIONAL INSTITUTION,CT,,,,287 BILTON ROAD,6071.0,3343.0,,,in BJS (matched),Connecticut,7e+19,,NORTHERN CORRECTIONAL INSTITUTION,287 BILTON ROAD,SOMERS,CT,6071.0,Males only,Super maximum,None,State authority,256.0,,No,,No,No,new,,/Users/alexesmerritt/Desktop/Prison Vaccinaiton Project/vac-states/CT.csv
13,2021-01-01,,CT,Osborn CI,528,,,,15.0,2581.0,13.0,,308.0,,,,,,OSBORN CORRECTIONAL INSTITUTION,CT,,,,355 BILTON RD,6071.0,3343.0,,,in BJS (matched),Connecticut,7e+19,,OSBORN CORRECTIONAL INSTITUTION,355 BILTON RD,SOMERS,CT,6071.0,Males only,Medium,None,State authority,1917.0,,No,,No,No,new,,/Users/alexesmerritt/Desktop/Prison Vaccinaiton Project/vac-states/CT.csv
14,2021-01-01,,CT,Willard-Cybulski,105,,,,15.0,2581.0,13.0,,308.0,,,,,,,CT,,,,"391 Shaker Road Enfield , CT 06082",6082.0,3343.0,,,not in BJS,,,,,,,,,,,,,,,,,,,new,,/Users/alexesmerritt/Desktop/Prison Vaccinaiton Project/vac-states/CT.csv
15,2021-01-01,,CT,York CI,202,47.0,,,15.0,2581.0,13.0,,308.0,,,,,,YORK CORRECTIONAL INSTITUTION,CT,,,,201 W MAIN STREET,6357.0,3343.0,,,in BJS (matched),Connecticut,7e+19,7e+19,YORK CORRECTIONAL INSTITUTION,201 W MAIN STREET,NIANTIC,CT,6357.0,Females only,Maximum/close/high,None,State authority,,1067.0,Yes,Niantic Annex,No,No,new,,/Users/alexesmerritt/Desktop/Prison Vaccinaiton Project/vac-states/CT.csv
16,2021-01-02,,CT,Bridgeport CC,276,128.0,,,15.0,2581.0,13.0,,308.0,,,,,,BRIDGEPORT CORRECTIONAL CENTER,CT,,,,1106 N AVENUE,6604.0,3343.0,,,in BJS (matched),Connecticut,7e+19,,BRIDGEPORT CORRECTIONAL CENTER,1106 N AVENUE,BRIDGEPORT,CT,6604.0,Males only,Maximum/close/high,None,State authority,865.0,,No,,No,No,new,,/Users/alexesmerritt/Desktop/Prison Vaccinaiton Project/vac-states/CT.csv
17,2021-01-02,,CT,Brooklyn CI,157,,,,15.0,2581.0,13.0,,308.0,,,,,,,CT,,,,"59 HARTFORD ROAD, BROOKLYN, CT 6234",6234.0,3343.0,,,not in BJS,,,,,,,,,,,,,,,,,,,new,,/Users/alexesmerritt/Desktop/Prison Vaccinaiton Project/vac-states/CT.csv
18,2021-01-02,,CT,Carl Robinson CI,291,,,,15.0,2581.0,13.0,,308.0,,,,,,ROBINSON CORRECTIONAL INSTITUTION,CT,,,,285 SHAKER RD,6082.0,3343.0,,,in BJS (matched),Connecticut,7e+19,,ROBINSON CORRECTIONAL INSTITUTION,285 SHAKER RD,ENFIELD,CT,6082.0,Males only,Medium,None,State authority,1459.0,,No,,No,No,new,,/Users/alexesmerritt/Desktop/Prison Vaccinaiton Project/vac-states/CT.csv
19,2021-01-02,,CT,Cheshire CI,332,75.0,,,15.0,2581.0,13.0,,308.0,,,,,,CHESHIRE CORRECTIONAL CENTER,CT,,,,900 HIGHLAND AVENUE,6410.0,3343.0,,,in BJS (matched),Connecticut,7e+19,,CHESHIRE CORRECTIONAL CENTER,900 HIGHLAND AVENUE,CHESHIRE,CT,6410.0,Males only,Maximum/close/high,None,State authority,1471.0,,No,,No,No,new,,/Users/alexesmerritt/Desktop/Prison Vaccinaiton Project/vac-states/CT.csv
20,2021-01-02,,CT,Corrigan-Radgowski,269,4.0,,,15.0,2581.0,13.0,,308.0,,,,,,,CT,,,,"986 Norwich-New London Turnpike Uncasville, CT 06382",6382.0,3343.0,,,not in BJS,,,,,,,,,,,,,,,,,,,new,,/Users/alexesmerritt/Desktop/Prison Vaccinaiton Project/vac-states/CT.csv
21,2021-01-02,,CT,Garner CI,75,7.0,,,15.0,2581.0,13.0,,308.0,,,,,,GARNER CORRECTIONAL INSTITUTION,CT,,,,50 NUNNAWAUK ROAD,6470.0,3343.0,,,in BJS (matched),Connecticut,7e+19,,GARNER CORRECTIONAL INSTITUTION,50 NUNNAWAUK ROAD,NEWTOWN,CT,6470.0,Males only,Maximum/close/high,None,State authority,648.0,,No,,No,No,new,,/Users/alexesmerritt/Desktop/Prison Vaccinaiton Project/vac-states/CT.csv
22,2021-01-02,,CT,Hartford CC,249,46.0,,,15.0,2581.0,13.0,,308.0,,,,,,HARTFORD CORRECTIONAL CENTER,CT,,,,177 WESTON STREET,6120.0,3343.0,,,in BJS (matched),Connecticut,7e+19,7e+19,HARTFORD CORRECTIONAL CENTER,177 WESTON STREET,HARTFORD,CT,6120.0,Males only,Maximum/close/high,None,State authority,1064.0,,Yes,MEDICAL-SURGICAL WARD UNIV. OF CT,No,No,new,,/Users/alexesmerritt/Desktop/Prison Vaccinaiton Project/vac-states/CT.csv
23,2021-01-02,,CT,MacDougall-Walker,510,27.0,,,15.0,2581.0,13.0,,308.0,,,,,,,CT,,,,"1153 East Street, South Suffield , CT 06080",6080.0,3343.0,,,not in BJS,,,,,,,,,,,,,,,,,,,new,,/Users/alexesmerritt/Desktop/Prison Vaccinaiton Project/vac-states/CT.csv
24,2021-01-02,,CT,MacDougall-Walker Infirmary,176,,,,15.0,2581.0,13.0,,308.0,,,,,,,CT,,,,"1153 East Street, South Suffield , CT 06080",6080.0,3343.0,,,not in BJS,,,,,,,,,,,,,,,,,,,new,,/Users/alexesmerritt/Desktop/Prison Vaccinaiton Project/vac-states/CT.csv
25,2021-01-02,,CT,Manson Youth,11,,,,15.0,2581.0,13.0,,308.0,,,,,,,CT,,,,"42 Jarvis Street Cheshire, CT 06410",6410.0,3343.0,,,not in BJS,,,,,,,,,,,,,,,,,,,new,,/Users/alexesmerritt/Desktop/Prison Vaccinaiton Project/vac-states/CT.csv
26,2021-01-02,,CT,New Haven CC,160,16.0,,,15.0,2581.0,13.0,,308.0,,,,,,NEW HAVEN CORRECTIONAL CENTER,CT,,,,245 WALLEY AVENUE,6511.0,3343.0,,,in BJS (matched),Connecticut,7e+19,,NEW HAVEN CORRECTIONAL CENTER,245 WALLEY AVENUE,NEW HAVEN,CT,6511.0,Males only,Maximum/close/high,None,State authority,814.0,,No,,No,No,new,,/Users/alexesmerritt/Desktop/Prison Vaccinaiton Project/vac-states/CT.csv
27,2021-01-02,,CT,Northern CI,2,,,,15.0,2581.0,13.0,,308.0,,,,,,NORTHERN CORRECTIONAL INSTITUTION,CT,,,,287 BILTON ROAD,6071.0,3343.0,,,in BJS (matched),Connecticut,7e+19,,NORTHERN CORRECTIONAL INSTITUTION,287 BILTON ROAD,SOMERS,CT,6071.0,Males only,Super maximum,None,State authority,256.0,,No,,No,No,new,,/Users/alexesmerritt/Desktop/Prison Vaccinaiton Project/vac-states/CT.csv
28,2021-01-02,,CT,Osborn CI,528,,,,15.0,2581.0,13.0,,308.0,,,,,,OSBORN CORRECTIONAL INSTITUTION,CT,,,,355 BILTON RD,6071.0,3343.0,,,in BJS (matched),Connecticut,7e+19,,OSBORN CORRECTIONAL INSTITUTION,355 BILTON RD,SOMERS,CT,6071.0,Males only,Medium,None,State authority,1917.0,,No,,No,No,new,,/Users/alexesmerritt/Desktop/Prison Vaccinaiton Project/vac-states/CT.csv
29,2021-01-02,,CT,Willard-Cybulski,105,,,,15.0,2581.0,13.0,,308.0,,,,,,,CT,,,,"391 Shaker Road Enfield , CT 06082",6082.0,3343.0,,,not in BJS,,,,,,,,,,,,,,,,,,,new,,/Users/alexesmerritt/Desktop/Prison Vaccinaiton Project/vac-states/CT.csv
30,2021-01-02,,CT,York CI,202,47.0,,,15.0,2581.0,13.0,,308.0,,,,,,YORK CORRECTIONAL INSTITUTION,CT,,,,201 W MAIN STREET,6357.0,3343.0,,,in BJS (matched),Connecticut,7e+19,7e+19,YORK CORRECTIONAL INSTITUTION,201 W MAIN STREET,NIANTIC,CT,6357.0,Females only,Maximum/close/high,None,State authority,,1067.0,Yes,Niantic Annex,No,No,new,,/Users/alexesmerritt/Desktop/Prison Vaccinaiton Project/vac-states/CT.csv
31,2021-01-03,,CT,Bridgeport CC,276,128.0,,,15.0,2581.0,13.0,,308.0,,,,,,BRIDGEPORT CORRECTIONAL CENTER,CT,,,,1106 N AVENUE,6604.0,3343.0,,,in BJS (matched),Connecticut,7e+19,,BRIDGEPORT CORRECTIONAL CENTER,1106 N AVENUE,BRIDGEPORT,CT,6604.0,Males only,Maximum/close/high,None,State authority,865.0,,No,,No,No,new,,/Users/alexesmerritt/Desktop/Prison Vaccinaiton Project/vac-states/CT.csv
32,2021-01-03,,CT,Brooklyn CI,157,,,,15.0,2581.0,13.0,,308.0,,,,,,,CT,,,,"59 HARTFORD ROAD, BROOKLYN, CT 6234",6234.0,3343.0,,,not in BJS,,,,,,,,,,,,,,,,,,,new,,/Users/alexesmerritt/Desktop/Prison Vaccinaiton Project/vac-states/CT.csv
33,2021-01-03,,CT,Carl Robinson CI,291,,,,15.0,2581.0,13.0,,308.0,,,,,,ROBINSON CORRECTIONAL INSTITUTION,CT,,,,285 SHAKER RD,6082.0,3343.0,,,in BJS (matched),Connecticut,7e+19,,ROBINSON CORRECTIONAL INSTITUTION,285 SHAKER RD,ENFIELD,CT,6082.0,Males only,Medium,None,State authority,1459.0,,No,,No,No,new,,/Users/alexesmerritt/Desktop/Prison Vaccinaiton Project/vac-states/CT.csv
34,2021-01-03,,CT,Cheshire CI,332,75.0,,,15.0,2581.0,13.0,,308.0,,,,,,CHESHIRE CORRECTIONAL CENTER,CT,,,,900 HIGHLAND AVENUE,6410.0,3343.0,,,in BJS (matched),Connecticut,7e+19,,CHESHIRE CORRECTIONAL CENTER,900 HIGHLAND AVENUE,CHESHIRE,CT,6410.0,Males only,Maximum/close/high,None,State authority,1471.0,,No,,No,No,new,,/Users/alexesmerritt/Desktop/Prison Vaccinaiton Project/vac-states/CT.csv
35,2021-01-03,,CT,Corrigan-Radgowski,269,4.0,,,15.0,2581.0,13.0,,308.0,,,,,,,CT,,,,"986 Norwich-New London Turnpike Uncasville, CT 06382",6382.0,3343.0,,,not in BJS,,,,,,,,,,,,,,,,,,,new,,/Users/alexesmerritt/Desktop/Prison Vaccinaiton Project/vac-states/CT.csv
36,2021-01-03,,CT,Garner CI,75,7.0,,,15.0,2581.0,13.0,,308.0,,,,,,GARNER CORRECTIONAL INSTITUTION,CT,,,,50 NUNNAWAUK ROAD,6470.0,3343.0,,,in BJS (matched),Connecticut,7e+19,,GARNER CORRECTIONAL INSTITUTION,50 NUNNAWAUK ROAD,NEWTOWN,CT,6470.0,Males only,Maximum/close/high,None,State authority,648.0,,No,,No,No,new,,/Users/alexesmerritt/Desktop/Prison Vaccinaiton Project/vac-states/CT.csv
37,2021-01-03,,CT,Hartford CC,249,46.0,,,15.0,2581.0,13.0,,308.0,,,,,,HARTFORD CORRECTIONAL CENTER,CT,,,,177 WESTON STREET,6120.0,3343.0,,,in BJS (matched),Connecticut,7e+19,7e+19,HARTFORD CORRECTIONAL CENTER,177 WESTON STREET,HARTFORD,CT,6120.0,Males only,Maximum/close/high,None,State authority,1064.0,,Yes,MEDICAL-SURGICAL WARD UNIV. OF CT,No,No,new,,/Users/alexesmerritt/Desktop/Prison Vaccinaiton Project/vac-states/CT.csv
38,2021-01-03,,CT,MacDougall-Walker,510,27.0,,,15.0,2581.0,13.0,,308.0,,,,,,,CT,,,,"1153 East Street, South Suffield , CT 06080",6080.0,3343.0,,,not in BJS,,,,,,,,,,,,,,,,,,,new,,/Users/alexesmerritt/Desktop/Prison Vaccinaiton Project/vac-states/CT.csv
39,2021-01-03,,CT,MacDougall-Walker Infirmary,176,,,,15.0,2581.0,13.0,,308.0,,,,,,,CT,,,,"1153 East Street, South Suffield , CT 06080",6080.0,3343.0,,,not in BJS,,,,,,,,,,,,,,,,,,,new,,/Users/alexesmerritt/Desktop/Prison Vaccinaiton Project/vac-states/CT.csv
40,2021-01-03,,CT,Manson Youth,11,,,,15.0,2581.0,13.0,,308.0,,,,,,,CT,,,,"42 Jarvis Street Cheshire, CT 06410",6410.0,3343.0,,,not in BJS,,,,,,,,,,,,,,,,,,,new,,/Users/alexesmerritt/Desktop/Prison Vaccinaiton Project/vac-states/CT.csv
41,2021-01-03,,CT,New Haven CC,160,16.0,,,15.0,2581.0,13.0,,308.0,,,,,,NEW HAVEN CORRECTIONAL CENTER,CT,,,,245 WALLEY AVENUE,6511.0,3343.0,,,in BJS (matched),Connecticut,7e+19,,NEW HAVEN CORRECTIONAL CENTER,245 WALLEY AVENUE,NEW HAVEN,CT,6511.0,Males only,Maximum/close/high,None,State authority,814.0,,No,,No,No,new,,/Users/alexesmerritt/Desktop/Prison Vaccinaiton Project/vac-states/CT.csv
42,2021-01-03,,CT,Northern CI,2,,,,15.0,2581.0,13.0,,308.0,,,,,,NORTHERN CORRECTIONAL INSTITUTION,CT,,,,287 BILTON ROAD,6071.0,3343.0,,,in BJS (matched),Connecticut,7e+19,,NORTHERN CORRECTIONAL INSTITUTION,287 BILTON ROAD,SOMERS,CT,6071.0,Males only,Super maximum,None,State authority,256.0,,No,,No,No,new,,/Users/alexesmerritt/Desktop/Prison Vaccinaiton Project/vac-states/CT.csv
43,2021-01-03,,CT,Osborn CI,528,,,,15.0,2581.0,13.0,,308.0,,,,,,OSBORN CORRECTIONAL INSTITUTION,CT,,,,355 BILTON RD,6071.0,3343.0,,,in BJS (matched),Connecticut,7e+19,,OSBORN CORRECTIONAL INSTITUTION,355 BILTON RD,SOMERS,CT,6071.0,Males only,Medium,None,State authority,1917.0,,No,,No,No,new,,/Users/alexesmerritt/Desktop/Prison Vaccinaiton Project/vac-states/CT.csv
44,2021-01-03,,CT,Willard-Cybulski,105,,,,15.0,2581.0,13.0,,308.0,,,,,,,CT,,,,"391 Shaker Road Enfield , CT 06082",6082.0,3343.0,,,not in BJS,,,,,,,,,,,,,,,,,,,new,,/Users/alexesmerritt/Desktop/Prison Vaccinaiton Project/vac-states/CT.csv
45,2021-01-03,,CT,York CI,202,47.0,,,15.0,2581.0,13.0,,308.0,,,,,,YORK CORRECTIONAL INSTITUTION,CT,,,,201 W MAIN STREET,6357.0,3343.0,,,in BJS (matched),Connecticut,7e+19,7e+19,YORK CORRECTIONAL INSTITUTION,201 W MAIN STREET,NIANTIC,CT,6357.0,Females only,Maximum/close/high,None,State authority,,1067.0,Yes,Niantic Annex,No,No,new,,/Users/alexesmerritt/Desktop/Prison Vaccinaiton Project/vac-states/CT.csv
46,2021-01-04,,CT,Bridgeport CC,276,128.0,,,15.0,2581.0,13.0,,308.0,,,,,,BRIDGEPORT CORRECTIONAL CENTER,CT,,,,1106 N AVENUE,6604.0,3343.0,,,in BJS (matched),Connecticut,7e+19,,BRIDGEPORT CORRECTIONAL CENTER,1106 N AVENUE,BRIDGEPORT,CT,6604.0,Males only,Maximum/close/high,None,State authority,865.0,,No,,No,No,new,,/Users/alexesmerritt/Desktop/Prison Vaccinaiton Project/vac-states/CT.csv
47,2021-01-04,,CT,Brooklyn CI,157,,,,15.0,2581.0,13.0,,308.0,,,,,,,CT,,,,"59 HARTFORD ROAD, BROOKLYN, CT 6234",6234.0,3343.0,,,not in BJS,,,,,,,,,,,,,,,,,,,new,,/Users/alexesmerritt/Desktop/Prison Vaccinaiton Project/vac-states/CT.csv
48,2021-01-04,,CT,Carl Robinson CI,291,,,,15.0,2581.0,13.0,,308.0,,,,,,ROBINSON CORRECTIONAL INSTITUTION,CT,,,,285 SHAKER RD,6082.0,3343.0,,,in BJS (matched),Connecticut,7e+19,,ROBINSON CORRECTIONAL INSTITUTION,285 SHAKER RD,ENFIELD,CT,6082.0,Males only,Medium,None,State authority,1459.0,,No,,No,No,new,,/Users/alexesmerritt/Desktop/Prison Vaccinaiton Project/vac-states/CT.csv
49,2021-01-04,,CT,Cheshire CI,332,75.0,,,15.0,2581.0,13.0,,308.0,,,,,,CHESHIRE CORRECTIONAL CENTER,CT,,,,900 HIGHLAND AVENUE,6410.0,3343.0,,,in BJS (matched),Connecticut,7e+19,,CHESHIRE CORRECTIONAL CENTER,900 HIGHLAND AVENUE,CHESHIRE,CT,6410.0,Males only,Maximum/close/high,None,State authority,1471.0,,No,,No,No,new,,/Users/alexesmerritt/Desktop/Prison Vaccinaiton Project/vac-states/CT.csv
50,2021-01-04,,CT,Corrigan-Radgowski,269,4.0,,,15.0,2581.0,13.0,,308.0,,,,,,,CT,,,,"986 Norwich-New London Turnpike Uncasville, CT 06382",6382.0,3343.0,,,not in BJS,,,,,,,,,,,,,,,,,,,new,,/Users/alexesmerritt/Desktop/Prison Vaccinaiton Project/vac-states/CT.csv
51,2021-01-04,,CT,Garner CI,75,7.0,,,15.0,2581.0,13.0,,308.0,,,,,,GARNER CORRECTIONAL INSTITUTION,CT,,,,50 NUNNAWAUK ROAD,6470.0,3343.0,,,in BJS (matched),Connecticut,7e+19,,GARNER CORRECTIONAL INSTITUTION,50 NUNNAWAUK ROAD,NEWTOWN,CT,6470.0,Males only,Maximum/close/high,None,State authority,648.0,,No,,No,No,new,,/Users/alexesmerritt/Desktop/Prison Vaccinaiton Project/vac-states/CT.csv
52,2021-01-04,,CT,Hartford CC,249,46.0,,,15.0,2581.0,13.0,,308.0,,,,,,HARTFORD CORRECTIONAL CENTER,CT,,,,177 WESTON STREET,6120.0,3343.0,,,in BJS (matched),Connecticut,7e+19,7e+19,HARTFORD CORRECTIONAL CENTER,177 WESTON STREET,HARTFORD,CT,6120.0,Males only,Maximum/close/high,None,State authority,1064.0,,Yes,MEDICAL-SURGICAL WARD UNIV. OF CT,No,No,new,,/Users/alexesmerritt/Desktop/Prison Vaccinaiton Project/vac-states/CT.csv
53,2021-01-04,,CT,MacDougall-Walker,510,27.0,,,15.0,2581.0,13.0,,308.0,,,,,,,CT,,,,"1153 East Street, South Suffield , CT 06080",6080.0,3343.0,,,not in BJS,,,,,,,,,,,,,,,,,,,new,,/Users/alexesmerritt/Desktop/Prison Vaccinaiton Project/vac-states/CT.csv
54,2021-01-04,,CT,MacDougall-Walker Infirmary,176,,,,15.0,2581.0,13.0,,308.0,,,,,,,CT,,,,"1153 East Street, South Suffield , CT 06080",6080.0,3343.0,,,not in BJS,,,,,,,,,,,,,,,,,,,new,,/Users/alexesmerritt/Desktop/Prison Vaccinaiton Project/vac-states/CT.csv
55,2021-01-04,,CT,Manson Youth,11,,,,15.0,2581.0,13.0,,308.0,,,,,,,CT,,,,"42 Jarvis Street Cheshire, CT 06410",6410.0,3343.0,,,not in BJS,,,,,,,,,,,,,,,,,,,new,,/Users/alexesmerritt/Desktop/Prison Vaccinaiton Project/vac-states/CT.csv
56,2021-01-04,,CT,New Haven CC,160,16.0,,,15.0,2581.0,13.0,,308.0,,,,,,NEW HAVEN CORRECTIONAL CENTER,CT,,,,245 WALLEY AVENUE,6511.0,3343.0,,,in BJS (matched),Connecticut,7e+19,,NEW HAVEN CORRECTIONAL CENTER,245 WALLEY AVENUE,NEW HAVEN,CT,6511.0,Males only,Maximum/close/high,None,State authority,814.0,,No,,No,No,new,,/Users/alexesmerritt/Desktop/Prison Vaccinaiton Project/vac-states/CT.csv
57,2021-01-04,,CT,Northern CI,2,,,,15.0,2581.0,13.0,,308.0,,,,,,NORTHERN CORRECTIONAL INSTITUTION,CT,,,,287 BILTON ROAD,6071.0,3343.0,,,in BJS (matched),Connecticut,7e+19,,NORTHERN CORRECTIONAL INSTITUTION,287 BILTON ROAD,SOMERS,CT,6071.0,Males only,Super maximum,None,State authority,256.0,,No,,No,No,new,,/Users/alexesmerritt/Desktop/Prison Vaccinaiton Project/vac-states/CT.csv
58,2021-01-04,,CT,Osborn CI,528,,,,15.0,2581.0,13.0,,308.0,,,,,,OSBORN CORRECTIONAL INSTITUTION,CT,,,,355 BILTON RD,6071.0,3343.0,,,in BJS (matched),Connecticut,7e+19,,OSBORN CORRECTIONAL INSTITUTION,355 BILTON RD,SOMERS,CT,6071.0,Males only,Medium,None,State authority,1917.0,,No,,No,No,new,,/Users/alexesmerritt/Desktop/Prison Vaccinaiton Project/vac-states/CT.csv
59,2021-01-04,,CT,Willard-Cybulski,105,,,,15.0,2581.0,13.0,,308.0,,,,,,,CT,,,,"391 Shaker Road Enfield , CT 06082",6082.0,3343.0,,,not in BJS,,,,,,,,,,,,,,,,,,,new,,/Users/alexesmerritt/Desktop/Prison Vaccinaiton Project/vac-states/CT.csv
60,2021-01-04,,CT,York CI,202,47.0,,,15.0,2581.0,13.0,,308.0,,,,,,YORK CORRECTIONAL INSTITUTION,CT,,,,201 W MAIN STREET,6357.0,3343.0,,,in BJS (matched),Connecticut,7e+19,7e+19,YORK CORRECTIONAL INSTITUTION,201 W MAIN STREET,NIANTIC,CT,6357.0,Females only,Maximum/close/high,None,State authority,,1067.0,Yes,Niantic Annex,No,No,new,,/Users/alexesmerritt/Desktop/Prison Vaccinaiton Project/vac-states/CT.csv
